,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event
0,1.7295,1.7372,46953,51210,Pipistrellus pipistrellus,0.37,0.411,-1,Echolocation
1,2.6595,2.667,46093,50468,Pipistrellus pipistrellus,0.121,0.126,-1,Echolocation
2,2.7935,2.7991,45234,52446,Pipistrellus pipistrellus,0.12,0.127,-1,Echolocation
3,3.7705,3.7774,46093,54897,Pipistrellus pipistrellus,0.505,0.541,-1,Echolocation
4,3.9105,3.9159,46093,59271,Pipistrellus pipistrellus,0.376,0.457,-1,Echolocation
5,4.1625,4.1689,46093,59143,Pipistrellus pipistrellus,0.21,0.27,-1,Echolocation
6,4.3085,4.3139,46093,58971,Pipistrellus pipistrellus,0.512,0.542,-1,Echolocation
7,4.4425,4.4476,44375,60173,Pipistrellus pipistrellus,0.351,0.464,-1,Echolocation
8,4.5735,4.5789,44375,60299,Pipistrellus pipistrellus,0.282,0.412,-1,Echolocation
9,4.7075,4.7128,45234,66360,Pipistrellus pipistrellus,0.232,0.357,-1,Echolocation
10,4.8505,4.8558,45234,62346,Pipistrellus pipistrellus,0.398,0.5,-1,Echolocation
11,5.0035,5.0094,45234,60411,Pipistrellus pipistrellus,0.491,0.544,-1,Echolocation
12,5.1515,5.1568,46093,61553,Pipistrellus pipistrellus,0.443,0.519,-1,Echolocation
13,5.2725,5.2776,46093,61355,Pipistrellus pipistrellus,0.557,0.627,-1,Echolocation
14,5.4215,5.4282,46953,60838,Pipistrellus pipistrellus,0.222,0.371,-1,Echolocation
15,5.5135,5.5198,50390,57425,Pipistrellus pipistrellus,0.347,0.408,-1,Echolocation
16,5.6455,5.651,46953,56639,Pipistrellus pipistrellus,0.355,0.371,-1,Echolocation
17,5.7835,5.7888,44375,58786,Pipistrellus pipistrellus,0.628,0.714,-1,Echolocation
18,5.9225,5.9286,46093,59203,Pipistrellus pipistrellus,0.338,0.377,-1,Echolocation
19,6.0685,6.0752,51250,58283,Pipistrellus pygmaeus,0.202,0.318,-1,Echolocation
20,6.2185,6.226,45234,57274,Pipistrellus pipistrellus,0.112,0.197,-1,Echolocation
21,6.6505,6.656,46953,54281,Pipistrellus pipistrellus,0.094,0.115,-1,Echolocation
22,7.2515,7.2573,46953,55292,Pipistrellus pipistrellus,0.123,0.146,-1,Echolocation
23,7.7895,7.7992,37500,41508,Pipistrellus nathusii,0.173,0.218,-1,Echolocation
24,8.2815,8.2895,38359,47027,Pipistrellus nathusii,0.346,0.513,-1,Echolocation
25,8.3755,8.3839,39218,43858,Pipistrellus nathusii,0.082,0.135,-1,Echolocation
26,8.5745,8.582,39218,45534,Pipistrellus nathusii,0.398,0.437,-1,Echolocation
27,8.6785,8.6887,38359,42668,Pipistrellus nathusii,0.102,0.119,-1,Echolocation
28,8.7755,8.7843,39218,43858,Pipistrellus nathusii,0.1,0.148,-1,Echolocation
29,8.8705,8.8804,39218,45297,Pipistrellus nathusii,0.338,0.426,-1,Echolocation
30,8.9675,8.9771,38359,47688,Pipistrellus nathusii,0.364,0.434,-1,Echolocation
31,9.0615,9.0693,40078,46504,Pipistrellus nathusii,0.297,0.341,-1,Echolocation
32,9.1595,9.1669,38359,47401,Pipistrellus nathusii,0.447,0.532,-1,Echolocation
33,9.3375,9.3442,39218,47887,Pipistrellus nathusii,0.221,0.366,-1,Echolocation
34,9.4335,9.4418,38359,45616,Pipistrellus nathusii,0.454,0.557,-1,Echolocation
35,9.6025,9.611,38359,48501,Pipistrellus nathusii,0.406,0.525,-1,Echolocation
36,9.7005,9.7084,37500,44611,Pipistrellus nathusii,0.259,0.437,-1,Echolocation
37,9.7955,9.8034,35781,44384,Barbastellus barbastellus,0.064,0.109,-1,Echolocation
38,9.8805,9.8885,38359,48348,Pipistrellus nathusii,0.312,0.475,-1,Echolocation
39,9.9735,9.9818,36640,40371,Barbastellus barbastellus,0.097,0.135,-1,Echolocation
40,10.1205,10.1281,39218,45867,Pipistrellus nathusii,0.438,0.483,-1,Echolocation
41,10.2105,10.2209,38359,48918,Pipistrellus nathusii,0.32,0.416,-1,Echolocation
42,10.4895,10.4997,38359,44002,Pipistrellus nathusii,0.247,0.317,-1,Echolocation
43,10.8665,10.8737,38359,47874,Pipistrellus nathusii,0.502,0.529,-1,Echolocation
44,15.4055,15.4135,19453,27317,Plecotus austriacus,0.075,0.165,-1,Echolocation
45,20.3885,20.4015,23750,28861,Nyctalus leisleri,0.047,0.103,-1,Echolocation
46,20.7475,20.7582,27187,33648,Eptesicus serotinus,0.075,0.148,-1,Echolocation
47,31.1865,31.2021,23750,29494,Nyctalus leisleri,0.146,0.332,-1,Echolocation
48,31.7585,31.7753,24609,29076,Nyctalus leisleri,0.111,0.252,-1,Echolocation
49,31.8875,31.8931,51250,60096,Pipistrellus pipistrellus,0.19,0.295,-1,Echolocation
50,32.0685,32.0732,49531,61097,Pipistrellus pipistrellus,0.177,0.236,-1,Echolocation
51,32.2695,32.2754,50390,58423,Pipistrellus pipistrellus,0.163,0.291,-1,Echolocation
52,32.3655,32.37,44375,63693,Myotis alcathoe,0.116,0.228,-1,Echolocation
53,32.6185,32.6344,24609,28318,Nyctalus leisleri,0.437,0.574,-1,Echolocation
54,32.6285,32.6332,46953,59604,Pipistrellus pipistrellus,0.339,0.415,-1,Echolocation
55,32.9705,32.9767,50390,57131,Pipistrellus pipistrellus,0.087,0.105,-1,Echolocation
56,33.0855,33.1005,24609,28311,Nyctalus leisleri,0.214,0.369,-1,Echolocation
57,33.2835,33.2904,46953,51692,Pipistrellus pipistrellus,0.266,0.284,-1,Echolocation
58,33.4915,33.505,24609,28454,Nyctalus leisleri,0.231,0.419,-1,Echolocation
59,33.7815,33.7975,24609,28846,Nyctalus leisleri,0.107,0.209,-1,Echolocation
60,34.2045,34.2225,24609,28601,Nyctalus leisleri,0.104,0.211,-1,Echolocation
61,34.6315,34.6527,23750,27615,Nyctalus leisleri,0.048,0.112,-1,Echolocation
62,35.4815,35.5005,24609,28783,Nyctalus leisleri,0.079,0.163,-1,Echolocation
63,35.6515,35.6714,23750,28797,Nyctalus leisleri,0.062,0.146,-1,Echolocation
64,35.9125,35.9322,25468,28407,Nyctalus leisleri,0.272,0.342,-1,Echolocation
65,36.7825,36.7982,24609,29390,Nyctalus leisleri,0.43,0.527,-1,Echolocation
66,37.0215,37.0432,24609,28635,Nyctalus leisleri,0.234,0.359,-1,Echolocation
