Date and Time deployed (local),Date and Time recovered (local),AudioMoth #,SD card #,Site,Latitude,Longitude,Sampling rate (Hz),Gain,Filter,Amplitude threshold,Battery start (V),Battery end (V),Deployer,Scribe,Uploader,Upload folder name,Notes
2022-07-12T11:54:00,2022-07-15T14:55:00,A,008,Carp Pond,47° 39' 15.918'' N,122° 17' 41.910'' W,250000,Medium,None,None,(4.3),3.398,WL,JS,JS,recover-20220715,Ziploc Bag
2022-07-12T12:12:00,2022-07-15T14:30:25,B,007,Foliage,47° 39' 18.588'' N,122° 17' 26.862'' W,250000,Medium,None,None,(4.3),3.391,AK,JS,JS,recover-20220715,Ziploc Bag
2022-07-15T14:36:00,2022-07-17T12:08:00,C,005,Foliage,47° 39' 19.038'' N,122° 17' 26.610'' W,250000,Medium,None,None,4.146 (4.2),3.805 (3.9),AK,JS,JS,recover-20220717,Ziploc Bag
2022-07-15T15:04:00,2022-07-17T12:28:00,D,006,Carp Pond,47° 39' 15.990'' N,122° 17' 41.988'' W,250000,Medium,None,None,4.138 (4.2),3.792 (3.9),JS,JS,JS,recover-20220717,Case
2022-07-15T14:56:00,2022-07-17T12:28:00,E,011,Carp Pond,47° 39' 15.990'' N,122° 17' 41.988'' W,250000,Medium,None,None,4.142 (4.3),3.798 (3.9),JS,JS,JS,recover-20220717,Ziploc Bag
2022-07-17T12:14:00,2022-07-19T14:57:00,A,003,Foliage,47° 39' 19.002'' N,122° 17' 26.310'' W,250000,Medium,None,None,4.199 (4.3),3.817 (3.9),AK,JS,AK,recover-20220719,Ziploc Bag
2022-07-17T12:41:00,2022-07-19T15:16:00,F,004,Carp Pond,47° 39' 31.320'' N,122° 17' 46.200'' W,250000,Medium,None,None,4.168 (4.2),3.777 (3.8),JS,JS,AK,recover-20220719,Case
2022-07-17T12:40:00,2022-07-19T15:15:00,B,002,Carp Pond,47° 39' 31.320'' N,122° 17' 46.200'' W,250000,Medium,None,None,4.133 (4.3),3.722 (3.8),JS,JS,AK,recover-20220719,Ziploc Bag
2022-07-19T15:02:00,2022-07-22T14:28:00,C,012,Foliage,47° 39' 18.408'' N,122° 17' 27.192'' W,250000,Medium,None,None,4.114 (4.2),3.293 (<3.6),AK,JS,WL,recover-20220722,Ziploc Bag
2022-07-19T15:24:00,2022-07-22T14:48:00,D,013,Carp Pond,47° 39' 15.948'' N,122° 17' 42.222'' W,250000,Medium,None,None,4.125 (4.2),3.276 (<3.6),JS,JS,WL,recover-20220722,Ziploc Bag
2022-07-19T15:24:00,2022-07-22T14:49:00,E,014,Carp Pond,47° 39' 15.948'' N,122° 17' 42.222'' W,250000,Medium,None,None,4.147 (4.3),3.299 (<3.6),JS,JS,WL,recover-20220722,Case
2022-07-22T14:14:00,2022-07-25T16:21:00,F,010,Telephone Field,47° 39' 24.342'' N,122° 17' 29.442'' W,250000,Medium,None,None,4.267 (4.3),3.888 (3.9),JS,JS,AK,recover-20220725,Double Battery Pack; Ziploc Bag; New Location
2022-07-22T14:29:00,2022-07-25T16:30:00,B,009,Foliage,No Valid Info,No Valid Info,250000,Medium,None,None,4.260 (4.3),3.897 (4.0),AK,JS,AK,recover-20220725,Double Battery Pack; Ziploc Bag
2022-07-22T14:46:00,2022-07-25T16:49:00,A,001,Carp Pond,47° 39' 15.060'' N,122° 17' 43.038'' W,250000,Medium,None,None,4.160 (4.3),3.875 (4.0),JS,JS,AK,recover-20220725,Double Battery Pack; Ziploc Bag
2022-07-25T16:33:00,2022-07-28T18:15:00,E,011,Foliage,47° 39' 19.362'' N,122° 17' 26.862'' W,250000,Medium,None,None,4.184 (4.3),3.863 (4.0),AK,JS,JS,recover-20220728,Double Battery Pack; Ziploc Bag
2022-07-25T16:51:00,2022-07-28T18:35:00,C,007,Carp Pond,47° 39' 15.762'' N,122° 17' 42.240'' W,250000,Medium,None,None,4.128 (4.2),3.853 (3.9),AK,JS,JS,recover-20220728,Double Battery Pack; Ziploc Bag
2022-07-25T17:26:00,2022-07-28T18:55:00,D,008,Central Pond,47° 39' 17.022'' N,122° 17' 34.440'' W,250000,Medium,None,None,4.325 (4.3),3.872 (3.9),WL,JS,JS,recover-20220728,Double Battery Pack; Ziploc Bag; New Location
2022-07-28T18:37:00,2022-08-01T10:34:00,A,004,Carp Pond,47° 39' 15.828'' N,122° 17' 42.078'' W,192000,Medium,None,None,4.103 (4.2),3.666 (3.8),JS,JS,AK,recover-20220801,Double Battery Pack; Ziploc Bag; Recording when recovered
2022-07-28T18:56:00,2022-08-01T10:55:00,B,005,Central Pond,47° 39' 17.010'' N,122° 17' 34.632'' W,192000,Medium,None,None,4.189 (4.3),3.666 (3.8),JS,JS,AK,recover-20220801,Double Battery Pack; Ziploc Bag; Recording when recovered
2022-07-28T18:16:00,2022-08-01T10:15:00,F,006,Foliage,47° 39' 18.630'' N,122° 17' 26.832'' W,192000,Medium,None,None,4.213 (4.2),3.692 (3.7),JS,JS,AK,recover-20220801,Double Battery Pack; Ziploc Bag; Recording when recovered
2022-08-01T10:36:00,2022-08-04T16:22:00,C,001,Carp Pond,47° 39' 16.002'' N,122° 17' 42.048'' W,192000,Medium,None,None,4.081 (4.2),3.712 (3.8),JS,JS,JS,recover-20220804,Double Battery Pack; Ziploc Bag
2022-08-01T10:18:00,2022-08-04T16:00:00,D,002,Foliage,47° 39' 18.732'' N,122° 17' 26.688'' W,192000,Medium,None,None,4.231 (4.3),3.737 (3.8),AK,JS,JS,recover-20220804,Double Battery Pack; Ziploc Bag
2022-08-01T10:56:00,2022-08-04T16:50:00,E,003,Central Pond,47° 39' 16.902'' N,122° 17' 34.548'' W,192000,Medium,None,None,4.189 (4.3),3.736 (3.8),AK,JS,JS,recover-20220804,Double Battery Pack; Ziploc Bag
2022-08-04T16:40:00,2022-08-08T10:44:00,A,012,Central Pond,47° 39' 15.708'' N,122° 17' 47.652'' W,192000,Medium,None,None,4.167 (4.3),3.169 (3.7),AK,JS,JS,recover-20220808,Double Battery Pack; Ziploc Bag; VOLT_END 3.169 could be error value
2022-08-04T16:18:00,2022-08-08T10:30:00,B,013,Carp Pond,47° 39' 16.002'' N,122° 17' 41.862'' W,192000,Medium,None,None,4.122 (4.2),3.650 (3.7),JS,JS,JS,recover-20220808,Double Battery Pack; Ziploc Bag
2022-08-04T16:02:00,2022-08-08T10:15:00,F,014,Foliage,47° 39' 18.732'' N,122° 17' 26.802'' W,192000,Medium,None,None,4.153 (4.2),3.777 (3.8),AK,JS,JS,recover-20220808,Double Battery Pack; Ziploc Bag
2022-08-08T10:31:00,2022-08-11T16:59:00,C,007,Carp Pond,47° 39' 15.948'' N,122° 17' 42.018'' W,192000,Medium,None,None,4.112 (4.2),3.716 (3.8),JS,JS,JS,recover-20220811,Double Battery Pack; Ziploc Bag
2022-08-08T10:16:00,2022-08-11T16:46:00,D,009,Foliage,47° 39' 18.828'' N,122° 17' 26.748'' W,192000,Medium,None,None,4.228 (4.3),3.815 (3.9),AK,JS,JS,recover-20220811,Double Battery Pack; Ziploc Bag
2022-08-08T10:44:00,2022-08-11T17:09:00,E,010,Central Pond,47° 39' 17.088'' N,122° 17' 34.248'' W,192000,Medium,None,None,4.267 (4.4),3.722 (3.8),JS,JS,JS,recover-20220811,Double Battery Pack; Ziploc Bag
2022-08-11T16:58:00,2022-08-15T10:02:00,A,005,Carp Pond,47° 39' 15.828'' N,122° 17' 42.028'' W,192000,Medium,None,None,4.200 (4.3),3.650,JS,JS,AK,recover-20220815,Double Battery Pack; Ziploc Bag; Pond is receding
2022-08-11T17:10:00,2022-08-15T10:11:00,B,008,Central Pond,47° 39' 16.842'' N,122° 17' 34.470'' W,192000,Medium,None,None,4.205 (4.3),3.623,JS,JS,AK,recover-20220815,Double Battery Pack; Ziploc Bag; Pond is receding
2022-08-11T16:48:00,2022-08-15T9:50:00,F,011,Foliage,47° 39' 19.230'' N,122° 17' 26.862'' W,192000,Medium,None,None,4.302 (4.3),3.672,AK,JS,AK,recover-20220815,Double Battery Pack; Ziploc Bag
2022-08-15T10:01:00,2022-08-18T18:28:00,C,002,Carp Pond,47° 39' 15.810'' N,122° 17' 42.240'' W,192000,Medium,None,None,4.291,3.709,AK,AK,AK,recover-20220818,Double Battery Pack; Ziploc Bag; Pond is receding
2022-08-15T9:51:00,2022-08-18T17:53:00,D,004,Foliage,47° 39' 18.888'' N,122° 17' 26.832'' W,192000,Medium,None,None,4.188,3.692,AK,JS,AK,recover-20220818,Double Battery Pack; Ziploc Bag
2022-08-15T10:09:00,2022-08-18T18:12:00,E,006,Central Pond,47° 39' 16.968'' N,122° 17' 34.488'' W,192000,Medium,None,None,4.097,3.650,JS,AK,AK,recover-20220818,Double Battery Pack; Ziploc Bag; Pond is receding
2022-08-18T17:39:00,2022-08-22T16:31:00,A,001,Telephone Field,47° 39' 24.288'' N,122° 17' 29.142'' W,192000,Medium,None,None,4.237,3.684,JS,AK,JS,recover-20220822,Using 6 IKEA AA Ni-MH batteries; Used Acoustic Chime; Heat Advisory in effect 2022-08-18;
2022-08-18T19:16:00,2022-08-22T18:01:00,B,003,Fallen Tree,47° 39' 22.992'' N,122° 17' 33.972'' W,192000,Medium,None,None,4.227,3.613,JS,AK,JS,recover-20220822,Using 6 Panasonic AA Ni-MH batteries; Used Acoustic Chime; Supposed to be middle of Shoveler's Pond; Walkable land currently.
2022-08-18T18:57:00,2022-08-22T18:24:00,F,007,Opposite Central Pond,47° 39' 19.890'' N,122° 17' 35.808'' W,192000,Medium,None,None,4.322,Not collected,AK,JS,JS,recover-20220822,Using 6 IKEA AA Ni-MH batteries; Used Acoustic Chime; Found Hawk feathers in location. SD Card was named 'UB NA_007'. VOLT_END measurement was forgotten.
2022-08-18T18:34:00,2022-08-22T17:30:00,C,012,Carp Pond,47° 39' 15.978'' N,122° 17' 41.862'' W,192000,Medium,None,None,4.256,3.676,JS,AK,JS,recover-20220822,Using 6 IKEA AA Ni-MH batteries; Used Acoustic Chime. Pond has receded more.
2022-08-18T17:58:00,2022-08-22T16:47:00,D,013,Foliage,47° 39' 18.978'' N,122° 17' 26.778'' W,192000,Medium,None,None,4.242,3.633,AK,AK,JS,recover-20220822,Using 6 Panasonic AA Ni-MH batteries; Used Acoustic Chime.
