start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file
726.5015,726.5129,24609.0,31793.0,0.57,Echolocation,20210910_030000.WAV
726.6575,726.6712,23750.0,30947.0,0.51,Echolocation,20210910_030000.WAV
727.0355,727.0591,21171.0,27033.0,0.528,Echolocation,20210910_030000.WAV
727.3045,727.3254,21171.0,28485.0,0.564,Echolocation,20210910_030000.WAV
727.8175,727.8405,21171.0,27830.0,0.55,Echolocation,20210910_030000.WAV
728.1105,728.1308,22031.0,27128.0,0.546,Echolocation,20210910_030000.WAV
728.3675,728.3905,21171.0,28082.0,0.542,Echolocation,20210910_030000.WAV
728.6455,728.6598,23750.0,29632.0,0.528,Echolocation,20210910_030000.WAV
729.0485,729.0675,22031.0,29201.0,0.613,Echolocation,20210910_030000.WAV
729.3375,729.3606,21171.0,27940.0,0.537,Echolocation,20210910_030000.WAV
729.6015,729.6249,21171.0,28482.0,0.557,Echolocation,20210910_030000.WAV
730.1525,730.1778,21171.0,28940.0,0.653,Echolocation,20210910_030000.WAV
730.4255,730.4499,21171.0,27367.0,0.618,Echolocation,20210910_030000.WAV
730.7065,730.7308,21171.0,28645.0,0.562,Echolocation,20210910_030000.WAV
730.9785,731.0009,21171.0,27645.0,0.628,Echolocation,20210910_030000.WAV
731.2345,731.2565,21171.0,28517.0,0.67,Echolocation,20210910_030000.WAV
731.5225,731.5454,21171.0,26812.0,0.571,Echolocation,20210910_030000.WAV
731.8185,731.8414,21171.0,28158.0,0.591,Echolocation,20210910_030000.WAV
732.1045,732.1255,22031.0,27080.0,0.503,Echolocation,20210910_030000.WAV
732.4025,732.4265,21171.0,27167.0,0.531,Echolocation,20210910_030000.WAV
733.2665,733.2905,21171.0,26911.0,0.55,Echolocation,20210910_030000.WAV
734.0725,734.0897,22031.0,26911.0,0.577,Echolocation,20210910_030000.WAV
734.3825,734.404,20312.0,24551.0,0.524,Echolocation,20210910_030000.WAV
734.5935,734.6147,21171.0,28325.0,0.601,Echolocation,20210910_030000.WAV
734.8685,734.8891,22031.0,28128.0,0.543,Echolocation,20210910_030000.WAV
735.1505,735.171,21171.0,26839.0,0.54,Echolocation,20210910_030000.WAV
735.4335,735.4552,21171.0,27040.0,0.59,Echolocation,20210910_030000.WAV
735.7125,735.7343,21171.0,27513.0,0.6,Echolocation,20210910_030000.WAV
736.0195,736.042,21171.0,27000.0,0.571,Echolocation,20210910_030000.WAV
736.3135,736.338,20312.0,27145.0,0.63,Echolocation,20210910_030000.WAV
736.6035,736.6238,21171.0,26255.0,0.569,Echolocation,20210910_030000.WAV
736.9145,736.9358,20312.0,26898.0,0.627,Echolocation,20210910_030000.WAV
737.2205,737.2442,20312.0,25609.0,0.574,Echolocation,20210910_030000.WAV
737.7585,737.7809,20312.0,27421.0,0.61,Echolocation,20210910_030000.WAV
738.0465,738.0675,21171.0,27196.0,0.696,Echolocation,20210910_030000.WAV
738.3505,738.3742,20312.0,27022.0,0.602,Echolocation,20210910_030000.WAV
738.5775,738.5989,21171.0,28009.0,0.672,Echolocation,20210910_030000.WAV
738.7975,738.8178,21171.0,28664.0,0.671,Echolocation,20210910_030000.WAV
739.0025,739.0235,21171.0,29584.0,0.714,Echolocation,20210910_030000.WAV
739.1755,739.1871,22031.0,31717.0,0.732,Echolocation,20210910_030000.WAV
739.3235,739.333,23750.0,31644.0,0.605,Echolocation,20210910_030000.WAV
739.4425,739.4503,23750.0,33204.0,0.638,Echolocation,20210910_030000.WAV
739.5165,739.5231,23750.0,34388.0,0.519,Echolocation,20210910_030000.WAV
739.8965,739.9106,22890.0,30196.0,0.662,Echolocation,20210910_030000.WAV
740.1315,740.1474,22031.0,31680.0,0.651,Echolocation,20210910_030000.WAV
740.2805,740.2991,22031.0,32296.0,0.616,Echolocation,20210910_030000.WAV
740.5375,740.5561,21171.0,30216.0,0.63,Echolocation,20210910_030000.WAV
740.7935,740.8167,21171.0,31618.0,0.622,Echolocation,20210910_030000.WAV
741.0465,741.0661,21171.0,32113.0,0.679,Echolocation,20210910_030000.WAV
741.2905,741.3127,21171.0,30505.0,0.604,Echolocation,20210910_030000.WAV
741.5375,741.5551,21171.0,31647.0,0.675,Echolocation,20210910_030000.WAV
741.7745,741.7922,21171.0,30139.0,0.621,Echolocation,20210910_030000.WAV
741.9355,741.9479,22031.0,31457.0,0.671,Echolocation,20210910_030000.WAV
742.1545,742.1755,21171.0,31361.0,0.674,Echolocation,20210910_030000.WAV
742.3295,742.347,21171.0,28074.0,0.662,Echolocation,20210910_030000.WAV
742.4435,742.4527,22890.0,31743.0,0.548,Echolocation,20210910_030000.WAV
742.5745,742.5872,22031.0,29449.0,0.701,Echolocation,20210910_030000.WAV
742.8375,742.8549,21171.0,28071.0,0.671,Echolocation,20210910_030000.WAV
743.0995,743.1185,21171.0,28852.0,0.681,Echolocation,20210910_030000.WAV
743.3525,743.3719,21171.0,28755.0,0.602,Echolocation,20210910_030000.WAV
743.5515,743.5565,45234.0,58566.0,0.588,Echolocation,20210910_030000.WAV
743.6095,743.6312,21171.0,28116.0,0.537,Echolocation,20210910_030000.WAV
743.7305,743.7362,41796.0,61428.0,0.511,Echolocation,20210910_030000.WAV
743.8675,743.8849,21171.0,27856.0,0.612,Echolocation,20210910_030000.WAV
744.2755,744.2807,40937.0,61828.0,0.527,Echolocation,20210910_030000.WAV
744.3935,744.4124,21171.0,28180.0,0.545,Echolocation,20210910_030000.WAV
745.3235,745.3313,40937.0,69052.0,0.518,Echolocation,20210910_030000.WAV
745.4065,745.4145,40078.0,66115.0,0.54,Echolocation,20210910_030000.WAV
745.7775,745.7917,22031.0,30040.0,0.594,Echolocation,20210910_030000.WAV
745.9555,745.9755,21171.0,27006.0,0.535,Echolocation,20210910_030000.WAV
746.1205,746.1276,41796.0,68510.0,0.518,Echolocation,20210910_030000.WAV
746.2095,746.2279,21171.0,27731.0,0.656,Echolocation,20210910_030000.WAV
746.3665,746.3726,40937.0,62933.0,0.604,Echolocation,20210910_030000.WAV
746.4635,746.483,21171.0,29368.0,0.583,Echolocation,20210910_030000.WAV
746.7205,746.7351,21171.0,27093.0,0.631,Echolocation,20210910_030000.WAV
746.7215,746.7291,38359.0,58786.0,0.528,Echolocation,20210910_030000.WAV
746.8435,746.8508,42656.0,63250.0,0.503,Echolocation,20210910_030000.WAV
747.9115,747.9311,21171.0,27457.0,0.637,Echolocation,20210910_030000.WAV
748.0525,748.058,43515.0,56054.0,0.573,Echolocation,20210910_030000.WAV
748.1525,748.1764000000001,20312.0,28224.0,0.652,Echolocation,20210910_030000.WAV
748.3955,748.4141,21171.0,28077.0,0.632,Echolocation,20210910_030000.WAV
748.5615,748.5793,21171.0,27552.0,0.674,Echolocation,20210910_030000.WAV
748.7055,748.7112,41796.0,61670.0,0.516,Echolocation,20210910_030000.WAV
748.8085,748.8229,21171.0,27409.0,0.587,Echolocation,20210910_030000.WAV
749.3225,749.3443,20312.0,27999.0,0.656,Echolocation,20210910_030000.WAV
749.6085,749.6248,21171.0,26003.0,0.517,Echolocation,20210910_030000.WAV
749.8745,749.8954,20312.0,27988.0,0.682,Echolocation,20210910_030000.WAV
750.1605,750.1779,20312.0,25199.0,0.563,Echolocation,20210910_030000.WAV
750.4225,750.439,21171.0,26158.0,0.552,Echolocation,20210910_030000.WAV
750.7005,750.7065,41796.0,51520.0,0.506,Echolocation,20210910_030000.WAV
