start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file
720.3465,720.3638,23750.0,26589.0,0.523,Echolocation,20220827_033000.WAV
741.6185,741.6360999999999,23750.0,28093.0,0.564,Echolocation,20220827_033000.WAV
742.6395,742.6524,24609.0,29228.0,0.605,Echolocation,20220827_033000.WAV
743.1595,743.177,23750.0,27792.0,0.538,Echolocation,20220827_033000.WAV
743.4155,743.4319,24609.0,27801.0,0.503,Echolocation,20220827_033000.WAV
743.6715,743.6916,23750.0,28012.0,0.516,Echolocation,20220827_033000.WAV
744.9535,744.9694,24609.0,27895.0,0.526,Echolocation,20220827_033000.WAV
745.1985,745.2158,24609.0,27234.0,0.518,Echolocation,20220827_033000.WAV
745.4615,745.4802999999999,23750.0,28020.0,0.526,Echolocation,20220827_033000.WAV
745.7145,745.7333,24609.0,26976.0,0.529,Echolocation,20220827_033000.WAV
746.2355,746.2533,23750.0,27733.0,0.527,Echolocation,20220827_033000.WAV
746.4985,746.518,23750.0,27635.0,0.591,Echolocation,20220827_033000.WAV
758.6815,758.6982,23750.0,27822.0,0.542,Echolocation,20220827_033000.WAV
759.4655,759.4811,23750.0,29175.0,0.6,Echolocation,20220827_033000.WAV
759.5805,759.5925,23750.0,29834.0,0.553,Echolocation,20220827_033000.WAV
759.6885,759.7006,23750.0,30263.0,0.522,Echolocation,20220827_033000.WAV
761.0805,761.0953,23750.0,29004.0,0.601,Echolocation,20220827_033000.WAV
762.7455,762.7648,23750.0,26877.0,0.511,Echolocation,20220827_033000.WAV
765.2195,765.2399,23750.0,26902.0,0.533,Echolocation,20220827_033000.WAV
765.7085,765.7288,23750.0,26715.0,0.538,Echolocation,20220827_033000.WAV
765.7525,765.7616,42656.0,55863.0,0.577,Echolocation,20220827_033000.WAV
765.8425,765.8512,42656.0,51252.0,0.546,Echolocation,20220827_033000.WAV
765.9195,765.9279,42656.0,57848.0,0.521,Echolocation,20220827_033000.WAV
766.0075,766.0243,23750.0,27513.0,0.546,Echolocation,20220827_033000.WAV
766.0185,766.0254,42656.0,51788.0,0.514,Echolocation,20220827_033000.WAV
766.3825,766.398,23750.0,29133.0,0.573,Echolocation,20220827_033000.WAV
766.4845,766.4956,23750.0,31343.0,0.671,Echolocation,20220827_033000.WAV
766.5905,766.6075,23750.0,28404.0,0.588,Echolocation,20220827_033000.WAV
766.6695,766.6784,40937.0,55498.0,0.589,Echolocation,20220827_033000.WAV
766.7255,766.7332,40937.0,59427.0,0.52,Echolocation,20220827_033000.WAV
766.8035,766.8119,40937.0,57732.0,0.534,Echolocation,20220827_033000.WAV
766.8875,766.895,40937.0,55574.0,0.512,Echolocation,20220827_033000.WAV
766.9155,766.9335,23750.0,28358.0,0.525,Echolocation,20220827_033000.WAV
767.0264999999999,767.0376,24609.0,30962.0,0.625,Echolocation,20220827_033000.WAV
767.7095,767.7239,24609.0,28928.0,0.548,Echolocation,20220827_033000.WAV
768.0135,768.0284,23750.0,28722.0,0.513,Echolocation,20220827_033000.WAV
768.3385,768.3526,23750.0,28661.0,0.59,Echolocation,20220827_033000.WAV
768.4705,768.4861,23750.0,28654.0,0.548,Echolocation,20220827_033000.WAV
768.9555,768.9737,23750.0,27278.0,0.55,Echolocation,20220827_033000.WAV
776.9185,776.931,24609.0,30435.0,0.581,Echolocation,20220827_033000.WAV
778.1985,778.2138,23750.0,27939.0,0.604,Echolocation,20220827_033000.WAV
779.1215,779.1392,23750.0,28165.0,0.574,Echolocation,20220827_033000.WAV
1084.8685,1084.8847,22890.0,26233.0,0.61,Echolocation,20220827_033000.WAV
1086.4735,1086.4915,22890.0,25742.0,0.668,Echolocation,20220827_033000.WAV
1088.8415,1088.8584,22031.0,26570.0,0.504,Echolocation,20220827_033000.WAV
1094.5375,1094.5541,24609.0,28008.0,0.501,Echolocation,20220827_033000.WAV
