,start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file,Collide
0,1080.7955,1080.7999,34062.0,49716.0,0.522,Echolocation,20220820_033000.WAV,
1,1082.3445,1082.3509,41796.0,57646.0,0.538,Echolocation,20220820_033000.WAV,
2,1082.4365,1082.4432,39218.0,61484.0,0.515,Echolocation,20220820_033000.WAV,
3,1082.5245,1082.5307,39218.0,63503.0,0.579,Echolocation,20220820_033000.WAV,
4,1082.6965,1082.7033,39218.0,66241.0,0.561,Echolocation,20220820_033000.WAV,
5,1082.7755,1082.7818,39218.0,70198.0,0.547,Echolocation,20220820_033000.WAV,
6,1082.8585,1082.866,37500.0,70926.0,0.523,Echolocation,20220820_033000.WAV,
7,1083.4815,1083.4888,34921.0,67590.0,0.53,Echolocation,20220820_033000.WAV,
8,1083.5735,1083.581,34921.0,65266.0,0.559,Echolocation,20220820_033000.WAV,
9,1083.7805,1083.7863,40937.0,62616.0,0.658,Echolocation,20220820_033000.WAV,
10,1083.8745,1083.8815,39218.0,67345.0,0.641,Echolocation,20220820_033000.WAV,
11,1083.9685,1083.9758,40078.0,61197.0,0.51,Echolocation,20220820_033000.WAV,
12,1084.0635,1084.0696,29765.0,67457.0,0.544,Echolocation,20220820_033000.WAV,
13,1084.2495,1084.2549,33203.0,59158.0,0.51,Echolocation,20220820_033000.WAV,
14,1084.3395,1084.3459,33203.0,60596.0,0.566,Echolocation,20220820_033000.WAV,
15,1084.4315,1084.4372,35781.0,54498.0,0.507,Echolocation,20220820_033000.WAV,
16,1084.5245,1084.5303,33203.0,54905.0,0.51,Echolocation,20220820_033000.WAV,
17,1084.7095,1084.7149,34062.0,53022.0,0.554,Echolocation,20220820_033000.WAV,
18,1084.9165,1084.9219,36640.0,53001.0,0.511,Echolocation,20220820_033000.WAV,
19,1085.8445,1085.8494,31484.0,52815.0,0.5,Echolocation,20220820_033000.WAV,
20,1085.9195,1085.9246,29765.0,57169.0,0.625,Echolocation,20220820_033000.WAV,
21,1086.4305,1086.4344,33203.0,47465.0,0.65,Echolocation,20220820_033000.WAV,
22,1090.5305,1090.5362,40937.0,52733.0,0.594,Echolocation,20220820_033000.WAV,
23,1090.6125,1090.6196,39218.0,54589.0,0.542,Echolocation,20220820_033000.WAV,
24,1090.6985,1090.7052,40937.0,52207.0,0.598,Echolocation,20220820_033000.WAV,
25,1090.7855,1090.7927,40937.0,54167.0,0.595,Echolocation,20220820_033000.WAV,
26,1090.8835,1090.8896,41796.0,55605.0,0.672,Echolocation,20220820_033000.WAV,
27,1091.1685,1091.1741,40937.0,55182.0,0.577,Echolocation,20220820_033000.WAV,
28,1094.2235,1094.2303,41796.0,53656.0,0.531,Echolocation,20220820_033000.WAV,
