start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file
1.0645,1.0694,36640.0,51910.0,0.521,Echolocation,20220820_050000.WAV
1.7265,1.7346,37500.0,60124.0,0.512,Echolocation,20220820_050000.WAV
1.8945,1.9008,34921.0,59586.0,0.554,Echolocation,20220820_050000.WAV
2.7415,2.7492,36640.0,46396.0,0.572,Echolocation,20220820_050000.WAV
4.1985,4.2058,40078.0,49377.0,0.527,Echolocation,20220820_050000.WAV
4.9885,4.9946,40937.0,50612.0,0.528,Echolocation,20220820_050000.WAV
5.6595,5.6664,41796.0,54694.0,0.596,Echolocation,20220820_050000.WAV
8.6795,8.6862,37500.0,53558.0,0.513,Echolocation,20220820_050000.WAV
8.8665,8.8735,36640.0,57668.0,0.546,Echolocation,20220820_050000.WAV
8.9635,8.9709,36640.0,52355.0,0.569,Echolocation,20220820_050000.WAV
9.0625,9.0675,35781.0,48828.0,0.564,Echolocation,20220820_050000.WAV
9.1605,9.1676,40078.0,50728.0,0.644,Echolocation,20220820_050000.WAV
9.2615,9.2668,35781.0,47193.0,0.538,Echolocation,20220820_050000.WAV
9.3575,9.3637,36640.0,51094.0,0.601,Echolocation,20220820_050000.WAV
9.5995,9.6098,40078.0,58256.0,0.514,Echolocation,20220820_050000.WAV
9.7325,9.743,40078.0,56340.0,0.605,Echolocation,20220820_050000.WAV
11.4345,11.4417,39218.0,54775.0,0.508,Echolocation,20220820_050000.WAV
12.0195,12.0275,39218.0,55291.0,0.697,Echolocation,20220820_050000.WAV
12.1085,12.1144,38359.0,57748.0,0.547,Echolocation,20220820_050000.WAV
12.3005,12.3072,40078.0,51652.0,0.69,Echolocation,20220820_050000.WAV
12.6835,12.6896,36640.0,60227.0,0.545,Echolocation,20220820_050000.WAV
12.7825,12.7881,34921.0,53963.0,0.63,Echolocation,20220820_050000.WAV
13.1005,13.1091,38359.0,58060.0,0.62,Echolocation,20220820_050000.WAV
13.1905,13.1964,40078.0,53198.0,0.604,Echolocation,20220820_050000.WAV
13.2895,13.2967,36640.0,60799.0,0.522,Echolocation,20220820_050000.WAV
13.4865,13.4927,37500.0,56554.0,0.554,Echolocation,20220820_050000.WAV
13.6845,13.6909,36640.0,54303.0,0.522,Echolocation,20220820_050000.WAV
13.7845,13.7918,37500.0,46358.0,0.645,Echolocation,20220820_050000.WAV
14.0615,14.0707,38359.0,44949.0,0.528,Echolocation,20220820_050000.WAV
14.6955,14.7019,37500.0,48035.0,0.533,Echolocation,20220820_050000.WAV
15.0925,15.0977,38359.0,52265.0,0.549,Echolocation,20220820_050000.WAV
