start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file
0.4595,0.4763,23750,28064,Nyctalus leisleri,0.522,0.597,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
0.8115,0.8277,23750,27677,Nyctalus leisleri,0.622,0.686,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
1.4515,1.4681,23750,27646,Nyctalus leisleri,0.564,0.65,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
1.6455,1.6616,24609,28307,Nyctalus leisleri,0.536,0.61,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
2.2945,2.3103,24609,27838,Nyctalus leisleri,0.412,0.519,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
6.2535,6.2689,23750,29419,Nyctalus leisleri,0.355,0.565,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
6.5195,6.5341,24609,30078,Nyctalus leisleri,0.354,0.535,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
6.7975,6.8101,25468,31207,Nyctalus leisleri,0.421,0.616,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
7.0555,7.0683,24609,30605,Nyctalus leisleri,0.397,0.642,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
7.3235,7.3368,25468,31151,Nyctalus leisleri,0.365,0.576,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
7.6145,7.6267,24609,30100,Nyctalus leisleri,0.474,0.633,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
7.8965,7.9103,24609,30560,Nyctalus leisleri,0.396,0.562,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
8.0295,8.0407,27187,31726,Nyctalus leisleri,0.334,0.509,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
8.1885,8.2006,25468,29351,Nyctalus leisleri,0.561,0.627,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_30.wav
