start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file
0.1295,0.1416,24609,31283,Nyctalus leisleri,0.382,0.656,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
0.6165,0.6285,24609,31346,Nyctalus leisleri,0.365,0.667,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
0.7785,0.7905,24609,32749,Eptesicus serotinus,0.365,0.658,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
1.0235,1.0355,24609,30889,Nyctalus leisleri,0.352,0.669,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
1.1645,1.1759,24609,31397,Nyctalus leisleri,0.416,0.701,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
1.3075,1.3196,24609,32943,Eptesicus serotinus,0.337,0.639,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
2.0045,2.0142,24609,32062,Eptesicus serotinus,0.264,0.544,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
2.1595,2.1733,23750,33427,Eptesicus serotinus,0.394,0.632,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
2.3185,2.3329,23750,32332,Eptesicus serotinus,0.367,0.627,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
2.4945,2.5066,24609,32595,Eptesicus serotinus,0.343,0.659,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
2.6555,2.6657,25468,34285,Nyctalus leisleri,0.366,0.715,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
2.8425,2.8526,25468,30854,Nyctalus leisleri,0.532,0.663,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
3.0145,3.0274,24609,33621,Eptesicus serotinus,0.352,0.667,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
3.6695,3.684,22890,28779,Nyctalus leisleri,0.46,0.62,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
3.9135,3.9263,24609,34862,Eptesicus serotinus,0.426,0.661,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
4.0805,4.0945,23750,33185,Eptesicus serotinus,0.361,0.661,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
4.3765,4.3909,23750,31834,Nyctalus leisleri,0.439,0.725,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
4.4275,4.4407,22890,27819,Nyctalus leisleri,0.472,0.575,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
4.6495,4.6657,22890,28980,Nyctalus leisleri,0.363,0.601,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
4.7275,4.7412,23750,31017,Nyctalus leisleri,0.398,0.677,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
4.8425,4.8532,24609,37791,Eptesicus serotinus,0.36,0.703,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
4.8925,4.9069,22890,29606,Nyctalus leisleri,0.328,0.59,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
4.9885,5.002,22890,34177,Eptesicus serotinus,0.454,0.672,-1,Echolocation,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-19_49_24_16.wav
