start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file
32.1735,32.1882,25468.0,29256.0,Echolocation,Nyctalus leisleri,0.507,0.588,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
33.408500000000004,33.4233,24609.0,28392.0,Echolocation,Nyctalus leisleri,0.535,0.615,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
33.5565,33.5704,26328.0,31029.0,Echolocation,Nyctalus leisleri,0.461,0.645,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
33.8915,33.9017,26328.0,32647.0,Echolocation,Nyctalus leisleri,0.29,0.513,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
34.7385,34.751599999999996,26328.0,29668.0,Echolocation,Nyctalus leisleri,0.518,0.61,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
35.0725,35.0859,25468.0,29282.0,Echolocation,Nyctalus leisleri,0.521,0.616,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
35.3205,35.3354,26328.0,29372.0,Echolocation,Nyctalus leisleri,0.549,0.63,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
35.5565,35.5692,26328.0,29803.0,Echolocation,Nyctalus leisleri,0.617,0.71,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
35.9155,35.93,25468.0,29214.0,Echolocation,Nyctalus leisleri,0.641,0.704,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
36.1595,36.1738,25468.0,29014.0,Echolocation,Nyctalus leisleri,0.622,0.695,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
36.5115,36.5253,25468.0,29543.0,Echolocation,Nyctalus leisleri,0.644,0.702,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
36.6445,36.6551,26328.0,31914.0,Echolocation,Nyctalus leisleri,0.672,0.756,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
36.8805,36.8935,25468.0,29821.0,Echolocation,Nyctalus leisleri,0.648,0.734,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
37.1285,37.1431,26328.0,29292.0,Echolocation,Nyctalus leisleri,0.481,0.596,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
37.3745,37.3877,25468.0,30081.0,Echolocation,Nyctalus leisleri,0.683,0.761,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
37.6215,37.6358,25468.0,29389.0,Echolocation,Nyctalus leisleri,0.617,0.695,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
37.9805,37.9946,25468.0,29440.0,Echolocation,Nyctalus leisleri,0.698,0.769,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
38.2325,38.2462,25468.0,28752.0,Echolocation,Nyctalus leisleri,0.64,0.716,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
38.4735,38.4867,25468.0,29653.0,Echolocation,Nyctalus leisleri,0.646,0.724,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
38.9685,38.981700000000004,25468.0,29584.0,Echolocation,Nyctalus leisleri,0.683,0.771,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
39.3305,39.3457,25468.0,28634.0,Echolocation,Nyctalus leisleri,0.636,0.714,-1,/mnt/ubna_data_03/UBNA_202309/20230915_central_pond_wav_files/UBNA_23-09-15-20_36_47_25.wav
