start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file
838.5485,838.5673,20312.0,23048.0,0.518,Echolocation,20220727_030000.WAV
909.9805,909.9982,22890.0,25813.0,0.706,Echolocation,20220727_030000.WAV
1640.6415,1640.6565,23750.0,28488.0,0.503,Echolocation,20220727_030000.WAV
887.7635,887.7788,23750.0,27568.0,0.537,Echolocation,20220727_040000.WAV
1026.2405,1026.2603,21171.0,23444.0,0.711,Echolocation,20220727_040000.WAV
748.9375,748.9438,40078.0,54042.0,0.513,Echolocation,20220727_043000.WAV
769.9545,769.9648,43515.0,63946.0,0.58,Echolocation,20220727_043000.WAV
770.1295,770.1382,41796.0,62884.0,0.567,Echolocation,20220727_043000.WAV
770.3095,770.3164,41796.0,55549.0,0.528,Echolocation,20220727_043000.WAV
771.7935,771.7989,45234.0,52519.0,0.537,Echolocation,20220727_043000.WAV
771.8555,771.8625,44375.0,54539.0,0.567,Echolocation,20220727_043000.WAV
771.9285,771.9338,45234.0,58298.0,0.669,Echolocation,20220727_043000.WAV
772.0035,772.0092,43515.0,63192.0,0.516,Echolocation,20220727_043000.WAV
774.2545,774.2606,41796.0,64751.0,0.514,Echolocation,20220727_043000.WAV
774.7425,774.7512,45234.0,59282.0,0.564,Echolocation,20220727_043000.WAV
1194.4275,1194.4363,40937.0,55800.0,0.572,Echolocation,20220727_043000.WAV
1194.5715,1194.5805,39218.0,52539.0,0.531,Echolocation,20220727_043000.WAV
1194.8245,1194.8319,41796.0,53385.0,0.602,Echolocation,20220727_043000.WAV
1194.8795,1194.8875,40937.0,51859.0,0.511,Echolocation,20220727_043000.WAV
1195.0295,1195.0366,40937.0,52091.0,0.519,Echolocation,20220727_043000.WAV
1197.1435,1197.1523,40937.0,65405.0,0.505,Echolocation,20220727_043000.WAV
1198.2495,1198.2553,42656.0,65345.0,0.502,Echolocation,20220727_043000.WAV
1198.8145,1198.8213,41796.0,56014.0,0.517,Echolocation,20220727_043000.WAV
1199.0965,1199.1026,41796.0,58567.0,0.583,Echolocation,20220727_043000.WAV
1199.1865,1199.1923,39218.0,59897.0,0.541,Echolocation,20220727_043000.WAV
1199.3305,1199.3371,39218.0,64709.0,0.554,Echolocation,20220727_043000.WAV
1199.5215,1199.5272,40937.0,62492.0,0.535,Echolocation,20220727_043000.WAV
1199.6285,1199.6353,38359.0,48950.0,0.552,Echolocation,20220727_043000.WAV
1199.7105,1199.7163,40937.0,62357.0,0.589,Echolocation,20220727_043000.WAV
1199.9295,1199.9347,40937.0,60037.0,0.519,Echolocation,20220727_043000.WAV
1200.2105,1200.2172,39218.0,55944.0,0.615,Echolocation,20220727_043000.WAV
1200.4035,1200.4108,40078.0,58013.0,0.662,Echolocation,20220727_043000.WAV
1200.6125,1200.62,40078.0,57410.0,0.623,Echolocation,20220727_043000.WAV
1200.6965,1200.7021,40937.0,58117.0,0.571,Echolocation,20220727_043000.WAV
1200.7735,1200.7792,40937.0,57424.0,0.563,Echolocation,20220727_043000.WAV
1200.8345,1200.8415,40078.0,48885.0,0.528,Echolocation,20220727_043000.WAV
1200.9005,1200.9079,39218.0,46663.0,0.545,Echolocation,20220727_043000.WAV
1200.9615,1200.9671,40937.0,52379.0,0.612,Echolocation,20220727_043000.WAV
1201.1715,1201.1786,40937.0,48749.0,0.512,Echolocation,20220727_043000.WAV
1226.0605,1226.07,37500.0,45291.0,0.506,Echolocation,20220727_043000.WAV
1226.2485,1226.2567,35781.0,47241.0,0.546,Echolocation,20220727_043000.WAV
1226.6905,1226.7022,36640.0,43790.0,0.51,Echolocation,20220727_043000.WAV
1226.7905,1226.7993,35781.0,47395.0,0.522,Echolocation,20220727_043000.WAV
1226.8845,1226.8949,36640.0,48206.0,0.646,Echolocation,20220727_043000.WAV
1227.1635,1227.1731,35781.0,49334.0,0.574,Echolocation,20220727_043000.WAV
1227.3585,1227.3669,35781.0,53708.0,0.507,Echolocation,20220727_043000.WAV
1228.6525,1228.6614,39218.0,50953.0,0.567,Echolocation,20220727_043000.WAV
1232.3545,1232.3611,34921.0,57205.0,0.506,Echolocation,20220727_043000.WAV
1235.6925,1235.701,34921.0,45249.0,0.51,Echolocation,20220727_043000.WAV
1236.2095,1236.2174,35781.0,49396.0,0.512,Echolocation,20220727_043000.WAV
1370.2745,1370.2836,39218.0,47220.0,0.523,Echolocation,20220727_043000.WAV
1370.3665,1370.3758,40078.0,54927.0,0.596,Echolocation,20220727_043000.WAV
1370.5255,1370.5334,40078.0,55198.0,0.573,Echolocation,20220727_043000.WAV
1370.6015,1370.6107,40937.0,54331.0,0.594,Echolocation,20220727_043000.WAV
1370.6795,1370.6884,41796.0,56635.0,0.581,Echolocation,20220727_043000.WAV
1370.7615,1370.772,40937.0,56865.0,0.589,Echolocation,20220727_043000.WAV
1370.8485,1370.8586,40937.0,53251.0,0.533,Echolocation,20220727_043000.WAV
1370.9605,1370.9699,40937.0,51072.0,0.582,Echolocation,20220727_043000.WAV
1373.4105,1373.4183,40937.0,50835.0,0.557,Echolocation,20220727_043000.WAV
1373.8045,1373.8126,40078.0,49696.0,0.589,Echolocation,20220727_043000.WAV
1373.9005,1373.9089,40937.0,51973.0,0.62,Echolocation,20220727_043000.WAV
1374.0255,1374.0326,42656.0,51668.0,0.623,Echolocation,20220727_043000.WAV
1374.1195,1374.1283,40078.0,54374.0,0.576,Echolocation,20220727_043000.WAV
1374.3235,1374.3321,40937.0,49476.0,0.627,Echolocation,20220727_043000.WAV
1374.4275,1374.4353,39218.0,50697.0,0.596,Echolocation,20220727_043000.WAV
1374.5305,1374.5406,40078.0,51980.0,0.563,Echolocation,20220727_043000.WAV
1374.6345,1374.6431,41796.0,52802.0,0.604,Echolocation,20220727_043000.WAV
1374.7285,1374.74,40937.0,54863.0,0.541,Echolocation,20220727_043000.WAV
1375.0445,1375.0496,43515.0,53227.0,0.545,Echolocation,20220727_043000.WAV
1375.2555,1375.265,40078.0,48525.0,0.628,Echolocation,20220727_043000.WAV
1375.4625,1375.4705,40937.0,53114.0,0.658,Echolocation,20220727_043000.WAV
1375.5615,1375.57,40078.0,52589.0,0.679,Echolocation,20220727_043000.WAV
1375.6555,1375.6632,40937.0,52374.0,0.56,Echolocation,20220727_043000.WAV
1375.7525,1375.7622,40078.0,50123.0,0.61,Echolocation,20220727_043000.WAV
1375.8485,1375.8577,40937.0,51720.0,0.569,Echolocation,20220727_043000.WAV
1375.9575,1375.9682,42656.0,51775.0,0.647,Echolocation,20220727_043000.WAV
1386.7775,1386.7873,40078.0,50735.0,0.594,Echolocation,20220727_043000.WAV
1386.8655,1386.8762,39218.0,49495.0,0.503,Echolocation,20220727_043000.WAV
1386.9625,1386.9719,40078.0,56323.0,0.645,Echolocation,20220727_043000.WAV
1387.0775,1387.0865,40078.0,51431.0,0.568,Echolocation,20220727_043000.WAV
1387.1705,1387.1795,40078.0,55240.0,0.622,Echolocation,20220727_043000.WAV
1387.2645,1387.2729,40078.0,52563.0,0.687,Echolocation,20220727_043000.WAV
1387.3585,1387.3673,40078.0,56336.0,0.63,Echolocation,20220727_043000.WAV
1387.4605,1387.4697,40937.0,54260.0,0.629,Echolocation,20220727_043000.WAV
1387.5355,1387.5421,41796.0,56696.0,0.531,Echolocation,20220727_043000.WAV
1387.6145,1387.6242,41796.0,54557.0,0.589,Echolocation,20220727_043000.WAV
1387.7125,1387.7211,40078.0,55625.0,0.605,Echolocation,20220727_043000.WAV
1391.5725,1391.5803,43515.0,51182.0,0.524,Echolocation,20220727_043000.WAV
1391.6395,1391.6456,44375.0,59638.0,0.568,Echolocation,20220727_043000.WAV
1391.6935,1391.7005,44375.0,53040.0,0.542,Echolocation,20220727_043000.WAV
1397.1715,1397.1817,41796.0,54369.0,0.501,Echolocation,20220727_043000.WAV
1397.4545,1397.4647,40937.0,52059.0,0.522,Echolocation,20220727_043000.WAV
1397.7435,1397.7531,41796.0,53038.0,0.598,Echolocation,20220727_043000.WAV
1397.8395,1397.8508,41796.0,52437.0,0.541,Echolocation,20220727_043000.WAV
1397.9365,1397.9474,40937.0,51708.0,0.61,Echolocation,20220727_043000.WAV
1398.0335,1398.0429,41796.0,51979.0,0.665,Echolocation,20220727_043000.WAV
1398.1275,1398.1368,41796.0,53814.0,0.686,Echolocation,20220727_043000.WAV
1398.2285,1398.2379,40937.0,51955.0,0.626,Echolocation,20220727_043000.WAV
1398.3295,1398.3404,41796.0,53216.0,0.651,Echolocation,20220727_043000.WAV
1398.4325,1398.4423,40937.0,51903.0,0.656,Echolocation,20220727_043000.WAV
1398.5375,1398.5472,41796.0,52134.0,0.704,Echolocation,20220727_043000.WAV
1398.6325,1398.6421,40937.0,50528.0,0.65,Echolocation,20220727_043000.WAV
1398.7325,1398.7412,41796.0,51019.0,0.692,Echolocation,20220727_043000.WAV
1398.8255,1398.8361,40937.0,50572.0,0.568,Echolocation,20220727_043000.WAV
1398.9245,1398.9368,40937.0,55740.0,0.602,Echolocation,20220727_043000.WAV
1399.0255,1399.0372,40078.0,47435.0,0.579,Echolocation,20220727_043000.WAV
1399.1225,1399.133,41796.0,52813.0,0.525,Echolocation,20220727_043000.WAV
1399.3235,1399.3342,41796.0,56052.0,0.62,Echolocation,20220727_043000.WAV
1399.9335,1399.9408,40937.0,48462.0,0.633,Echolocation,20220727_043000.WAV
1400.0795,1400.0877,40078.0,47169.0,0.588,Echolocation,20220727_043000.WAV
1400.2885,1400.2979,40937.0,51742.0,0.675,Echolocation,20220727_043000.WAV
1400.4505,1400.4596,40937.0,51292.0,0.623,Echolocation,20220727_043000.WAV
1720.0985,1720.1057,43515.0,55170.0,0.665,Echolocation,20220727_043000.WAV
1720.2865,1720.2947,42656.0,53890.0,0.503,Echolocation,20220727_043000.WAV
1720.3805,1720.3904,40937.0,54347.0,0.533,Echolocation,20220727_043000.WAV
1720.4585,1720.4674,41796.0,52884.0,0.602,Echolocation,20220727_043000.WAV
1720.5935,1720.6007,42656.0,54539.0,0.624,Echolocation,20220727_043000.WAV
1720.7845,1720.7945,40937.0,55223.0,0.525,Echolocation,20220727_043000.WAV
1720.9665,1720.9756,42656.0,53101.0,0.579,Echolocation,20220727_043000.WAV
1721.0635,1721.0729,41796.0,52816.0,0.589,Echolocation,20220727_043000.WAV
1721.3415,1721.3513,42656.0,60078.0,0.558,Echolocation,20220727_043000.WAV
