start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
2.2565,2.2689,25468.0,30513.0,Echolocation,0.53,20220914_030000.WAV
2.3995,2.4123,24609.0,29416.0,Echolocation,0.561,20220914_030000.WAV
2.6705,2.6832,25468.0,31250.0,Echolocation,0.533,20220914_030000.WAV
2.8135,2.8281,24609.0,31312.0,Echolocation,0.527,20220914_030000.WAV
3.1925,3.2075,24609.0,28935.0,Echolocation,0.562,20220914_030000.WAV
3.3665,3.3827,25468.0,29518.0,Echolocation,0.526,20220914_030000.WAV
4.0965,4.1134,23750.0,29970.0,Echolocation,0.517,20220914_030000.WAV
4.3525,4.3664,24609.0,31627.0,Echolocation,0.608,20220914_030000.WAV
4.4955,4.5109,25468.0,33183.0,Echolocation,0.539,20220914_030000.WAV
4.7525,4.7675,24609.0,31753.0,Echolocation,0.579,20220914_030000.WAV
5.1595,5.1695,27187.0,33708.0,Echolocation,0.566,20220914_030000.WAV
5.2485,5.2662,23750.0,29877.0,Echolocation,0.552,20220914_030000.WAV
5.4185,5.4364,23750.0,35111.0,Echolocation,0.565,20220914_030000.WAV
5.5685,5.585,24609.0,36553.0,Echolocation,0.575,20220914_030000.WAV
5.7045,5.7221,24609.0,36703.0,Echolocation,0.547,20220914_030000.WAV
5.8475,5.8624,25468.0,41615.0,Echolocation,0.691,20220914_030000.WAV
6.0345,6.0476,25468.0,38492.0,Echolocation,0.701,20220914_030000.WAV
6.1665,6.1779,26328.0,41288.0,Echolocation,0.713,20220914_030000.WAV
6.2935,6.3039,28046.0,42971.0,Echolocation,0.606,20220914_030000.WAV
6.4175,6.4291,27187.0,40733.0,Echolocation,0.527,20220914_030000.WAV
6.5295,6.541,27187.0,44184.0,Echolocation,0.647,20220914_030000.WAV
6.6575,6.67,27187.0,42035.0,Echolocation,0.569,20220914_030000.WAV
6.7775,6.7896,25468.0,43503.0,Echolocation,0.653,20220914_030000.WAV
6.9105,6.9245,25468.0,39024.0,Echolocation,0.629,20220914_030000.WAV
7.1425,7.1577,23750.0,41395.0,Echolocation,0.713,20220914_030000.WAV
7.3535,7.3724,23750.0,36410.0,Echolocation,0.572,20220914_030000.WAV
7.4745,7.4882,26328.0,37090.0,Echolocation,0.514,20220914_030000.WAV
7.5765,7.5871,27187.0,36341.0,Echolocation,0.633,20220914_030000.WAV
7.6715,7.6821,27187.0,37073.0,Echolocation,0.552,20220914_030000.WAV
7.8285,7.8419,25468.0,43425.0,Echolocation,0.687,20220914_030000.WAV
8.2245,8.2394,25468.0,43180.0,Echolocation,0.649,20220914_030000.WAV
8.3445,8.3573,26328.0,41888.0,Echolocation,0.666,20220914_030000.WAV
