start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file,Collide
538.4315,538.4383,48671.0,58558.0,0.517,Echolocation,20221017_030000.WAV,
538.5245,538.532,46093.0,61749.0,0.538,Echolocation,20221017_030000.WAV,
538.6085,538.6148,45234.0,61509.0,0.617,Echolocation,20221017_030000.WAV,
538.7915,538.8006,44375.0,62864.0,0.636,Echolocation,20221017_030000.WAV,
538.9795,538.9857,43515.0,63993.0,0.537,Echolocation,20221017_030000.WAV,
539.0755,539.0818,43515.0,63971.0,0.599,Echolocation,20221017_030000.WAV,
539.1725,539.1779,43515.0,61654.0,0.614,Echolocation,20221017_030000.WAV,
539.2715,539.2779,42656.0,63305.0,0.596,Echolocation,20221017_030000.WAV,
539.3665,539.3727,43515.0,63692.0,0.64,Echolocation,20221017_030000.WAV,
539.4655,539.4728,42656.0,62062.0,0.614,Echolocation,20221017_030000.WAV,
539.6585,539.665,40937.0,72552.0,0.557,Echolocation,20221017_030000.WAV,
539.7495,539.7565,43515.0,63950.0,0.674,Echolocation,20221017_030000.WAV,
539.8795,539.8855,46093.0,65382.0,0.703,Echolocation,20221017_030000.WAV,
539.9675,539.9736,43515.0,67322.0,0.647,Echolocation,20221017_030000.WAV,
540.0675,540.0761,45234.0,66442.0,0.667,Echolocation,20221017_030000.WAV,
540.1665,540.1733,43515.0,65877.0,0.709,Echolocation,20221017_030000.WAV,
540.2625,540.2678,43515.0,70533.0,0.677,Echolocation,20221017_030000.WAV,
540.3515,540.3569,45234.0,66087.0,0.732,Echolocation,20221017_030000.WAV,
540.4515,540.4566,43515.0,69359.0,0.728,Echolocation,20221017_030000.WAV,
540.5425,540.5483,42656.0,67607.0,0.656,Echolocation,20221017_030000.WAV,
540.6385,540.6448,44375.0,70108.0,0.675,Echolocation,20221017_030000.WAV,
540.7275,540.7331,42656.0,73666.0,0.605,Echolocation,20221017_030000.WAV,
540.8305,540.836,46093.0,71188.0,0.631,Echolocation,20221017_030000.WAV,
540.9245,540.93,43515.0,68740.0,0.57,Echolocation,20221017_030000.WAV,
541.0225,541.0275,44375.0,69280.0,0.613,Echolocation,20221017_030000.WAV,
541.1135,541.1191,43515.0,68966.0,0.535,Echolocation,20221017_030000.WAV,
541.3015,541.3082,45234.0,67735.0,0.544,Echolocation,20221017_030000.WAV,
541.4955,541.5008,42656.0,64717.0,0.565,Echolocation,20221017_030000.WAV,
541.5955,541.6008,44375.0,65565.0,0.583,Echolocation,20221017_030000.WAV,
541.6905,541.6954,43515.0,65731.0,0.661,Echolocation,20221017_030000.WAV,
541.7845,541.7898,43515.0,68233.0,0.54,Echolocation,20221017_030000.WAV,
541.8815,541.8867,43515.0,64256.0,0.535,Echolocation,20221017_030000.WAV,
541.9805,541.9856,46953.0,62932.0,0.624,Echolocation,20221017_030000.WAV,
542.1745,542.1803,43515.0,60180.0,0.53,Echolocation,20221017_030000.WAV,
