start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
250.0855,250.0946,39218.0,46923.0,Echolocation,Pipistrellus nathusii,0.544,0.598,-1,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220815_100000.WAV,recover-20220815,UBNA_008,Central Pond
250.5145,250.5232,39218.0,50479.0,Echolocation,Pipistrellus nathusii,0.613,0.674,-1,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220815_100000.WAV,recover-20220815,UBNA_008,Central Pond
250.6395,250.6491,40078.0,45834.0,Echolocation,Pipistrellus nathusii,0.493,0.533,-1,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220815_100000.WAV,recover-20220815,UBNA_008,Central Pond
250.8475,250.857,39218.0,51080.0,Echolocation,Pipistrellus nathusii,0.434,0.519,-1,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220815_100000.WAV,recover-20220815,UBNA_008,Central Pond
251.2375,251.2458,39218.0,46936.0,Echolocation,Pipistrellus nathusii,0.503,0.556,-1,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220815_100000.WAV,recover-20220815,UBNA_008,Central Pond
251.5815,251.5902,38359.0,47602.0,Echolocation,Pipistrellus nathusii,0.429,0.535,-1,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220815_100000.WAV,recover-20220815,UBNA_008,Central Pond
251.9135,251.92340000000002,38359.0,49753.0,Echolocation,Pipistrellus nathusii,0.496,0.549,-1,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220815_100000.WAV,recover-20220815,UBNA_008,Central Pond
252.3885,252.3979,38359.0,47027.0,Echolocation,Pipistrellus nathusii,0.452,0.607,-1,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220815_100000.WAV,recover-20220815,UBNA_008,Central Pond
252.7625,252.7718,37500.0,43312.0,Echolocation,Pipistrellus nathusii,0.46,0.505,-1,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220815_100000.WAV,recover-20220815,UBNA_008,Central Pond
253.0995,253.109,38359.0,47003.0,Echolocation,Pipistrellus nathusii,0.432,0.553,-1,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220815_100000.WAV,recover-20220815,UBNA_008,Central Pond
1113.6505,1113.6634,39218.0,51388.0,Echolocation,Pipistrellus nathusii,0.53,0.579,-1,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220815_100000.WAV,recover-20220815,UBNA_008,Central Pond
1114.0915,1114.1033,39218.0,56272.0,Echolocation,Pipistrellus nathusii,0.6,0.633,-1,/mnt/ubna_data_01/recover-20220815/UBNA_008/20220815_100000.WAV,recover-20220815,UBNA_008,Central Pond
