start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
24.5315,24.536,44375.0,65090.0,Myotis alcathoe,0.158,0.542,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
24.7195,24.7237,45234.0,71464.0,Myotis alcathoe,0.223,0.504,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
26.3235,26.3287,46953.0,62845.0,Pipistrellus pipistrellus,0.513,0.533,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
26.5235,26.5276,48671.0,69281.0,Pipistrellus pipistrellus,0.568,0.593,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
26.5805,26.5862,50390.0,60148.0,Pipistrellus pipistrellus,0.527,0.562,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
26.8125,26.8175,43515.0,69930.0,Pipistrellus pipistrellus,0.433,0.628,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
27.0475,27.0527,47812.0,66941.0,Pipistrellus pipistrellus,0.47,0.503,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
27.3035,27.3086,46953.0,70588.0,Pipistrellus pipistrellus,0.466,0.51,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
27.3895,27.3944,47812.0,67821.0,Pipistrellus pipistrellus,0.609,0.623,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
27.4485,27.454,47812.0,64477.0,Pipistrellus pipistrellus,0.577,0.625,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
27.5295,27.5362,47812.0,66040.0,Pipistrellus pipistrellus,0.503,0.577,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
28.9475,28.9511,49531.0,73628.0,Myotis alcathoe,0.465,0.566,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
29.0225,29.0258,51250.0,69762.0,Myotis alcathoe,0.409,0.512,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
29.1615,29.165,48671.0,72056.0,Myotis alcathoe,0.433,0.53,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
29.2185,29.2217,46953.0,71655.0,Myotis alcathoe,0.441,0.541,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
29.2775,29.2819,44375.0,80965.0,Myotis alcathoe,0.527,0.589,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
29.3445,29.3485,43515.0,80063.0,Myotis alcathoe,0.525,0.598,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
29.4135,29.4179,46093.0,80952.0,Myotis alcathoe,0.52,0.597,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
29.4925,29.4965,45234.0,78347.0,Myotis alcathoe,0.498,0.553,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
29.6165,29.62,48671.0,67605.0,Myotis alcathoe,0.315,0.513,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
29.6835,29.6874,44375.0,74636.0,Myotis alcathoe,0.444,0.555,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
29.7755,29.7793,49531.0,67626.0,Myotis alcathoe,0.339,0.519,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
30.0065,30.0098,52968.0,63883.0,Myotis alcathoe,0.397,0.557,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
30.1515,30.1552,43515.0,66761.0,Myotis alcathoe,0.343,0.577,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
30.3155,30.3188,46093.0,69784.0,Myotis alcathoe,0.449,0.575,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
30.3485,30.3523,44375.0,71399.0,Myotis alcathoe,0.362,0.52,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
30.4245,30.4278,45234.0,68587.0,Myotis alcathoe,0.414,0.583,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
30.4715,30.4746,47812.0,71920.0,Myotis alcathoe,0.432,0.619,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
30.5165,30.5197,47812.0,69100.0,Myotis alcathoe,0.44,0.559,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
31.1595,31.162300000000002,52109.0,74061.0,Myotis alcathoe,0.37,0.551,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
31.2085,31.2118,50390.0,67195.0,Myotis alcathoe,0.347,0.566,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
31.3225,31.3257,50390.0,66968.0,Myotis alcathoe,0.401,0.576,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
31.3775,31.3808,49531.0,69358.0,Myotis alcathoe,0.442,0.58,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
31.4225,31.4255,52968.0,69228.0,Myotis alcathoe,0.389,0.546,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
31.4865,31.4899,46093.0,71274.0,Myotis alcathoe,0.423,0.593,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
31.5425,31.5459,46953.0,74794.0,Myotis alcathoe,0.509,0.652,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
31.5985,31.6016,46953.0,75272.0,Myotis alcathoe,0.497,0.648,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
31.6625,31.6663,46093.0,79846.0,Myotis alcathoe,0.536,0.66,-1,Echolocation,/mnt/ubna_data_01/recover-20220822/UBNA_001/20220819_110000.WAV,recover-20220822,UBNA_001,Telephone Field
