start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
204.9015,204.9073,47812.0,54986.0,Echolocation,Pipistrellus pipistrellus,0.539,0.548,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
205.4865,205.4917,46093.0,56046.0,Echolocation,Pipistrellus pipistrellus,0.491,0.508,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
208.0125,208.01749999999998,51250.0,63672.0,Echolocation,Pipistrellus pipistrellus,0.422,0.511,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
208.1105,208.1153,52109.0,64424.0,Echolocation,Pipistrellus pipistrellus,0.485,0.519,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
208.6595,208.6641,48671.0,61961.0,Echolocation,Pipistrellus pipistrellus,0.484,0.52,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
209.1655,209.1702,48671.0,65816.0,Echolocation,Pipistrellus pipistrellus,0.43,0.501,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
209.3615,209.3665,46953.0,61107.0,Echolocation,Pipistrellus pipistrellus,0.513,0.601,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
209.45850000000002,209.4634,46953.0,61138.0,Echolocation,Pipistrellus pipistrellus,0.491,0.555,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
209.6155,209.6201,47812.0,62710.0,Echolocation,Pipistrellus pipistrellus,0.484,0.531,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
209.7185,209.7234,46953.0,62166.0,Echolocation,Pipistrellus pipistrellus,0.531,0.588,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
209.9245,209.9294,46093.0,62011.0,Echolocation,Pipistrellus pipistrellus,0.546,0.582,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
210.2335,210.2397,46953.0,61236.0,Echolocation,Pipistrellus pipistrellus,0.462,0.525,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
210.3365,210.3422,46953.0,66333.0,Echolocation,Pipistrellus pipistrellus,0.528,0.609,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
210.4435,210.4488,46953.0,64153.0,Echolocation,Pipistrellus pipistrellus,0.568,0.616,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
210.6645,210.6702,46093.0,64558.0,Echolocation,Pipistrellus pipistrellus,0.487,0.535,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
210.8065,210.8122,42656.0,71788.0,Echolocation,Pipistrellus pipistrellus,0.515,0.591,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
210.9055,210.9109,46953.0,63934.0,Echolocation,Pipistrellus pipistrellus,0.479,0.517,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
211.1165,211.1218,45234.0,65808.0,Echolocation,Pipistrellus pipistrellus,0.461,0.558,-1,/mnt/ubna_data_01/recover-20220825/UBNA_002/20220825_113000.WAV,recover-20220825,UBNA_002,Telephone Field
