start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file
66.5915,66.6099,23750.0,28056.0,0.538,Echolocation,20220826_070000.WAV
67.9315,67.9477,23750.0,28810.0,0.584,Echolocation,20220826_070000.WAV
68.6725,68.689,23750.0,29251.0,0.598,Echolocation,20220826_070000.WAV
68.9705,68.988,23750.0,29281.0,0.577,Echolocation,20220826_070000.WAV
69.2465,69.2624,23750.0,29257.0,0.618,Echolocation,20220826_070000.WAV
70.0825,70.0968,23750.0,29209.0,0.606,Echolocation,20220826_070000.WAV
70.5095,70.5258,23750.0,28529.0,0.537,Echolocation,20220826_070000.WAV
70.9385,70.9543,23750.0,29213.0,0.627,Echolocation,20220826_070000.WAV
71.2185,71.2351,23750.0,29453.0,0.6,Echolocation,20220826_070000.WAV
71.5005,71.5152,23750.0,30264.0,0.635,Echolocation,20220826_070000.WAV
71.9115,71.9264,23750.0,29607.0,0.594,Echolocation,20220826_070000.WAV
72.1875,72.2024,23750.0,30781.0,0.569,Echolocation,20220826_070000.WAV
72.5025,72.5174,23750.0,30270.0,0.651,Echolocation,20220826_070000.WAV
72.8905,72.9045,23750.0,31127.0,0.574,Echolocation,20220826_070000.WAV
73.1495,73.16499999999999,23750.0,30569.0,0.623,Echolocation,20220826_070000.WAV
73.3495,73.3651,23750.0,29002.0,0.583,Echolocation,20220826_070000.WAV
73.6105,73.625,24609.0,31464.0,0.554,Echolocation,20220826_070000.WAV
73.8005,73.8128,24609.0,34920.0,0.622,Echolocation,20220826_070000.WAV
74.0645,74.0791,23750.0,31725.0,0.553,Echolocation,20220826_070000.WAV
74.3385,74.3512,24609.0,31686.0,0.603,Echolocation,20220826_070000.WAV
74.5055,74.517,24609.0,33102.0,0.642,Echolocation,20220826_070000.WAV
74.6605,74.6721,24609.0,33515.0,0.603,Echolocation,20220826_070000.WAV
74.9165,74.9282,24609.0,30126.0,0.556,Echolocation,20220826_070000.WAV
75.1695,75.1832,23750.0,32479.0,0.615,Echolocation,20220826_070000.WAV
75.7255,75.7407,24609.0,30908.0,0.511,Echolocation,20220826_070000.WAV
173.4695,173.4835,24609.0,28611.0,0.582,Echolocation,20220826_070000.WAV
175.1925,175.20499999999998,24609.0,33353.0,0.612,Echolocation,20220826_070000.WAV
175.6065,175.623,24609.0,28545.0,0.556,Echolocation,20220826_070000.WAV
175.8965,175.9131,25468.0,31346.0,0.509,Echolocation,20220826_070000.WAV
176.7295,176.7462,23750.0,30180.0,0.561,Echolocation,20220826_070000.WAV
177.1405,177.1558,23750.0,29075.0,0.568,Echolocation,20220826_070000.WAV
177.4265,177.4419,23750.0,29441.0,0.608,Echolocation,20220826_070000.WAV
177.8555,177.8727,23750.0,28051.0,0.512,Echolocation,20220826_070000.WAV
178.2655,178.2803,23750.0,28906.0,0.61,Echolocation,20220826_070000.WAV
178.7065,178.7223,23750.0,28145.0,0.614,Echolocation,20220826_070000.WAV
179.10750000000002,179.1236,24609.0,27176.0,0.558,Echolocation,20220826_070000.WAV
179.9445,179.9603,23750.0,28178.0,0.645,Echolocation,20220826_070000.WAV
180.7895,180.8076,23750.0,28090.0,0.543,Echolocation,20220826_070000.WAV
216.5285,216.5377,40078.0,46094.0,0.593,Echolocation,20220826_070000.WAV
286.10450000000003,286.1127,39218.0,49254.0,0.579,Echolocation,20220826_070000.WAV
286.6175,286.6267,39218.0,46874.0,0.536,Echolocation,20220826_070000.WAV
286.8135,286.8211,38359.0,45889.0,0.508,Echolocation,20220826_070000.WAV
287.0225,287.0306,39218.0,49059.0,0.516,Echolocation,20220826_070000.WAV
287.5415,287.549,40078.0,46762.0,0.541,Echolocation,20220826_070000.WAV
287.6425,287.6493,38359.0,46264.0,0.547,Echolocation,20220826_070000.WAV
289.7015,289.70889999999997,40078.0,56642.0,0.621,Echolocation,20220826_070000.WAV
290.6795,290.685,34062.0,50386.0,0.511,Echolocation,20220826_070000.WAV
292.0915,292.0978,40078.0,53942.0,0.587,Echolocation,20220826_070000.WAV
292.1795,292.1848,40937.0,53250.0,0.561,Echolocation,20220826_070000.WAV
292.3625,292.3674,38359.0,56233.0,0.543,Echolocation,20220826_070000.WAV
293.3345,293.3396,41796.0,50298.0,0.546,Echolocation,20220826_070000.WAV
308.2315,308.2407,38359.0,50212.0,0.575,Echolocation,20220826_070000.WAV
308.5365,308.5446,36640.0,44286.0,0.536,Echolocation,20220826_070000.WAV
308.8515,308.8597,37500.0,47144.0,0.599,Echolocation,20220826_070000.WAV
309.0795,309.0877,38359.0,44773.0,0.524,Echolocation,20220826_070000.WAV
388.2275,388.2335,47812.0,62629.0,0.511,Echolocation,20220826_070000.WAV
388.5405,388.5475,46953.0,59578.0,0.51,Echolocation,20220826_070000.WAV
389.0325,389.0391,47812.0,54442.0,0.532,Echolocation,20220826_070000.WAV
389.1265,389.1326,45234.0,60470.0,0.647,Echolocation,20220826_070000.WAV
389.2305,389.2369,44375.0,59432.0,0.533,Echolocation,20220826_070000.WAV
389.33050000000003,389.3386,46953.0,59415.0,0.605,Echolocation,20220826_070000.WAV
389.3925,389.4019,38359.0,46374.0,0.536,Echolocation,20220826_070000.WAV
389.4405,389.4499,45234.0,61175.0,0.504,Echolocation,20220826_070000.WAV
389.5015,389.51030000000003,38359.0,44699.0,0.538,Echolocation,20220826_070000.WAV
389.5555,389.5619,45234.0,60599.0,0.597,Echolocation,20220826_070000.WAV
389.6615,389.6698,46953.0,65736.0,0.668,Echolocation,20220826_070000.WAV
389.7125,389.7213,38359.0,46062.0,0.503,Echolocation,20220826_070000.WAV
389.7655,389.7729,45234.0,69411.0,0.686,Echolocation,20220826_070000.WAV
