start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
0.1035,0.1091,46953,66423,Pipistrellus pipistrellus,0.452,0.64,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
0.5305,0.5374,40078,51445,Pipistrellus nathusii,0.412,0.566,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
0.6935,0.6984,46953,61029,Pipistrellus pipistrellus,0.523,0.578,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
0.8175,0.8216,47812,60970,Pipistrellus pipistrellus,0.445,0.54,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
1.1655,1.1727,43515,48488,Pipistrellus pipistrellus,0.334,0.526,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
1.5755,1.5812,40937,56160,Pipistrellus nathusii,0.32,0.507,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
2.3565,2.3607,48671,61898,Pipistrellus pipistrellus,0.526,0.552,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
2.3985,2.4039,48671,67660,Pipistrellus pipistrellus,0.646,0.672,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
2.5235,2.5285,47812,64034,Pipistrellus pipistrellus,0.635,0.678,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
2.7135,2.7191,49531,63489,Pipistrellus pipistrellus,0.543,0.593,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
3.0875,3.0958,46953,62707,Pipistrellus pipistrellus,0.375,0.512,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
3.3825,3.3869,46953,67008,Pipistrellus pipistrellus,0.534,0.586,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
4.2295,4.2365,47812,61731,Pipistrellus pipistrellus,0.487,0.547,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
4.3135,4.3191,47812,62703,Pipistrellus pipistrellus,0.494,0.55,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
4.3985,4.4041,48671,63916,Pipistrellus pipistrellus,0.555,0.605,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
4.5015,4.5062,46953,64082,Pipistrellus pipistrellus,0.553,0.61,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
4.5705,4.575,48671,62981,Pipistrellus pipistrellus,0.611,0.658,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
4.5965,4.6024,46953,66256,Pipistrellus pipistrellus,0.498,0.577,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
4.6725,4.6771,47812,59239,Pipistrellus pipistrellus,0.563,0.589,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
4.7575,4.7622,48671,70452,Pipistrellus pipistrellus,0.537,0.595,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
4.7775,4.7828,46953,56771,Pipistrellus pipistrellus,0.495,0.508,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
4.8485,4.8529,47812,66606,Pipistrellus pipistrellus,0.622,0.672,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
5.0655,5.0715,47812,60061,Pipistrellus pipistrellus,0.457,0.522,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
5.1575,5.1634,47812,59906,Pipistrellus pipistrellus,0.492,0.539,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
5.2375,5.2436,46093,63313,Pipistrellus pipistrellus,0.476,0.5,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
5.3495,5.3556,46953,58269,Pipistrellus pipistrellus,0.571,0.65,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
5.4395,5.4454,46093,69755,Pipistrellus pipistrellus,0.541,0.626,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
5.5095,5.5144,50390,61243,Pipistrellus pipistrellus,0.498,0.518,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
5.5415,5.5478,46953,63371,Pipistrellus pipistrellus,0.605,0.687,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
5.6365,5.6437,47812,61392,Pipistrellus pipistrellus,0.612,0.678,-1,Echolocation,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_093000.WAV,recover-20220828,UBNA_007,Telephone Field
