start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
81.7015,81.7071,45234.0,54550.0,Echolocation,Pipistrellus pipistrellus,0.512,0.549,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_070000.WAV,recover-20220828,UBNA_007,Telephone Field
81.7895,81.7948,45234.0,55924.0,Echolocation,Pipistrellus pipistrellus,0.548,0.579,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_070000.WAV,recover-20220828,UBNA_007,Telephone Field
83.2135,83.21940000000001,44375.0,52820.0,Echolocation,Pipistrellus pipistrellus,0.561,0.606,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_070000.WAV,recover-20220828,UBNA_007,Telephone Field
274.3965,274.4009,44375.0,58295.0,Echolocation,Pipistrellus pipistrellus,0.528,0.588,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_070000.WAV,recover-20220828,UBNA_007,Telephone Field
276.0855,276.0908,48671.0,61197.0,Echolocation,Pipistrellus pipistrellus,0.498,0.575,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_070000.WAV,recover-20220828,UBNA_007,Telephone Field
276.5585,276.5632,44375.0,58851.0,Echolocation,Pipistrellus pipistrellus,0.592,0.629,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_070000.WAV,recover-20220828,UBNA_007,Telephone Field
276.6425,276.6479,45234.0,60417.0,Echolocation,Pipistrellus pipistrellus,0.567,0.6,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_070000.WAV,recover-20220828,UBNA_007,Telephone Field
276.7255,276.7317,46953.0,57045.0,Echolocation,Pipistrellus pipistrellus,0.502,0.523,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_070000.WAV,recover-20220828,UBNA_007,Telephone Field
276.8995,276.9061,46093.0,56656.0,Echolocation,Pipistrellus pipistrellus,0.499,0.515,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_070000.WAV,recover-20220828,UBNA_007,Telephone Field
277.2505,277.2564,47812.0,58345.0,Echolocation,Pipistrellus pipistrellus,0.539,0.552,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_070000.WAV,recover-20220828,UBNA_007,Telephone Field
277.3095,277.3159,48671.0,61286.0,Echolocation,Pipistrellus pipistrellus,0.505,0.535,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_070000.WAV,recover-20220828,UBNA_007,Telephone Field
