date_and_time_UTC,num_of_detections,HF2_num_of_detections,HF1_num_of_detections,LF1_num_of_detections
2023-06-23 03:00:00+00:00,1,1,1,1
2023-06-23 03:30:00+00:00,1,1,1,1
2023-06-23 04:00:00+00:00,1,1,1,1
2023-06-23 04:30:00+00:00,1,1,1,1
2023-06-23 05:00:00+00:00,219,37,159,23
2023-06-23 05:30:00+00:00,87,1,15,72
2023-06-23 06:00:00+00:00,27,1,1,27
2023-06-23 06:30:00+00:00,1,1,1,1
2023-06-23 07:00:00+00:00,49,1,9,40
2023-06-23 07:30:00+00:00,38,1,14,24
2023-06-23 08:00:00+00:00,10,1,10,1
2023-06-23 08:30:00+00:00,1,1,1,1
2023-06-23 09:00:00+00:00,11,1,1,11
2023-06-23 09:30:00+00:00,1,1,1,1
2023-06-23 10:00:00+00:00,139,1,21,118
2023-06-23 10:30:00+00:00,22,1,9,13
2023-06-23 11:00:00+00:00,11,2,9,1
2023-06-23 11:30:00+00:00,1,1,1,1
2023-06-23 12:00:00+00:00,1,1,1,1
2023-06-23 12:30:00+00:00,1,1,1,1
2023-06-23 13:00:00+00:00,1,1,1,1
2023-06-24 03:00:00+00:00,1,1,1,1
2023-06-24 03:30:00+00:00,1,1,1,1
2023-06-24 04:00:00+00:00,1,1,1,1
2023-06-24 04:30:00+00:00,1,1,1,1
2023-06-24 05:00:00+00:00,138,1,96,42
2023-06-24 05:30:00+00:00,151,27,30,94
2023-06-24 06:00:00+00:00,29,1,1,29
2023-06-24 06:30:00+00:00,58,1,17,41
2023-06-24 07:00:00+00:00,347,4,85,257
2023-06-24 07:30:00+00:00,423,2,43,375
2023-06-24 08:00:00+00:00,334,29,134,170
2023-06-24 08:30:00+00:00,79,5,11,63
2023-06-24 09:00:00+00:00,93,1,71,21
2023-06-24 09:30:00+00:00,78,14,11,53
2023-06-24 10:00:00+00:00,69,22,8,39
2023-06-24 10:30:00+00:00,80,5,75,1
2023-06-24 11:00:00+00:00,16,1,16,1
2023-06-24 11:30:00+00:00,1,1,1,1
2023-06-24 12:00:00+00:00,1,1,1,1
2023-06-24 12:30:00+00:00,1,1,1,1
2023-06-24 13:00:00+00:00,1,1,1,1
2023-06-25 03:00:00+00:00,1,1,1,1
2023-06-25 03:30:00+00:00,1,1,1,1
2023-06-25 04:00:00+00:00,1,1,1,1
2023-06-25 04:30:00+00:00,1,1,1,1
2023-06-25 05:00:00+00:00,206,17,189,1
2023-06-25 05:30:00+00:00,67,1,52,15
2023-06-25 06:00:00+00:00,68,1,40,28
2023-06-25 06:30:00+00:00,52,1,1,52
2023-06-25 07:00:00+00:00,47,8,27,12
2023-06-25 07:30:00+00:00,44,1,1,44
2023-06-25 08:00:00+00:00,130,1,108,22
2023-06-25 08:30:00+00:00,33,1,1,33
2023-06-25 09:00:00+00:00,1,1,1,1
2023-06-25 09:30:00+00:00,18,1,18,1
2023-06-25 10:00:00+00:00,38,11,27,1
2023-06-25 10:30:00+00:00,52,2,50,1
2023-06-25 11:00:00+00:00,3,1,3,1
2023-06-25 11:30:00+00:00,1,1,1,1
2023-06-25 12:00:00+00:00,1,1,1,1
2023-06-25 12:30:00+00:00,1,1,1,1
2023-06-25 13:00:00+00:00,1,1,1,1
2023-06-26 03:00:00+00:00,1,1,1,1
2023-06-26 03:30:00+00:00,1,1,1,1
2023-06-26 04:00:00+00:00,1,1,1,1
2023-06-26 04:30:00+00:00,1,1,1,1
2023-06-26 05:00:00+00:00,43,1,27,16
2023-06-26 05:30:00+00:00,42,1,1,42
2023-06-26 06:00:00+00:00,54,1,1,54
2023-06-26 06:30:00+00:00,116,18,64,21
2023-06-26 07:00:00+00:00,93,1,1,93
2023-06-26 07:30:00+00:00,121,25,1,96
2023-06-26 08:00:00+00:00,189,1,64,124
2023-06-26 08:30:00+00:00,58,1,53,5
2023-06-26 09:00:00+00:00,30,1,1,30
2023-06-26 09:30:00+00:00,64,1,36,28
2023-06-26 10:00:00+00:00,7,2,4,1
2023-06-26 10:30:00+00:00,113,7,106,1
2023-06-26 11:00:00+00:00,69,1,69,1
2023-06-26 11:30:00+00:00,1,1,1,1
2023-06-26 12:00:00+00:00,1,1,1,1
2023-06-26 12:30:00+00:00,1,1,1,1
2023-06-26 13:00:00+00:00,1,1,1,1
2023-06-27 03:00:00+00:00,1,1,1,1
2023-06-27 03:30:00+00:00,1,1,1,1
2023-06-27 04:00:00+00:00,1,1,1,1
2023-06-27 04:30:00+00:00,1,1,1,1
2023-06-27 05:00:00+00:00,12,1,11,1
2023-06-27 05:30:00+00:00,135,52,22,61
2023-06-27 06:00:00+00:00,187,29,43,115
2023-06-27 06:30:00+00:00,32,1,1,32
2023-06-27 07:00:00+00:00,70,1,8,62
2023-06-27 07:30:00+00:00,55,1,30,25
2023-06-27 08:00:00+00:00,183,1,129,54
2023-06-27 08:30:00+00:00,86,86,1,1
2023-06-27 09:00:00+00:00,53,11,30,12
2023-06-27 09:30:00+00:00,30,27,3,1
2023-06-27 10:00:00+00:00,45,35,1,10
2023-06-27 10:30:00+00:00,31,1,31,1
2023-06-27 11:00:00+00:00,57,10,47,1
2023-06-27 11:30:00+00:00,1,1,1,1
2023-06-27 12:00:00+00:00,1,1,1,1
2023-06-27 12:30:00+00:00,1,1,1,1
2023-06-27 13:00:00+00:00,1,1,1,1
2023-06-28 03:00:00+00:00,1,1,1,1
2023-06-28 03:30:00+00:00,1,1,1,1
2023-06-28 04:00:00+00:00,1,1,1,1
2023-06-28 04:30:00+00:00,1,1,1,1
2023-06-28 05:00:00+00:00,315,21,115,179
2023-06-28 05:30:00+00:00,276,7,54,215
2023-06-28 06:00:00+00:00,297,51,104,142
2023-06-28 06:30:00+00:00,148,41,73,34
2023-06-28 07:00:00+00:00,88,5,25,58
2023-06-28 07:30:00+00:00,88,56,7,25
2023-06-28 08:00:00+00:00,232,105,81,46
2023-06-28 08:30:00+00:00,152,16,117,19
2023-06-28 09:00:00+00:00,5,1,4,1
2023-06-28 09:30:00+00:00,85,40,40,5
2023-06-28 10:00:00+00:00,31,1,31,1
2023-06-28 10:30:00+00:00,140,69,71,1
2023-06-28 11:00:00+00:00,181,1,180,1
2023-06-28 11:30:00+00:00,1,1,1,1
2023-06-28 12:00:00+00:00,1,1,1,1
2023-06-28 12:30:00+00:00,1,1,1,1
2023-06-28 13:00:00+00:00,1,1,1,1
