Time (UTC),06/23/23,06/24/23,06/25/23,06/26/23,06/27/23,06/28/23
00:00,,0.0,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,0.0,0.0,0.0
03:00,1.0,1.0,1.0,1.0,1.0,1.0
03:30,1.0,1.0,1.0,1.0,1.0,1.0
04:00,1.0,1.0,1.0,1.0,1.0,1.0
04:30,1.0,1.0,1.0,1.0,1.0,1.0
05:00,219.0,138.0,206.0,43.0,12.0,315.0
05:30,87.0,151.0,67.0,42.0,135.0,276.0
06:00,27.0,29.0,68.0,54.0,187.0,297.0
06:30,1.0,58.0,52.0,116.0,32.0,148.0
07:00,49.0,347.0,47.0,93.0,70.0,88.0
07:30,38.0,423.0,44.0,121.0,55.0,88.0
08:00,10.0,334.0,130.0,189.0,183.0,232.0
08:30,1.0,79.0,33.0,58.0,86.0,152.0
09:00,11.0,93.0,1.0,30.0,53.0,5.0
09:30,1.0,78.0,18.0,64.0,30.0,85.0
10:00,139.0,69.0,38.0,7.0,45.0,31.0
10:30,22.0,80.0,52.0,113.0,31.0,140.0
11:00,11.0,16.0,3.0,69.0,57.0,181.0
11:30,1.0,1.0,1.0,1.0,1.0,1.0
12:00,1.0,1.0,1.0,1.0,1.0,1.0
12:30,1.0,1.0,1.0,1.0,1.0,1.0
13:00,1.0,1.0,1.0,1.0,1.0,1.0
13:30,0.0,0.0,0.0,0.0,0.0,
14:00,0.0,0.0,0.0,0.0,0.0,
14:30,0.0,0.0,0.0,0.0,0.0,
15:00,0.0,0.0,0.0,0.0,0.0,
15:30,0.0,0.0,0.0,0.0,0.0,
16:00,0.0,0.0,0.0,0.0,0.0,
16:30,0.0,0.0,0.0,0.0,0.0,
17:00,0.0,0.0,0.0,0.0,0.0,
17:30,0.0,0.0,0.0,0.0,0.0,
18:00,0.0,0.0,0.0,0.0,0.0,
18:30,0.0,0.0,0.0,0.0,0.0,
19:00,0.0,0.0,0.0,0.0,0.0,
19:30,0.0,0.0,0.0,0.0,0.0,
20:00,0.0,0.0,0.0,0.0,0.0,
20:30,0.0,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,0.0,0.0,0.0,
21:30,0.0,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.0,
