Time (UTC),06/23/23,06/24/23,06/25/23,06/26/23,06/27/23,06/28/23
00:00,,0.0,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,0.0,0.0,0.0
03:00,1.0,1.0,1.0,1.0,1.0,1.0
03:30,1.0,1.0,1.0,1.0,1.0,1.0
04:00,1.0,1.0,1.0,1.0,1.0,1.0
04:30,72.0,591.0,92.0,47.0,36.0,81.0
05:00,276.0,510.0,1206.0,637.0,3615.0,1957.0
05:30,1.0,900.0,1.0,12.0,1260.0,1.0
06:00,26.0,762.0,2.0,50.0,26.0,8.0
06:30,34.0,4918.0,117.0,268.0,95.0,1061.0
07:00,367.0,4120.0,195.0,120.0,56.0,2457.0
07:30,14.0,8456.0,329.0,1.0,44.0,2502.0
08:00,27.0,7370.0,290.0,79.0,1376.0,
08:30,175.0,9654.0,641.0,2.0,1937.0,
09:00,323.0,9799.0,626.0,101.0,1123.0,
09:30,200.0,8730.0,353.0,69.0,2465.0,
10:00,189.0,5661.0,184.0,84.0,5518.0,
10:30,504.0,4328.0,153.0,544.0,5910.0,
11:00,247.0,2666.0,168.0,1898.0,3915.0,
11:30,70.0,1.0,1.0,54.0,21.0,
12:00,1.0,1.0,1.0,1.0,1.0,
12:30,1.0,1.0,1.0,1.0,1.0,
13:00,1.0,1.0,1.0,1.0,1.0,
13:30,0.0,0.0,0.0,0.0,0.0,
14:00,0.0,0.0,0.0,0.0,0.0,
14:30,0.0,0.0,0.0,0.0,0.0,
15:00,0.0,0.0,0.0,0.0,0.0,
15:30,0.0,0.0,0.0,0.0,0.0,
16:00,0.0,0.0,0.0,0.0,0.0,
16:30,0.0,0.0,0.0,0.0,0.0,
17:00,0.0,0.0,0.0,0.0,0.0,
17:30,0.0,0.0,0.0,0.0,0.0,
18:00,0.0,0.0,0.0,0.0,0.0,
18:30,0.0,0.0,0.0,0.0,0.0,
19:00,0.0,0.0,0.0,0.0,0.0,
19:30,0.0,0.0,0.0,0.0,0.0,
20:00,0.0,0.0,0.0,0.0,0.0,
20:30,0.0,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,0.0,0.0,0.0,
21:30,0.0,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.0,
