Time (UTC),06/29/23,06/30/23,07/01/23,07/02/23,07/03/23,07/04/23,07/05/23
00:00,,0.0,0.0,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,0.0,0.0,0.0,0.0
03:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
04:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0
04:30,598.0,61.0,1235.0,103.0,149.0,150.0,97.0
05:00,489.0,602.0,504.0,1076.0,526.0,89.0,159.0
05:30,45.0,1.0,1.0,217.0,2.0,1.0,1.0
06:00,42.0,1.0,1522.0,400.0,59.0,1.0,1.0
06:30,43.0,9.0,2231.0,78.0,45.0,1.0,37.0
07:00,32.0,102.0,2069.0,377.0,17.0,20.0,1.0
07:30,1200.0,44.0,2566.0,1018.0,9.0,9.0,1.0
08:00,165.0,78.0,4062.0,1269.0,718.0,269.0,24.0
08:30,228.0,260.0,4586.0,448.0,68.0,46.0,1.0
09:00,16.0,55.0,3394.0,2002.0,69.0,82.0,70.0
09:30,34.0,59.0,4011.0,1009.0,34.0,371.0,101.0
10:00,87.0,55.0,6416.0,1128.0,259.0,159.0,205.0
10:30,99.0,183.0,4448.0,1536.0,517.0,177.0,150.0
11:00,72.0,350.0,3536.0,3707.0,406.0,2464.0,1466.0
11:30,1.0,1.0,3.0,11.0,27.0,1.0,1.0
12:00,1.0,1.0,1.0,1.0,1.0,2.0,1.0
12:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:30,0.0,0.0,0.0,0.0,0.0,0.0,
14:00,0.0,0.0,0.0,0.0,0.0,0.0,
14:30,0.0,0.0,0.0,0.0,0.0,0.0,
15:00,0.0,0.0,0.0,0.0,0.0,0.0,
15:30,0.0,0.0,0.0,0.0,0.0,0.0,
16:00,0.0,0.0,0.0,0.0,0.0,0.0,
16:30,0.0,0.0,0.0,0.0,0.0,0.0,
17:00,0.0,0.0,0.0,0.0,0.0,0.0,
17:30,0.0,0.0,0.0,0.0,0.0,0.0,
18:00,0.0,0.0,0.0,0.0,0.0,0.0,
18:30,0.0,0.0,0.0,0.0,0.0,0.0,
19:00,0.0,0.0,0.0,0.0,0.0,0.0,
19:30,0.0,0.0,0.0,0.0,0.0,0.0,
20:00,0.0,0.0,0.0,0.0,0.0,0.0,
20:30,0.0,0.0,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,0.0,0.0,0.0,0.0,
21:30,0.0,0.0,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.0,0.0,
