,date_and_time_UTC,num_of_detections
0,2023-07-06 03:00:00,1.0
1,2023-07-06 03:30:00,1.0
2,2023-07-06 04:00:00,1.0
3,2023-07-06 04:30:00,1.0
4,2023-07-06 05:00:00,376.0
5,2023-07-06 05:30:00,104.0
6,2023-07-06 06:00:00,41.0
7,2023-07-06 06:30:00,105.0
8,2023-07-06 07:00:00,47.0
9,2023-07-06 07:30:00,105.0
10,2023-07-06 08:00:00,31.0
11,2023-07-06 08:30:00,34.0
12,2023-07-06 09:00:00,36.0
13,2023-07-06 09:30:00,22.0
14,2023-07-06 10:00:00,12.0
15,2023-07-06 10:30:00,42.0
16,2023-07-06 11:00:00,94.0
17,2023-07-06 11:30:00,1.0
18,2023-07-06 12:00:00,1.0
19,2023-07-06 12:30:00,1.0
20,2023-07-06 13:00:00,1.0
21,2023-07-07 03:00:00,1.0
22,2023-07-07 03:30:00,1.0
23,2023-07-07 04:00:00,1.0
24,2023-07-07 04:30:00,1.0
25,2023-07-07 05:00:00,448.0
26,2023-07-07 05:30:00,244.0
27,2023-07-07 06:00:00,295.0
28,2023-07-07 06:30:00,462.0
29,2023-07-07 07:00:00,679.0
30,2023-07-07 07:30:00,248.0
31,2023-07-07 08:00:00,225.0
32,2023-07-07 08:30:00,352.0
33,2023-07-07 09:00:00,47.0
34,2023-07-07 09:30:00,121.0
35,2023-07-07 10:00:00,134.0
36,2023-07-07 10:30:00,64.0
37,2023-07-07 11:00:00,1.0
38,2023-07-07 11:30:00,1.0
39,2023-07-07 12:00:00,1.0
40,2023-07-07 12:30:00,1.0
41,2023-07-07 13:00:00,1.0
42,2023-07-08 03:00:00,1.0
43,2023-07-08 03:30:00,1.0
44,2023-07-08 04:00:00,1.0
45,2023-07-08 04:30:00,37.0
46,2023-07-08 05:00:00,243.0
47,2023-07-08 05:30:00,340.0
48,2023-07-08 06:00:00,464.0
49,2023-07-08 06:30:00,637.0
50,2023-07-08 07:00:00,287.0
51,2023-07-08 07:30:00,326.0
52,2023-07-08 08:00:00,64.0
53,2023-07-08 08:30:00,334.0
54,2023-07-08 09:00:00,178.0
55,2023-07-08 09:30:00,172.0
56,2023-07-08 10:00:00,322.0
57,2023-07-08 10:30:00,213.0
58,2023-07-08 11:00:00,241.0
59,2023-07-08 11:30:00,1.0
60,2023-07-08 12:00:00,1.0
61,2023-07-08 12:30:00,1.0
62,2023-07-08 13:00:00,1.0
63,2023-07-09 03:00:00,1.0
64,2023-07-09 03:30:00,1.0
65,2023-07-09 04:00:00,1.0
66,2023-07-09 04:30:00,159.0
67,2023-07-09 05:00:00,440.0
68,2023-07-09 05:30:00,171.0
69,2023-07-09 06:00:00,57.0
70,2023-07-09 06:30:00,61.0
71,2023-07-09 07:00:00,133.0
72,2023-07-09 07:30:00,25.0
73,2023-07-09 08:00:00,10.0
74,2023-07-09 08:30:00,75.0
75,2023-07-09 09:00:00,24.0
76,2023-07-09 09:30:00,54.0
77,2023-07-09 10:00:00,3.0
78,2023-07-09 10:30:00,1.0
79,2023-07-09 11:00:00,40.0
80,2023-07-09 11:30:00,1.0
81,2023-07-09 12:00:00,1.0
82,2023-07-09 12:30:00,1.0
83,2023-07-09 13:00:00,1.0
84,2023-07-10 03:00:00,1.0
85,2023-07-10 03:30:00,1.0
86,2023-07-10 04:00:00,1.0
87,2023-07-10 04:30:00,71.0
88,2023-07-10 05:00:00,208.0
89,2023-07-10 05:30:00,234.0
90,2023-07-10 06:00:00,332.0
91,2023-07-10 06:30:00,234.0
92,2023-07-10 07:00:00,272.0
93,2023-07-10 07:30:00,327.0
94,2023-07-10 08:00:00,239.0
95,2023-07-10 08:30:00,235.0
96,2023-07-10 09:00:00,264.0
97,2023-07-10 09:30:00,194.0
98,2023-07-10 10:00:00,284.0
99,2023-07-10 10:30:00,405.0
100,2023-07-10 11:00:00,105.0
101,2023-07-10 11:30:00,44.0
102,2023-07-10 12:00:00,1.0
103,2023-07-10 12:30:00,1.0
104,2023-07-10 13:00:00,1.0
105,2023-07-11 03:00:00,1.0
106,2023-07-11 03:30:00,1.0
107,2023-07-11 04:00:00,1.0
108,2023-07-11 04:30:00,104.0
109,2023-07-11 05:00:00,214.0
110,2023-07-11 05:30:00,680.0
111,2023-07-11 06:00:00,344.0
112,2023-07-11 06:30:00,582.0
113,2023-07-11 07:00:00,325.0
114,2023-07-11 07:30:00,87.0
115,2023-07-11 08:00:00,112.0
116,2023-07-11 08:30:00,144.0
117,2023-07-11 09:00:00,83.0
118,2023-07-11 09:30:00,155.0
119,2023-07-11 10:00:00,397.0
120,2023-07-11 10:30:00,385.0
121,2023-07-11 11:00:00,130.0
122,2023-07-11 11:30:00,1.0
123,2023-07-11 12:00:00,1.0
124,2023-07-11 12:30:00,1.0
125,2023-07-11 13:00:00,1.0
