start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file
177.7525,177.7595,40937.0,54717.0,0.593,Echolocation,20230706_050000.WAV
177.8355,177.8438,40937.0,53451.0,0.617,Echolocation,20230706_050000.WAV
177.9215,177.9291,40937.0,55171.0,0.615,Echolocation,20230706_050000.WAV
178.0685,178.0757,40937.0,50805.0,0.603,Echolocation,20230706_050000.WAV
178.1315,178.1401,40937.0,52086.0,0.589,Echolocation,20230706_050000.WAV
178.2145,178.2226,40937.0,58729.0,0.635,Echolocation,20230706_050000.WAV
178.3095,178.31810000000002,40937.0,50160.0,0.551,Echolocation,20230706_050000.WAV
178.3865,178.3936,40937.0,54624.0,0.51,Echolocation,20230706_050000.WAV
178.4415,178.4495,41796.0,62321.0,0.585,Echolocation,20230706_050000.WAV
178.4965,178.5044,40937.0,60478.0,0.647,Echolocation,20230706_050000.WAV
178.5645,178.5727,40937.0,61803.0,0.649,Echolocation,20230706_050000.WAV
178.6365,178.6444,40937.0,61049.0,0.659,Echolocation,20230706_050000.WAV
178.7115,178.7185,40937.0,57714.0,0.762,Echolocation,20230706_050000.WAV
178.7715,178.781,41796.0,61956.0,0.632,Echolocation,20230706_050000.WAV
178.8525,178.8628,41796.0,57136.0,0.6,Echolocation,20230706_050000.WAV
178.9385,178.9492,40937.0,64197.0,0.673,Echolocation,20230706_050000.WAV
178.9945,179.0014,42656.0,59693.0,0.512,Echolocation,20230706_050000.WAV
179.0465,179.05270000000002,41796.0,61564.0,0.651,Echolocation,20230706_050000.WAV
179.1335,179.14170000000001,40078.0,55223.0,0.585,Echolocation,20230706_050000.WAV
179.2245,179.2321,40078.0,61820.0,0.674,Echolocation,20230706_050000.WAV
179.3185,179.3265,40078.0,63379.0,0.685,Echolocation,20230706_050000.WAV
179.4105,179.4193,39218.0,63114.0,0.638,Echolocation,20230706_050000.WAV
179.5055,179.5131,40078.0,59972.0,0.695,Echolocation,20230706_050000.WAV
179.5965,179.6054,40078.0,61716.0,0.645,Echolocation,20230706_050000.WAV
179.69650000000001,179.7041,40078.0,62493.0,0.742,Echolocation,20230706_050000.WAV
179.7595,179.7696,40937.0,64744.0,0.596,Echolocation,20230706_050000.WAV
179.8175,179.8253,40078.0,59602.0,0.616,Echolocation,20230706_050000.WAV
180.0515,180.0582,40937.0,57126.0,0.54,Echolocation,20230706_050000.WAV
180.1365,180.1448,40937.0,62616.0,0.502,Echolocation,20230706_050000.WAV
189.6625,189.6714,41796.0,54512.0,0.509,Echolocation,20230706_050000.WAV
189.8455,189.85660000000001,41796.0,53997.0,0.53,Echolocation,20230706_050000.WAV
189.9775,189.9877,40937.0,52454.0,0.557,Echolocation,20230706_050000.WAV
190.0355,190.045,40937.0,51535.0,0.557,Echolocation,20230706_050000.WAV
190.1865,190.1956,41796.0,51965.0,0.622,Echolocation,20230706_050000.WAV
191.5125,191.5223,42656.0,53334.0,0.53,Echolocation,20230706_050000.WAV
191.6105,191.6219,41796.0,48073.0,0.551,Echolocation,20230706_050000.WAV
191.6795,191.6887,41796.0,60617.0,0.505,Echolocation,20230706_050000.WAV
191.8595,191.8694,41796.0,60518.0,0.554,Echolocation,20230706_050000.WAV
191.9405,191.9485,41796.0,64151.0,0.575,Echolocation,20230706_050000.WAV
192.0245,192.0328,41796.0,60976.0,0.612,Echolocation,20230706_050000.WAV
192.1075,192.1154,41796.0,59641.0,0.585,Echolocation,20230706_050000.WAV
192.1835,192.191,42656.0,59949.0,0.51,Echolocation,20230706_050000.WAV
192.7225,192.733,41796.0,58560.0,0.525,Echolocation,20230706_050000.WAV
192.8155,192.8234,41796.0,58039.0,0.528,Echolocation,20230706_050000.WAV
192.9045,192.9145,40078.0,60782.0,0.529,Echolocation,20230706_050000.WAV
192.9855,192.9931,40937.0,54931.0,0.613,Echolocation,20230706_050000.WAV
193.1335,193.1429,40937.0,57711.0,0.529,Echolocation,20230706_050000.WAV
193.2985,193.3082,40078.0,62777.0,0.555,Echolocation,20230706_050000.WAV
193.3915,193.3995,40078.0,58043.0,0.655,Echolocation,20230706_050000.WAV
193.4525,193.4609,40078.0,54094.0,0.54,Echolocation,20230706_050000.WAV
193.5815,193.5902,40078.0,57426.0,0.598,Echolocation,20230706_050000.WAV
193.6605,193.6687,40078.0,52619.0,0.537,Echolocation,20230706_050000.WAV
193.9155,193.9245,40937.0,51829.0,0.507,Echolocation,20230706_050000.WAV
194.0155,194.0235,40078.0,56116.0,0.585,Echolocation,20230706_050000.WAV
194.1065,194.1147,40937.0,47958.0,0.548,Echolocation,20230706_050000.WAV
194.1975,194.2051,40937.0,54046.0,0.555,Echolocation,20230706_050000.WAV
194.3865,194.395,40078.0,53536.0,0.507,Echolocation,20230706_050000.WAV
194.57150000000001,194.57920000000001,39218.0,53753.0,0.523,Echolocation,20230706_050000.WAV
194.9145,194.9216,41796.0,49311.0,0.561,Echolocation,20230706_050000.WAV
195.0635,195.0713,40937.0,48089.0,0.603,Echolocation,20230706_050000.WAV
351.3575,351.3636,40937.0,50808.0,0.539,Echolocation,20230706_050000.WAV
