date_and_time_UTC,num_of_detections,HF2_num_of_detections,HF1_num_of_detections,LF1_num_of_detections
2023-07-06 03:09:00+00:00,1,1,1,1
2023-07-06 03:39:00+00:00,1,1,1,1
2023-07-06 04:09:00+00:00,1,1,1,1
2023-07-06 04:39:00+00:00,76,1,75,1
2023-07-06 05:09:00+00:00,1,1,1,1
2023-07-06 05:39:00+00:00,6,1,1,6
2023-07-06 06:09:00+00:00,4,1,1,3
2023-07-06 06:39:00+00:00,11,1,11,1
2023-07-06 07:09:00+00:00,3,1,1,3
2023-07-06 07:39:00+00:00,5,2,1,3
2023-07-06 08:09:00+00:00,17,1,17,1
2023-07-06 08:39:00+00:00,29,1,1,29
2023-07-06 09:09:00+00:00,12,1,1,12
2023-07-06 09:39:00+00:00,9,1,6,3
2023-07-06 10:09:00+00:00,21,1,1,21
2023-07-06 10:39:00+00:00,12,3,8,1
2023-07-06 11:09:00+00:00,22,1,5,17
2023-07-06 11:39:00+00:00,1,1,1,1
2023-07-06 12:09:00+00:00,1,1,1,1
2023-07-06 12:39:00+00:00,1,1,1,1
2023-07-06 13:09:00+00:00,0,0,0,0
2023-07-07 03:09:00+00:00,1,1,1,1
2023-07-07 03:39:00+00:00,1,1,1,1
2023-07-07 04:09:00+00:00,1,1,1,1
2023-07-07 04:39:00+00:00,3,3,1,1
2023-07-07 05:09:00+00:00,60,3,7,50
2023-07-07 05:39:00+00:00,107,1,1,107
2023-07-07 06:09:00+00:00,585,8,240,337
2023-07-07 06:39:00+00:00,842,13,200,629
2023-07-07 07:09:00+00:00,476,5,468,3
2023-07-07 07:39:00+00:00,864,43,419,402
2023-07-07 08:09:00+00:00,944,39,861,44
2023-07-07 08:39:00+00:00,351,2,241,108
2023-07-07 09:09:00+00:00,387,18,288,67
2023-07-07 09:39:00+00:00,394,24,370,1
2023-07-07 10:09:00+00:00,839,180,659,1
2023-07-07 10:39:00+00:00,798,137,628,29
2023-07-07 11:09:00+00:00,323,10,313,1
2023-07-07 11:39:00+00:00,1,1,1,1
2023-07-07 12:09:00+00:00,1,1,1,1
2023-07-07 12:39:00+00:00,1,1,1,1
2023-07-07 13:09:00+00:00,0,0,0,0
2023-07-08 03:09:00+00:00,9,1,1,9
2023-07-08 03:39:00+00:00,1,1,1,1
2023-07-08 04:09:00+00:00,1,1,1,1
2023-07-08 04:39:00+00:00,41,1,31,9
2023-07-08 05:09:00+00:00,250,13,83,154
2023-07-08 05:39:00+00:00,499,3,33,463
2023-07-08 06:09:00+00:00,545,15,11,519
2023-07-08 06:39:00+00:00,350,16,224,110
2023-07-08 07:09:00+00:00,253,19,221,13
2023-07-08 07:39:00+00:00,336,48,285,1
2023-07-08 08:09:00+00:00,194,53,139,2
2023-07-08 08:39:00+00:00,779,118,644,15
2023-07-08 09:09:00+00:00,67,6,61,1
2023-07-08 09:39:00+00:00,905,356,518,1
2023-07-08 10:09:00+00:00,486,159,310,5
2023-07-08 10:39:00+00:00,630,129,490,1
2023-07-08 11:09:00+00:00,1149,103,1045,1
2023-07-08 11:39:00+00:00,1,1,1,1
2023-07-08 12:09:00+00:00,1,1,1,1
2023-07-08 12:39:00+00:00,1,1,1,1
2023-07-08 13:09:00+00:00,0,0,0,0
2023-07-09 03:09:00+00:00,1,1,1,1
2023-07-09 03:39:00+00:00,1,1,1,1
2023-07-09 04:09:00+00:00,1,1,1,1
2023-07-09 04:39:00+00:00,23,3,20,1
2023-07-09 05:09:00+00:00,9,1,2,7
2023-07-09 05:39:00+00:00,11,1,1,10
2023-07-09 06:09:00+00:00,86,1,5,81
2023-07-09 06:39:00+00:00,29,1,10,19
2023-07-09 07:09:00+00:00,25,1,25,1
2023-07-09 07:39:00+00:00,63,44,15,3
2023-07-09 08:09:00+00:00,164,8,13,142
2023-07-09 08:39:00+00:00,1,1,1,1
2023-07-09 09:09:00+00:00,4,4,1,1
2023-07-09 09:39:00+00:00,1,1,1,1
2023-07-09 10:09:00+00:00,1,1,1,1
2023-07-09 10:39:00+00:00,13,1,7,5
2023-07-09 11:09:00+00:00,7,7,1,1
2023-07-09 11:39:00+00:00,1,1,1,1
2023-07-09 12:09:00+00:00,1,1,1,1
2023-07-09 12:39:00+00:00,1,1,1,1
2023-07-09 13:09:00+00:00,0,0,0,0
2023-07-10 03:09:00+00:00,1,1,1,1
2023-07-10 03:39:00+00:00,1,1,1,1
2023-07-10 04:09:00+00:00,1,1,1,1
2023-07-10 04:39:00+00:00,11,10,1,1
2023-07-10 05:09:00+00:00,50,1,6,44
2023-07-10 05:39:00+00:00,35,1,1,35
2023-07-10 06:09:00+00:00,110,1,28,82
2023-07-10 06:39:00+00:00,52,4,1,47
2023-07-10 07:09:00+00:00,582,112,261,209
2023-07-10 07:39:00+00:00,318,19,213,86
2023-07-10 08:09:00+00:00,2405,665,1704,32
2023-07-10 08:39:00+00:00,748,131,602,15
2023-07-10 09:09:00+00:00,672,232,344,54
2023-07-10 09:39:00+00:00,844,375,443,21
2023-07-10 10:09:00+00:00,1644,1070,562,8
2023-07-10 10:39:00+00:00,2947,1931,905,107
2023-07-10 11:09:00+00:00,441,22,159,260
2023-07-10 11:39:00+00:00,52,1,19,33
2023-07-10 12:09:00+00:00,1,1,1,1
2023-07-10 12:39:00+00:00,1,1,1,1
2023-07-10 13:09:00+00:00,0,0,0,0
2023-07-11 03:09:00+00:00,1,1,1,1
2023-07-11 03:39:00+00:00,1,1,1,1
2023-07-11 04:09:00+00:00,1,1,1,1
2023-07-11 04:39:00+00:00,192,39,115,34
2023-07-11 05:09:00+00:00,96,9,60,27
2023-07-11 05:39:00+00:00,550,200,24,326
2023-07-11 06:09:00+00:00,424,110,160,153
2023-07-11 06:39:00+00:00,684,223,269,192
2023-07-11 07:09:00+00:00,587,184,244,159
2023-07-11 07:39:00+00:00,115,14,27,74
2023-07-11 08:09:00+00:00,52,12,7,33
2023-07-11 08:39:00+00:00,584,246,324,13
2023-07-11 09:09:00+00:00,1172,605,562,1
2023-07-11 09:39:00+00:00,734,210,524,1
2023-07-11 10:09:00+00:00,397,121,264,12
2023-07-11 10:39:00+00:00,389,56,331,2
2023-07-11 11:09:00+00:00,18,13,5,1
2023-07-11 11:39:00+00:00,2,2,1,1
2023-07-11 12:09:00+00:00,1,1,1,1
2023-07-11 12:39:00+00:00,1,1,1,1
2023-07-11 13:09:00+00:00,0,0,0,0
