Time (UTC),07/06/23,07/07/23,07/08/23,07/09/23,07/10/23,07/11/23
00:00,,0.0,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,0.0,0.0,0.0
03:00,1.0,1.0,9.0,1.0,1.0,1.0
03:30,1.0,1.0,1.0,1.0,1.0,1.0
04:00,1.0,1.0,1.0,1.0,1.0,1.0
04:30,76.0,3.0,41.0,23.0,11.0,192.0
05:00,1.0,60.0,250.0,9.0,50.0,96.0
05:30,6.0,107.0,499.0,11.0,35.0,550.0
06:00,4.0,585.0,545.0,86.0,110.0,424.0
06:30,11.0,842.0,350.0,29.0,52.0,684.0
07:00,3.0,476.0,253.0,25.0,582.0,587.0
07:30,5.0,864.0,336.0,63.0,318.0,115.0
08:00,17.0,944.0,194.0,164.0,2405.0,52.0
08:30,29.0,351.0,779.0,1.0,748.0,584.0
09:00,12.0,387.0,67.0,4.0,672.0,1172.0
09:30,9.0,394.0,905.0,1.0,844.0,734.0
10:00,21.0,839.0,486.0,1.0,1644.0,397.0
10:30,12.0,798.0,630.0,13.0,2947.0,389.0
11:00,22.0,323.0,1149.0,7.0,441.0,18.0
11:30,1.0,1.0,1.0,1.0,52.0,2.0
12:00,1.0,1.0,1.0,1.0,1.0,1.0
12:30,1.0,1.0,1.0,1.0,1.0,1.0
13:00,0.0,0.0,0.0,0.0,0.0,0.0
13:30,0.0,0.0,0.0,0.0,0.0,
14:00,0.0,0.0,0.0,0.0,0.0,
14:30,0.0,0.0,0.0,0.0,0.0,
15:00,0.0,0.0,0.0,0.0,0.0,
15:30,0.0,0.0,0.0,0.0,0.0,
16:00,0.0,0.0,0.0,0.0,0.0,
16:30,0.0,0.0,0.0,0.0,0.0,
17:00,0.0,0.0,0.0,0.0,0.0,
17:30,0.0,0.0,0.0,0.0,0.0,
18:00,0.0,0.0,0.0,0.0,0.0,
18:30,0.0,0.0,0.0,0.0,0.0,
19:00,0.0,0.0,0.0,0.0,0.0,
19:30,0.0,0.0,0.0,0.0,0.0,
20:00,0.0,0.0,0.0,0.0,0.0,
20:30,0.0,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,0.0,0.0,0.0,
21:30,0.0,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.0,
