,0
2023-07-06 03:09:00+00:00,1
2023-07-06 03:39:00+00:00,1
2023-07-06 04:09:00+00:00,1
2023-07-06 04:39:00+00:00,99
2023-07-06 05:09:00+00:00,128
2023-07-06 05:39:00+00:00,1
2023-07-06 06:09:00+00:00,1
2023-07-06 06:39:00+00:00,1
2023-07-06 07:09:00+00:00,35
2023-07-06 07:39:00+00:00,17
2023-07-06 08:09:00+00:00,24
2023-07-06 08:39:00+00:00,26
2023-07-06 09:09:00+00:00,12
2023-07-06 09:39:00+00:00,67
2023-07-06 10:09:00+00:00,38
2023-07-06 10:39:00+00:00,218
2023-07-06 11:09:00+00:00,102
2023-07-06 11:39:00+00:00,1
2023-07-06 12:09:00+00:00,1
2023-07-06 12:39:00+00:00,1
2023-07-06 13:09:00+00:00,1
2023-07-07 03:09:00+00:00,1
2023-07-07 03:39:00+00:00,1
2023-07-07 04:09:00+00:00,152
2023-07-07 04:39:00+00:00,559
2023-07-07 05:09:00+00:00,861
2023-07-07 05:39:00+00:00,125
2023-07-07 06:09:00+00:00,1053
2023-07-07 06:39:00+00:00,1707
2023-07-07 07:09:00+00:00,4152
2023-07-07 07:39:00+00:00,1876
2023-07-07 08:09:00+00:00,946
2023-07-07 08:39:00+00:00,4933
2023-07-07 09:09:00+00:00,1872
2023-07-07 09:39:00+00:00,3078
2023-07-07 10:09:00+00:00,2417
2023-07-07 10:39:00+00:00,3310
2023-07-07 11:09:00+00:00,1039
2023-07-07 11:39:00+00:00,68
2023-07-07 12:09:00+00:00,1
2023-07-07 12:39:00+00:00,1
2023-07-07 13:09:00+00:00,1
2023-07-08 03:09:00+00:00,1
2023-07-08 03:39:00+00:00,1
2023-07-08 04:09:00+00:00,1
2023-07-08 04:39:00+00:00,235
2023-07-08 05:09:00+00:00,1190
2023-07-08 05:39:00+00:00,404
2023-07-08 06:09:00+00:00,98
2023-07-08 06:39:00+00:00,1688
2023-07-08 07:09:00+00:00,2233
2023-07-08 07:39:00+00:00,3026
2023-07-08 08:09:00+00:00,2759
2023-07-08 08:39:00+00:00,3278
2023-07-08 09:09:00+00:00,2133
2023-07-08 09:39:00+00:00,3836
2023-07-08 10:09:00+00:00,4794
2023-07-08 10:39:00+00:00,4629
2023-07-08 11:09:00+00:00,4797
2023-07-08 11:39:00+00:00,242
2023-07-08 12:09:00+00:00,1
2023-07-08 12:39:00+00:00,1
2023-07-08 13:09:00+00:00,1
2023-07-09 03:09:00+00:00,1
2023-07-09 03:39:00+00:00,1
2023-07-09 04:09:00+00:00,1
2023-07-09 04:39:00+00:00,1241
2023-07-09 05:09:00+00:00,335
2023-07-09 05:39:00+00:00,15
2023-07-09 06:09:00+00:00,2
2023-07-09 06:39:00+00:00,21
2023-07-09 07:09:00+00:00,1
2023-07-09 07:39:00+00:00,1
2023-07-09 08:09:00+00:00,82
2023-07-09 08:39:00+00:00,37
2023-07-09 09:09:00+00:00,5
2023-07-09 09:39:00+00:00,170
2023-07-09 10:09:00+00:00,287
2023-07-09 10:39:00+00:00,103
2023-07-09 11:09:00+00:00,246
2023-07-09 11:39:00+00:00,1
2023-07-09 12:09:00+00:00,1
2023-07-09 12:39:00+00:00,1
2023-07-09 13:09:00+00:00,1
2023-07-10 03:09:00+00:00,1
2023-07-10 03:39:00+00:00,1
2023-07-10 04:09:00+00:00,1
2023-07-10 04:39:00+00:00,653
2023-07-10 05:09:00+00:00,138
2023-07-10 05:39:00+00:00,1
2023-07-10 06:09:00+00:00,1
2023-07-10 06:39:00+00:00,6
2023-07-10 07:09:00+00:00,245
2023-07-10 07:39:00+00:00,89
2023-07-10 08:09:00+00:00,2455
2023-07-10 08:39:00+00:00,2600
2023-07-10 09:09:00+00:00,2992
2023-07-10 09:39:00+00:00,3313
2023-07-10 10:09:00+00:00,5006
2023-07-10 10:39:00+00:00,7669
2023-07-10 11:09:00+00:00,2925
2023-07-10 11:39:00+00:00,1
2023-07-10 12:09:00+00:00,1
2023-07-10 12:39:00+00:00,1
2023-07-10 13:09:00+00:00,1
2023-07-11 03:09:00+00:00,1
2023-07-11 03:39:00+00:00,1
2023-07-11 04:09:00+00:00,1
2023-07-11 04:39:00+00:00,600
2023-07-11 05:09:00+00:00,3602
2023-07-11 05:39:00+00:00,1477
2023-07-11 06:09:00+00:00,3813
2023-07-11 06:39:00+00:00,3910
2023-07-11 07:09:00+00:00,1574
2023-07-11 07:39:00+00:00,350
2023-07-11 08:09:00+00:00,202
2023-07-11 08:39:00+00:00,670
2023-07-11 09:09:00+00:00,1505
2023-07-11 09:39:00+00:00,4407
2023-07-11 10:09:00+00:00,2001
2023-07-11 10:39:00+00:00,3306
2023-07-11 11:09:00+00:00,1317
2023-07-11 11:39:00+00:00,60
2023-07-11 12:09:00+00:00,1
2023-07-11 12:39:00+00:00,1
2023-07-11 13:09:00+00:00,1
