Time (UTC),07/18/23,07/19/23,07/20/23,07/21/23,07/22/23,07/23/23,07/24/23,07/25/23
00:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
04:00,1.0,2.0,1.0,1.0,1.0,1.0,1.0,576.0
04:30,118.0,141.0,51.0,109.0,43.0,16.0,26.0,1095.0
05:00,97.0,61.0,23.0,73.0,29.0,8.0,54.0,328.0
05:30,116.0,115.0,63.0,219.0,84.0,27.0,29.0,222.0
06:00,118.0,43.0,6.0,124.0,35.0,12.0,68.0,199.0
06:30,24.0,111.0,10.0,136.0,40.0,64.0,184.0,524.0
07:00,70.0,17.0,26.0,184.0,8.0,10.0,25.0,293.0
07:30,86.0,98.0,63.0,312.0,29.0,212.0,16.0,272.0
08:00,38.0,50.0,10.0,237.0,8.0,35.0,46.0,157.0
08:30,121.0,74.0,15.0,601.0,47.0,28.0,7.0,171.0
09:00,450.0,95.0,1.0,546.0,16.0,11.0,118.0,607.0
09:30,170.0,107.0,14.0,577.0,43.0,57.0,392.0,479.0
10:00,200.0,23.0,2.0,638.0,5.0,1.0,1816.0,447.0
10:30,37.0,24.0,16.0,1925.0,17.0,1.0,1783.0,
11:00,307.0,12.0,19.0,510.0,7.0,1.0,680.0,
11:30,36.0,4.0,182.0,72.0,22.0,15.0,147.0,
12:00,1.0,1.0,1.0,1.0,1.0,1.0,23.0,
12:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
