,07/18/23,07/19/23,07/20/23,07/21/23,07/22/23,07/23/23,07/24/23,07/25/23
03:06,1,1,1,1,2,1,5,4
03:36,1,1,1,1,1,1,1,1
04:06,3,1,31,1,3,38,8,89
04:36,312,771,361,109,391,315,510,982
05:06,484,15,95,96,13,7,8,284
05:36,106,19,23,58,16,51,22,1021
06:06,86,190,7,76,75,94,1,147
06:36,1,104,21,6,7,9,20,1007
07:06,48,12,18,25,175,58,80,790
07:36,185,1,30,539,70,72,29,534
08:06,64,34,1,145,54,2,60,260
08:36,461,100,1,243,101,96,1,599
09:06,1071,333,90,203,20,76,408,236
09:36,2463,40,24,266,100,190,1258,364
10:06,544,5,79,1030,51,120,1320,3118
10:36,917,129,64,848,389,40,621,1283
11:06,964,329,109,728,492,45,348,1231
11:36,91,38,232,2286,503,117,143,67
12:06,1,3,1,1,1,1,1,25
12:36,1,2,1,1,1,1,1,1
13:06,1,1,1,1,1,1,1,1
