,date_and_time_UTC,num_of_detections
0,2023-08-24 03:00:00+00:00,1
1,2023-08-24 03:30:00+00:00,193
2,2023-08-24 04:00:00+00:00,11
3,2023-08-24 04:30:00+00:00,29
4,2023-08-24 05:00:00+00:00,29
5,2023-08-24 05:30:00+00:00,23
6,2023-08-24 06:00:00+00:00,46
7,2023-08-24 06:30:00+00:00,23
8,2023-08-24 07:00:00+00:00,71
9,2023-08-24 07:30:00+00:00,30
10,2023-08-24 08:00:00+00:00,1
11,2023-08-24 08:30:00+00:00,3
12,2023-08-24 09:00:00+00:00,45
13,2023-08-24 09:30:00+00:00,94
14,2023-08-24 10:00:00+00:00,2
15,2023-08-24 10:30:00+00:00,10
16,2023-08-24 11:00:00+00:00,1
17,2023-08-24 11:30:00+00:00,1
18,2023-08-24 12:00:00+00:00,31
19,2023-08-24 12:30:00+00:00,1
20,2023-08-24 13:00:00+00:00,1
21,2023-08-25 03:00:00+00:00,1
22,2023-08-25 03:30:00+00:00,187
23,2023-08-25 04:00:00+00:00,11
24,2023-08-25 04:30:00+00:00,69
25,2023-08-25 05:00:00+00:00,16
26,2023-08-25 05:30:00+00:00,35
27,2023-08-25 06:00:00+00:00,2
28,2023-08-25 06:30:00+00:00,32
29,2023-08-25 07:00:00+00:00,20
30,2023-08-25 07:30:00+00:00,63
31,2023-08-25 08:00:00+00:00,26
32,2023-08-25 08:30:00+00:00,62
33,2023-08-25 09:00:00+00:00,151
34,2023-08-25 09:30:00+00:00,40
35,2023-08-25 10:00:00+00:00,36
36,2023-08-25 10:30:00+00:00,97
37,2023-08-25 11:00:00+00:00,40
38,2023-08-25 11:30:00+00:00,59
39,2023-08-25 12:00:00+00:00,12
40,2023-08-25 12:30:00+00:00,1
41,2023-08-25 13:00:00+00:00,1
42,2023-08-26 03:00:00+00:00,2
43,2023-08-26 03:30:00+00:00,224
44,2023-08-26 04:00:00+00:00,27
45,2023-08-26 04:30:00+00:00,1
46,2023-08-26 05:00:00+00:00,28
47,2023-08-26 05:30:00+00:00,31
48,2023-08-26 06:00:00+00:00,9
49,2023-08-26 06:30:00+00:00,90
50,2023-08-26 07:00:00+00:00,30
51,2023-08-26 07:30:00+00:00,3
52,2023-08-26 08:00:00+00:00,7
53,2023-08-26 08:30:00+00:00,31
54,2023-08-26 09:00:00+00:00,6
55,2023-08-26 09:30:00+00:00,5
56,2023-08-26 10:00:00+00:00,2
57,2023-08-26 10:30:00+00:00,21
58,2023-08-26 11:00:00+00:00,1
59,2023-08-26 11:30:00+00:00,5
60,2023-08-26 12:00:00+00:00,1
61,2023-08-26 12:30:00+00:00,30
62,2023-08-26 13:00:00+00:00,1
63,2023-08-27 03:00:00+00:00,5
64,2023-08-27 03:30:00+00:00,282
65,2023-08-27 04:00:00+00:00,27
66,2023-08-27 04:30:00+00:00,1
67,2023-08-27 05:00:00+00:00,16
68,2023-08-27 05:30:00+00:00,20
69,2023-08-27 06:00:00+00:00,14
70,2023-08-27 06:30:00+00:00,43
71,2023-08-27 07:00:00+00:00,25
72,2023-08-27 07:30:00+00:00,19
73,2023-08-27 08:00:00+00:00,15
74,2023-08-27 08:30:00+00:00,1
75,2023-08-27 09:00:00+00:00,31
76,2023-08-27 09:30:00+00:00,33
77,2023-08-27 10:00:00+00:00,1
78,2023-08-27 10:30:00+00:00,1
79,2023-08-27 11:00:00+00:00,8
80,2023-08-27 11:30:00+00:00,2
81,2023-08-27 12:00:00+00:00,1
82,2023-08-27 12:30:00+00:00,1
83,2023-08-27 13:00:00+00:00,1
84,2023-08-28 03:00:00+00:00,26
85,2023-08-28 03:30:00+00:00,185
86,2023-08-28 04:00:00+00:00,110
87,2023-08-28 04:30:00+00:00,75
88,2023-08-28 05:00:00+00:00,114
89,2023-08-28 05:30:00+00:00,49
90,2023-08-28 06:00:00+00:00,25
91,2023-08-28 06:30:00+00:00,1629
92,2023-08-28 07:00:00+00:00,884
93,2023-08-28 07:30:00+00:00,1784
94,2023-08-28 08:00:00+00:00,310
95,2023-08-28 08:30:00+00:00,327
96,2023-08-28 09:00:00+00:00,296
97,2023-08-28 09:30:00+00:00,104
98,2023-08-28 10:00:00+00:00,141
99,2023-08-28 10:30:00+00:00,560
100,2023-08-28 11:00:00+00:00,67
101,2023-08-28 11:30:00+00:00,9
102,2023-08-28 12:00:00+00:00,16
103,2023-08-28 12:30:00+00:00,15
104,2023-08-28 13:00:00+00:00,179
105,2023-08-29 03:00:00+00:00,332
106,2023-08-29 03:30:00+00:00,2117
107,2023-08-29 04:00:00+00:00,109
108,2023-08-29 04:30:00+00:00,59
109,2023-08-29 05:00:00+00:00,107
110,2023-08-29 05:30:00+00:00,167
111,2023-08-29 06:00:00+00:00,61
112,2023-08-29 06:30:00+00:00,22
113,2023-08-29 07:00:00+00:00,29
114,2023-08-29 07:30:00+00:00,75
115,2023-08-29 08:00:00+00:00,25
116,2023-08-29 08:30:00+00:00,81
117,2023-08-29 09:00:00+00:00,53
118,2023-08-29 09:30:00+00:00,2
119,2023-08-29 10:00:00+00:00,1
120,2023-08-29 10:30:00+00:00,69
121,2023-08-29 11:00:00+00:00,401
122,2023-08-29 11:30:00+00:00,139
123,2023-08-29 12:00:00+00:00,4
124,2023-08-29 12:30:00+00:00,1
125,2023-08-29 13:00:00+00:00,1
126,2023-08-30 03:00:00+00:00,154
127,2023-08-30 03:30:00+00:00,44
128,2023-08-30 04:00:00+00:00,40
129,2023-08-30 04:30:00+00:00,4
130,2023-08-30 05:00:00+00:00,3
131,2023-08-30 05:30:00+00:00,3
132,2023-08-30 06:00:00+00:00,24
133,2023-08-30 06:30:00+00:00,3
134,2023-08-30 07:00:00+00:00,26
135,2023-08-30 07:30:00+00:00,72
136,2023-08-30 08:00:00+00:00,114
137,2023-08-30 08:30:00+00:00,27
138,2023-08-30 09:00:00+00:00,24
139,2023-08-30 09:30:00+00:00,30
140,2023-08-30 10:00:00+00:00,240
141,2023-08-30 10:30:00+00:00,4
142,2023-08-30 11:00:00+00:00,6
143,2023-08-30 11:30:00+00:00,2
144,2023-08-30 12:00:00+00:00,1
145,2023-08-30 12:30:00+00:00,11
146,2023-08-30 13:00:00+00:00,2
