date_and_time_UTC,num_of_detections,HF2_num_of_detections,HF1_num_of_detections,LF1_num_of_detections
2023-09-14 01:30:00+00:00,1,1,1,1
2023-09-14 02:00:00+00:00,1,1,1,1
2023-09-14 02:30:00+00:00,73,73,1,1
2023-09-14 03:00:00+00:00,35,33,2,1
2023-09-14 03:30:00+00:00,8,8,1,1
2023-09-14 04:00:00+00:00,2,1,1,2
2023-09-14 04:30:00+00:00,1,1,1,1
2023-09-14 05:00:00+00:00,4,4,1,1
2023-09-14 05:30:00+00:00,12,12,1,1
2023-09-14 06:00:00+00:00,1,1,1,1
2023-09-14 06:30:00+00:00,28,28,1,1
2023-09-14 07:00:00+00:00,30,31,1,1
2023-09-14 07:30:00+00:00,1,1,1,1
2023-09-14 08:00:00+00:00,1,1,1,1
2023-09-14 08:30:00+00:00,17,17,1,1
2023-09-14 09:00:00+00:00,9,9,1,1
2023-09-14 09:30:00+00:00,54,54,1,1
2023-09-14 10:00:00+00:00,1,1,1,1
2023-09-14 10:30:00+00:00,16,16,1,1
2023-09-14 11:00:00+00:00,69,68,1,1
2023-09-14 11:30:00+00:00,33,32,1,1
2023-09-14 12:00:00+00:00,6,6,1,1
2023-09-14 12:30:00+00:00,20,19,1,1
2023-09-14 13:00:00+00:00,2,2,1,1
2023-09-14 13:30:00+00:00,1,1,1,1
2023-09-14 14:00:00+00:00,1,1,1,1
2023-09-15 01:30:00+00:00,1,1,1,1
2023-09-15 02:00:00+00:00,1,1,1,1
2023-09-15 02:30:00+00:00,80,62,1,18
2023-09-15 03:00:00+00:00,6,1,1,5
2023-09-15 03:30:00+00:00,16,16,1,1
2023-09-15 04:00:00+00:00,1,1,1,1
2023-09-15 04:30:00+00:00,21,18,1,1
2023-09-15 05:00:00+00:00,8,8,1,1
2023-09-15 05:30:00+00:00,1,1,1,1
2023-09-15 06:00:00+00:00,1,1,1,1
2023-09-15 06:30:00+00:00,17,17,1,1
2023-09-15 07:00:00+00:00,14,10,1,1
2023-09-15 07:30:00+00:00,9,7,1,1
2023-09-15 08:00:00+00:00,28,27,1,1
2023-09-15 08:30:00+00:00,2,1,1,2
2023-09-15 09:00:00+00:00,18,18,1,1
2023-09-15 09:30:00+00:00,1,1,1,1
2023-09-15 10:00:00+00:00,29,29,1,1
2023-09-15 10:30:00+00:00,6,5,1,1
2023-09-15 11:00:00+00:00,1,1,1,1
2023-09-15 11:30:00+00:00,27,27,1,1
2023-09-15 12:00:00+00:00,64,65,1,1
2023-09-15 12:30:00+00:00,65,64,1,1
2023-09-15 13:00:00+00:00,25,24,1,1
2023-09-15 13:30:00+00:00,1,1,1,1
2023-09-15 14:00:00+00:00,2,1,1,1
2023-09-16 01:30:00+00:00,1,1,1,1
2023-09-16 02:00:00+00:00,1,1,1,1
2023-09-16 02:30:00+00:00,25,9,1,16
2023-09-16 03:00:00+00:00,25,23,1,2
2023-09-16 03:30:00+00:00,22,19,2,1
2023-09-16 04:00:00+00:00,3,3,1,1
2023-09-16 04:30:00+00:00,34,34,1,1
2023-09-16 05:00:00+00:00,3,3,1,1
2023-09-16 05:30:00+00:00,20,18,1,2
2023-09-16 06:00:00+00:00,1,1,1,1
2023-09-16 06:30:00+00:00,1,1,1,1
2023-09-16 07:00:00+00:00,1,1,1,1
2023-09-16 07:30:00+00:00,35,10,25,1
2023-09-16 08:00:00+00:00,1,1,1,1
2023-09-16 08:30:00+00:00,5,5,1,1
2023-09-16 09:00:00+00:00,12,11,1,1
2023-09-16 09:30:00+00:00,4,4,1,1
2023-09-16 10:00:00+00:00,1,1,1,1
2023-09-16 10:30:00+00:00,6,6,1,1
2023-09-16 11:00:00+00:00,1,1,1,1
2023-09-16 11:30:00+00:00,26,26,1,1
2023-09-16 12:00:00+00:00,9,9,1,1
2023-09-16 12:30:00+00:00,69,63,6,1
2023-09-16 13:00:00+00:00,58,57,1,1
2023-09-16 13:30:00+00:00,1,1,1,1
2023-09-16 14:00:00+00:00,1,1,1,1
2023-09-17 01:30:00+00:00,1,1,1,1
2023-09-17 02:00:00+00:00,1,1,1,1
2023-09-17 02:30:00+00:00,9,9,1,1
2023-09-17 03:00:00+00:00,34,34,1,1
2023-09-17 03:30:00+00:00,70,70,1,1
2023-09-17 04:00:00+00:00,44,43,1,1
2023-09-17 04:30:00+00:00,48,38,1,1
2023-09-17 05:00:00+00:00,116,117,1,1
2023-09-17 05:30:00+00:00,76,78,1,1
2023-09-17 06:00:00+00:00,20,19,1,1
2023-09-17 06:30:00+00:00,71,71,1,1
2023-09-17 07:00:00+00:00,58,58,1,1
2023-09-17 07:30:00+00:00,98,97,1,1
2023-09-17 08:00:00+00:00,642,642,1,1
2023-09-17 08:30:00+00:00,144,144,1,1
2023-09-17 09:00:00+00:00,179,175,2,1
2023-09-17 09:30:00+00:00,246,246,1,1
2023-09-17 10:00:00+00:00,26,26,1,1
2023-09-17 10:30:00+00:00,14,14,1,1
2023-09-17 11:00:00+00:00,163,163,1,1
2023-09-17 11:30:00+00:00,145,144,1,1
2023-09-17 12:00:00+00:00,114,114,1,1
2023-09-17 12:30:00+00:00,91,92,1,1
2023-09-17 13:00:00+00:00,181,181,1,1
2023-09-17 13:30:00+00:00,1,1,1,1
2023-09-17 14:00:00+00:00,1,1,1,1
2023-09-18 01:30:00+00:00,1,1,1,1
2023-09-18 02:00:00+00:00,1,1,1,1
2023-09-18 02:30:00+00:00,2,2,1,1
2023-09-18 03:00:00+00:00,132,132,1,1
2023-09-18 03:30:00+00:00,24,23,1,1
2023-09-18 04:00:00+00:00,6,5,1,1
2023-09-18 04:30:00+00:00,68,66,1,1
2023-09-18 05:00:00+00:00,32,32,1,1
2023-09-18 05:30:00+00:00,70,70,1,1
2023-09-18 06:00:00+00:00,938,914,23,1
2023-09-18 06:30:00+00:00,1393,1261,130,1
2023-09-18 07:00:00+00:00,464,436,22,1
2023-09-18 07:30:00+00:00,211,161,50,1
2023-09-18 08:00:00+00:00,850,475,368,1
2023-09-18 08:30:00+00:00,268,255,10,1
2023-09-18 09:00:00+00:00,245,244,1,1
2023-09-18 09:30:00+00:00,131,131,1,1
2023-09-18 10:00:00+00:00,117,91,26,1
2023-09-18 10:30:00+00:00,65,42,22,1
2023-09-18 11:00:00+00:00,37,37,1,1
2023-09-18 11:30:00+00:00,6,6,1,1
2023-09-18 12:00:00+00:00,1,1,1,1
2023-09-18 12:30:00+00:00,19,19,1,1
2023-09-18 13:00:00+00:00,17,8,9,1
2023-09-18 13:30:00+00:00,1,1,1,1
2023-09-18 14:00:00+00:00,1,1,1,1
2023-09-19 01:30:00+00:00,1,1,1,1
2023-09-19 02:00:00+00:00,1,1,1,1
2023-09-19 02:30:00+00:00,22,21,1,1
2023-09-19 03:00:00+00:00,73,69,4,1
2023-09-19 03:30:00+00:00,578,579,1,1
