,date_and_time_UTC,num_of_detections
0,2023-09-29 00:00:00+00:00,1
1,2023-09-29 00:30:00+00:00,1
2,2023-09-29 01:00:00+00:00,1
3,2023-09-29 01:30:00+00:00,1
4,2023-09-29 02:00:00+00:00,61
5,2023-09-29 02:30:00+00:00,105
6,2023-09-29 03:00:00+00:00,86
7,2023-09-29 03:30:00+00:00,98
8,2023-09-29 04:00:00+00:00,70
9,2023-09-29 04:30:00+00:00,69
10,2023-09-29 05:00:00+00:00,7
11,2023-09-29 05:30:00+00:00,5
12,2023-09-29 06:00:00+00:00,23
13,2023-09-29 06:30:00+00:00,1
14,2023-09-29 07:00:00+00:00,1
15,2023-09-29 07:30:00+00:00,1
16,2023-09-29 08:00:00+00:00,4
17,2023-09-29 08:30:00+00:00,1
18,2023-09-29 09:00:00+00:00,1
19,2023-09-29 09:30:00+00:00,1
20,2023-09-29 10:00:00+00:00,1
21,2023-09-29 10:30:00+00:00,1
22,2023-09-29 11:00:00+00:00,1
23,2023-09-29 11:30:00+00:00,1
24,2023-09-29 12:00:00+00:00,1
25,2023-09-29 12:30:00+00:00,1
26,2023-09-29 13:00:00+00:00,1
27,2023-09-29 13:30:00+00:00,1
28,2023-09-29 14:00:00+00:00,1
29,2023-09-29 14:30:00+00:00,3
30,2023-09-30 00:00:00+00:00,1
31,2023-09-30 00:30:00+00:00,1
32,2023-09-30 01:00:00+00:00,1
33,2023-09-30 01:30:00+00:00,1
34,2023-09-30 02:00:00+00:00,21
35,2023-09-30 02:30:00+00:00,19
36,2023-09-30 03:00:00+00:00,1
37,2023-09-30 03:30:00+00:00,36
38,2023-09-30 04:00:00+00:00,40
39,2023-09-30 04:30:00+00:00,33
40,2023-09-30 05:00:00+00:00,16
41,2023-09-30 05:30:00+00:00,7
42,2023-09-30 06:00:00+00:00,1
43,2023-09-30 06:30:00+00:00,13
44,2023-09-30 07:00:00+00:00,3
45,2023-09-30 07:30:00+00:00,30
46,2023-09-30 08:00:00+00:00,12
