date_and_time_UTC,num_of_detections,HF2_num_of_detections,HF1_num_of_detections,LF1_num_of_detections
2023-10-05 01:15:00+00:00,1,1,1,1
2023-10-05 01:45:00+00:00,1,1,1,1
2023-10-05 02:15:00+00:00,30,1,1,30
2023-10-05 02:45:00+00:00,56,1,1,56
2023-10-05 03:15:00+00:00,62,43,1,19
2023-10-05 03:45:00+00:00,49,27,2,20
2023-10-05 04:15:00+00:00,73,24,1,49
2023-10-05 04:45:00+00:00,97,32,43,21
2023-10-05 05:15:00+00:00,10,1,1,10
2023-10-05 05:45:00+00:00,98,1,1,98
2023-10-05 06:15:00+00:00,1,1,1,1
2023-10-05 06:45:00+00:00,68,16,1,52
2023-10-05 07:15:00+00:00,1,1,1,1
2023-10-05 07:45:00+00:00,8,1,1,8
2023-10-05 08:15:00+00:00,15,14,1,1
2023-10-05 08:45:00+00:00,16,16,1,1
2023-10-05 09:15:00+00:00,25,22,1,3
2023-10-05 09:45:00+00:00,1,1,1,1
2023-10-05 10:15:00+00:00,1,1,1,1
2023-10-05 10:45:00+00:00,1,1,1,1
2023-10-05 11:15:00+00:00,92,89,3,1
2023-10-05 11:45:00+00:00,1,1,1,1
2023-10-05 12:15:00+00:00,1,1,1,1
2023-10-05 12:45:00+00:00,1,1,1,1
2023-10-05 13:15:00+00:00,2,1,1,2
2023-10-05 13:45:00+00:00,1,1,1,1
2023-10-05 14:15:00+00:00,1,1,1,1
2023-10-06 01:15:00+00:00,1,1,1,1
2023-10-06 01:45:00+00:00,1,1,1,1
2023-10-06 02:15:00+00:00,98,25,3,70
2023-10-06 02:45:00+00:00,104,18,39,47
2023-10-06 03:15:00+00:00,93,43,1,50
2023-10-06 03:45:00+00:00,42,32,1,10
2023-10-06 04:15:00+00:00,25,25,1,1
2023-10-06 04:45:00+00:00,99,65,1,34
2023-10-06 05:15:00+00:00,29,14,1,15
2023-10-06 05:45:00+00:00,106,29,1,77
2023-10-06 06:15:00+00:00,22,12,1,10
2023-10-06 06:45:00+00:00,48,1,1,48
2023-10-06 07:15:00+00:00,32,1,1,32
2023-10-06 07:45:00+00:00,4,1,1,4
2023-10-06 08:15:00+00:00,35,16,1,19
2023-10-06 08:45:00+00:00,1,1,1,1
2023-10-06 09:15:00+00:00,1,1,1,1
2023-10-06 09:45:00+00:00,21,19,1,1
2023-10-06 10:15:00+00:00,1,1,1,1
2023-10-06 10:45:00+00:00,13,13,1,1
2023-10-06 11:15:00+00:00,1,1,1,1
2023-10-06 11:45:00+00:00,38,1,1,37
2023-10-06 12:15:00+00:00,6,6,1,1
2023-10-06 12:45:00+00:00,1,1,1,1
2023-10-06 13:15:00+00:00,1,1,1,1
2023-10-06 13:45:00+00:00,1,1,1,1
2023-10-06 14:15:00+00:00,1,1,1,1
2023-10-07 01:15:00+00:00,1,1,1,1
2023-10-07 01:45:00+00:00,3,1,1,3
2023-10-07 02:15:00+00:00,152,50,2,100
2023-10-07 02:45:00+00:00,74,21,2,51
2023-10-07 03:15:00+00:00,129,76,1,52
2023-10-07 03:45:00+00:00,102,79,1,22
2023-10-07 04:15:00+00:00,85,83,2,1
2023-10-07 04:45:00+00:00,63,48,3,12
2023-10-07 05:15:00+00:00,39,1,1,39
