Time (UTC),10/05/23,10/06/23,10/07/23,10/08/23,10/09/23,10/10/23,10/11/23
00:00,,0.0,0.0,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0,0.0,0.0
01:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:30,1.0,95.0,6.0,112.0,198.0,500.0,774.0
02:00,709.0,369.0,187.0,355.0,2196.0,672.0,1068.0
02:30,17.0,28.0,275.0,90.0,27.0,597.0,2592.0
03:00,6.0,99.0,209.0,60.0,3.0,838.0,954.0
03:30,38.0,1.0,58.0,1.0,3.0,99.0,1.0
04:00,1.0,63.0,70.0,4.0,10.0,71.0,1.0
04:30,53.0,20.0,8.0,34.0,10.0,1.0,19.0
05:00,2.0,55.0,6.0,5.0,25.0,1.0,64.0
05:30,28.0,121.0,9.0,52.0,23.0,54.0,9.0
06:00,130.0,87.0,10.0,63.0,15.0,46.0,1.0
06:30,21.0,11.0,1.0,68.0,1.0,17.0,34.0
07:00,1.0,53.0,18.0,97.0,21.0,1386.0,711.0
07:30,40.0,63.0,7.0,1803.0,8.0,1.0,336.0
08:00,9.0,7.0,8.0,2858.0,6.0,1.0,978.0
08:30,197.0,84.0,17.0,2299.0,1.0,59.0,349.0
09:00,103.0,41.0,137.0,272.0,79.0,1.0,436.0
09:30,21.0,28.0,37.0,454.0,228.0,502.0,1.0
10:00,1.0,14.0,1.0,368.0,503.0,6.0,1.0
10:30,11.0,24.0,16.0,232.0,197.0,1.0,1.0
11:00,5.0,5.0,2.0,28.0,1077.0,8.0,1.0
11:30,1.0,47.0,10.0,3.0,40.0,37.0,1.0
12:00,1.0,7.0,22.0,9.0,3.0,1.0,1.0
12:30,3.0,4.0,12.0,1.0,5.0,1.0,16.0
13:00,1.0,11.0,1.0,65.0,5.0,21.0,1.0
13:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14:00,1.0,1.0,1.0,1.0,1.0,1.0,
14:30,0.0,0.0,0.0,0.0,0.0,0.0,
15:00,0.0,0.0,0.0,0.0,0.0,0.0,
15:30,0.0,0.0,0.0,0.0,0.0,0.0,
16:00,0.0,0.0,0.0,0.0,0.0,0.0,
16:30,0.0,0.0,0.0,0.0,0.0,0.0,
17:00,0.0,0.0,0.0,0.0,0.0,0.0,
17:30,0.0,0.0,0.0,0.0,0.0,0.0,
18:00,0.0,0.0,0.0,0.0,0.0,0.0,
18:30,0.0,0.0,0.0,0.0,0.0,0.0,
19:00,0.0,0.0,0.0,0.0,0.0,0.0,
19:30,0.0,0.0,0.0,0.0,0.0,0.0,
20:00,0.0,0.0,0.0,0.0,0.0,0.0,
20:30,0.0,0.0,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,0.0,0.0,0.0,0.0,
21:30,0.0,0.0,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.0,0.0,
