,date_and_time_UTC,num_of_detections
0,2023-10-05 01:15:00+00:00,1
1,2023-10-05 01:45:00+00:00,29
2,2023-10-05 02:15:00+00:00,300
3,2023-10-05 02:45:00+00:00,153
4,2023-10-05 03:15:00+00:00,249
5,2023-10-05 03:45:00+00:00,367
6,2023-10-05 04:15:00+00:00,568
7,2023-10-05 04:45:00+00:00,682
8,2023-10-05 05:15:00+00:00,394
9,2023-10-05 05:45:00+00:00,263
10,2023-10-05 06:15:00+00:00,703
11,2023-10-05 06:45:00+00:00,268
12,2023-10-05 07:15:00+00:00,282
13,2023-10-05 07:45:00+00:00,191
14,2023-10-05 08:15:00+00:00,524
15,2023-10-05 08:45:00+00:00,332
16,2023-10-05 09:15:00+00:00,197
17,2023-10-05 09:45:00+00:00,372
18,2023-10-05 10:15:00+00:00,458
19,2023-10-05 10:45:00+00:00,470
20,2023-10-05 11:15:00+00:00,164
21,2023-10-05 11:45:00+00:00,40
22,2023-10-05 12:15:00+00:00,39
23,2023-10-05 12:45:00+00:00,80
24,2023-10-05 13:15:00+00:00,18
25,2023-10-05 13:45:00+00:00,1
26,2023-10-05 14:15:00+00:00,0
27,2023-10-06 01:15:00+00:00,1
28,2023-10-06 01:45:00+00:00,1
29,2023-10-06 02:15:00+00:00,153
30,2023-10-06 02:45:00+00:00,270
31,2023-10-06 03:15:00+00:00,327
32,2023-10-06 03:45:00+00:00,264
33,2023-10-06 04:15:00+00:00,264
34,2023-10-06 04:45:00+00:00,324
35,2023-10-06 05:15:00+00:00,435
36,2023-10-06 05:45:00+00:00,572
37,2023-10-06 06:15:00+00:00,579
38,2023-10-06 06:45:00+00:00,1219
39,2023-10-06 07:15:00+00:00,828
40,2023-10-06 07:45:00+00:00,310
41,2023-10-06 08:15:00+00:00,312
42,2023-10-06 08:45:00+00:00,292
43,2023-10-06 09:15:00+00:00,274
44,2023-10-06 09:45:00+00:00,410
45,2023-10-06 10:15:00+00:00,234
46,2023-10-06 10:45:00+00:00,196
47,2023-10-06 11:15:00+00:00,156
48,2023-10-06 11:45:00+00:00,355
49,2023-10-06 12:15:00+00:00,180
50,2023-10-06 12:45:00+00:00,195
51,2023-10-06 13:15:00+00:00,214
52,2023-10-06 13:45:00+00:00,1
53,2023-10-06 14:15:00+00:00,0
54,2023-10-07 01:15:00+00:00,1
55,2023-10-07 01:45:00+00:00,64
56,2023-10-07 02:15:00+00:00,227
57,2023-10-07 02:45:00+00:00,179
58,2023-10-07 03:15:00+00:00,272
59,2023-10-07 03:45:00+00:00,258
60,2023-10-07 04:15:00+00:00,394
61,2023-10-07 04:45:00+00:00,281
62,2023-10-07 05:15:00+00:00,373
63,2023-10-07 05:45:00+00:00,154
64,2023-10-07 06:15:00+00:00,129
65,2023-10-07 06:45:00+00:00,141
66,2023-10-07 07:15:00+00:00,221
67,2023-10-07 07:45:00+00:00,410
68,2023-10-07 08:15:00+00:00,255
69,2023-10-07 08:45:00+00:00,237
70,2023-10-07 09:15:00+00:00,194
71,2023-10-07 09:45:00+00:00,143
72,2023-10-07 10:15:00+00:00,152
73,2023-10-07 10:45:00+00:00,321
74,2023-10-07 11:15:00+00:00,283
75,2023-10-07 11:45:00+00:00,181
76,2023-10-07 12:15:00+00:00,140
77,2023-10-07 12:45:00+00:00,111
78,2023-10-07 13:15:00+00:00,98
79,2023-10-07 13:45:00+00:00,1
80,2023-10-07 14:15:00+00:00,0
81,2023-10-08 01:15:00+00:00,1
82,2023-10-08 01:45:00+00:00,477
83,2023-10-08 02:15:00+00:00,156
84,2023-10-08 02:45:00+00:00,95
85,2023-10-08 03:15:00+00:00,134
86,2023-10-08 03:45:00+00:00,125
87,2023-10-08 04:15:00+00:00,39
88,2023-10-08 04:45:00+00:00,38
89,2023-10-08 05:15:00+00:00,104
90,2023-10-08 05:45:00+00:00,68
91,2023-10-08 06:15:00+00:00,96
92,2023-10-08 06:45:00+00:00,245
93,2023-10-08 07:15:00+00:00,382
94,2023-10-08 07:45:00+00:00,311
95,2023-10-08 08:15:00+00:00,1363
96,2023-10-08 08:45:00+00:00,724
97,2023-10-08 09:15:00+00:00,428
98,2023-10-08 09:45:00+00:00,664
99,2023-10-08 10:15:00+00:00,367
100,2023-10-08 10:45:00+00:00,266
101,2023-10-08 11:15:00+00:00,290
102,2023-10-08 11:45:00+00:00,239
103,2023-10-08 12:15:00+00:00,217
104,2023-10-08 12:45:00+00:00,200
105,2023-10-08 13:15:00+00:00,347
106,2023-10-08 13:45:00+00:00,1
107,2023-10-08 14:15:00+00:00,0
108,2023-10-09 01:15:00+00:00,1
109,2023-10-09 01:45:00+00:00,446
110,2023-10-09 02:15:00+00:00,155
111,2023-10-09 02:45:00+00:00,58
112,2023-10-09 03:15:00+00:00,1
113,2023-10-09 03:45:00+00:00,21
114,2023-10-09 04:15:00+00:00,111
115,2023-10-09 04:45:00+00:00,8
116,2023-10-09 05:15:00+00:00,18
117,2023-10-09 05:45:00+00:00,100
118,2023-10-09 06:15:00+00:00,5
119,2023-10-09 06:45:00+00:00,1
120,2023-10-09 07:15:00+00:00,193
121,2023-10-09 07:45:00+00:00,81
122,2023-10-09 08:15:00+00:00,51
123,2023-10-09 08:45:00+00:00,291
124,2023-10-09 09:15:00+00:00,3315
125,2023-10-09 09:45:00+00:00,2758
126,2023-10-09 10:15:00+00:00,4365
127,2023-10-09 10:45:00+00:00,4001
128,2023-10-09 11:15:00+00:00,5966
129,2023-10-09 11:45:00+00:00,4308
130,2023-10-09 12:15:00+00:00,2635
131,2023-10-09 12:45:00+00:00,2119
132,2023-10-09 13:15:00+00:00,1245
133,2023-10-09 13:45:00+00:00,245
134,2023-10-09 14:15:00+00:00,0
135,2023-10-10 01:15:00+00:00,1
136,2023-10-10 01:45:00+00:00,1110
137,2023-10-10 02:15:00+00:00,3118
138,2023-10-10 02:45:00+00:00,2510
139,2023-10-10 03:15:00+00:00,1528
140,2023-10-10 03:45:00+00:00,672
141,2023-10-10 04:15:00+00:00,1477
142,2023-10-10 04:45:00+00:00,1037
143,2023-10-10 05:15:00+00:00,1410
144,2023-10-10 05:45:00+00:00,1677
145,2023-10-10 06:15:00+00:00,2458
146,2023-10-10 06:45:00+00:00,2126
147,2023-10-10 07:15:00+00:00,2175
148,2023-10-10 07:45:00+00:00,2838
149,2023-10-10 08:15:00+00:00,3344
150,2023-10-10 08:45:00+00:00,2520
151,2023-10-10 09:15:00+00:00,1408
152,2023-10-10 09:45:00+00:00,1778
153,2023-10-10 10:15:00+00:00,1849
154,2023-10-10 10:45:00+00:00,1773
155,2023-10-10 11:15:00+00:00,1484
156,2023-10-10 11:45:00+00:00,484
157,2023-10-10 12:15:00+00:00,8
158,2023-10-10 12:45:00+00:00,1
159,2023-10-10 13:15:00+00:00,3
160,2023-10-10 13:45:00+00:00,1
161,2023-10-10 14:15:00+00:00,0
162,2023-10-11 01:15:00+00:00,1
163,2023-10-11 01:45:00+00:00,1048
164,2023-10-11 02:15:00+00:00,1506
165,2023-10-11 02:45:00+00:00,1334
166,2023-10-11 03:15:00+00:00,771
167,2023-10-11 03:45:00+00:00,1
168,2023-10-11 04:15:00+00:00,1
169,2023-10-11 04:45:00+00:00,1
170,2023-10-11 05:15:00+00:00,84
171,2023-10-11 05:45:00+00:00,1
172,2023-10-11 06:15:00+00:00,1
173,2023-10-11 06:45:00+00:00,1
174,2023-10-11 07:15:00+00:00,17
175,2023-10-11 07:45:00+00:00,105
176,2023-10-11 08:15:00+00:00,148
177,2023-10-11 08:45:00+00:00,556
178,2023-10-11 09:15:00+00:00,315
179,2023-10-11 09:45:00+00:00,71
180,2023-10-11 10:15:00+00:00,1
181,2023-10-11 10:45:00+00:00,1
182,2023-10-11 11:15:00+00:00,1
183,2023-10-11 11:45:00+00:00,1
184,2023-10-11 12:15:00+00:00,1
185,2023-10-11 12:45:00+00:00,1
186,2023-10-11 13:15:00+00:00,1
187,2023-10-11 13:45:00+00:00,48
