start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
89.8835,89.8974,23750.0,28807.0,Echolocation,Nyctalus leisleri,0.364,0.517,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231026_231000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
76.9695,76.976,46093.0,62292.0,Echolocation,Pipistrellus pipistrellus,0.404,0.59,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_015000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
233.1855,233.1898,52109.0,62970.0,Echolocation,Pipistrellus pipistrellus,0.44,0.502,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_015000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
235.4905,235.4935,48671.0,67268.0,Echolocation,Myotis alcathoe,0.325,0.524,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_015000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
249.6755,249.6807,52109.0,61172.0,Echolocation,Pipistrellus pipistrellus,0.404,0.55,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_020000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
251.3565,251.3608,42656.0,73795.0,Echolocation,Myotis mystacinus,0.258,0.516,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_020000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
258.4185,258.4252,48671.0,66625.0,Echolocation,Pipistrellus pipistrellus,0.43,0.581,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_020000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
137.1555,137.1601,47812.0,59335.0,Echolocation,Pipistrellus pipistrellus,0.475,0.516,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_021000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
120.1945,120.1974,48671.0,65670.0,Echolocation,Myotis mystacinus,0.36,0.527,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_023000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
120.3585,120.3612,46953.0,65676.0,Echolocation,Myotis mystacinus,0.251,0.553,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_023000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
120.4325,120.4347,46953.0,63764.0,Echolocation,Myotis alcathoe,0.204,0.555,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_023000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
120.5065,120.5094,46953.0,65998.0,Echolocation,Myotis alcathoe,0.231,0.544,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_023000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
120.8005,120.8036,46093.0,67720.0,Echolocation,Myotis alcathoe,0.322,0.567,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_023000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
120.8825,120.8854,47812.0,60144.0,Echolocation,Myotis mystacinus,0.266,0.524,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_023000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
120.9605,120.9641,42656.0,73396.0,Echolocation,Myotis alcathoe,0.219,0.666,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_023000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
121.2985,121.3013,46093.0,66226.0,Echolocation,Myotis mystacinus,0.278,0.514,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_023000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
121.4835,121.4868,46093.0,64982.0,Echolocation,Myotis mystacinus,0.349,0.59,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_023000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
121.5655,121.5679,46093.0,65433.0,Echolocation,Myotis mystacinus,0.216,0.5,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_023000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
106.73349999999999,106.7367,47812.0,73862.0,Echolocation,Myotis alcathoe,0.418,0.565,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
106.9725,106.9752,47812.0,68780.0,Echolocation,Myotis alcathoe,0.415,0.614,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
107.2855,107.2894,45234.0,79181.0,Echolocation,Myotis alcathoe,0.451,0.542,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
107.3655,107.3688,44375.0,69668.0,Echolocation,Myotis alcathoe,0.352,0.539,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
107.4475,107.4504,45234.0,71136.0,Echolocation,Myotis alcathoe,0.489,0.635,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
108.2135,108.21979999999999,46093.0,58594.0,Echolocation,Pipistrellus pipistrellus,0.482,0.545,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
110.8695,110.87219999999999,49531.0,72218.0,Echolocation,Myotis alcathoe,0.377,0.511,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
111.02250000000001,111.0258,48671.0,71389.0,Echolocation,Myotis alcathoe,0.391,0.534,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
111.3395,111.3425,46953.0,70599.0,Echolocation,Myotis alcathoe,0.337,0.515,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
111.4225,111.426,46093.0,76481.0,Echolocation,Myotis alcathoe,0.49,0.625,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
111.5095,111.51259999999999,46953.0,69453.0,Echolocation,Myotis alcathoe,0.351,0.546,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
111.6055,111.6088,46093.0,73356.0,Echolocation,Myotis alcathoe,0.439,0.562,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
111.6955,111.6987,43515.0,76668.0,Echolocation,Myotis alcathoe,0.48,0.646,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
111.79050000000001,111.7929,44375.0,67290.0,Echolocation,Myotis alcathoe,0.328,0.589,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
111.8825,111.885,45234.0,64403.0,Echolocation,Myotis alcathoe,0.395,0.584,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
111.9685,111.9712,46953.0,67962.0,Echolocation,Myotis alcathoe,0.435,0.581,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
112.04650000000001,112.0493,42656.0,76357.0,Echolocation,Myotis alcathoe,0.204,0.543,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
112.1125,112.1155,46093.0,62842.0,Echolocation,Myotis mystacinus,0.229,0.513,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
112.4115,112.4152,42656.0,77281.0,Echolocation,Myotis mystacinus,0.364,0.643,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
112.6395,112.642,45234.0,67310.0,Echolocation,Myotis mystacinus,0.324,0.514,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
120.4225,120.426,45234.0,80290.0,Echolocation,Myotis alcathoe,0.371,0.575,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
120.6595,120.664,44375.0,80441.0,Echolocation,Myotis alcathoe,0.345,0.58,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
120.9215,120.9246,43515.0,74469.0,Echolocation,Myotis alcathoe,0.31,0.528,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
121.3635,121.3677,38359.0,88894.0,Echolocation,Myotis alcathoe,0.456,0.544,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
121.4585,121.4622,40937.0,81780.0,Echolocation,Myotis alcathoe,0.491,0.628,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
121.7595,121.7631,34921.0,81636.0,Echolocation,Myotis alcathoe,0.217,0.565,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
254.20850000000002,254.2245,22890.0,25502.0,Echolocation,Nyctalus leisleri,0.617,0.643,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_024000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
195.7605,195.7645,47812.0,66592.0,Echolocation,Pipistrellus pipistrellus,0.461,0.542,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_030000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
196.5455,196.5497,46953.0,68110.0,Echolocation,Pipistrellus pipistrellus,0.533,0.639,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_030000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
197.1575,197.1617,45234.0,78090.0,Echolocation,Myotis alcathoe,0.321,0.512,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_030000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
197.4175,197.4217,42656.0,80673.0,Echolocation,Myotis alcathoe,0.363,0.544,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_030000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
197.9175,197.9226,43515.0,81156.0,Echolocation,Myotis alcathoe,0.317,0.518,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_030000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
198.0895,198.0942,42656.0,84102.0,Echolocation,Myotis brandtii,0.221,0.51,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_030000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
202.5085,202.5241,23750.0,27616.0,Echolocation,Nyctalus leisleri,0.406,0.524,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_030000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
205.6415,205.6466,41796.0,61315.0,Echolocation,Pipistrellus pipistrellus,0.333,0.556,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_030000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
205.8295,205.8351,43515.0,62584.0,Echolocation,Pipistrellus pipistrellus,0.365,0.584,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_030000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
206.2835,206.2894,44375.0,55445.0,Echolocation,Pipistrellus pipistrellus,0.467,0.54,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_030000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
168.0945,168.0975,43515.0,65847.0,Echolocation,Myotis mystacinus,0.208,0.508,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_034000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
97.8375,97.8413,44375.0,70227.0,Echolocation,Myotis alcathoe,0.239,0.507,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
97.9975,98.0013,43515.0,80406.0,Echolocation,Myotis alcathoe,0.337,0.523,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
98.0595,98.0618,46093.0,64529.0,Echolocation,Myotis mystacinus,0.243,0.564,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
98.1235,98.127,43515.0,70851.0,Echolocation,Myotis brandtii,0.327,0.621,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
98.1905,98.1936,43515.0,66663.0,Echolocation,Myotis mystacinus,0.235,0.536,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
98.26650000000001,98.2697,41796.0,69783.0,Echolocation,Myotis brandtii,0.323,0.59,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
98.3435,98.3466,43515.0,65048.0,Echolocation,Myotis brandtii,0.27,0.603,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
98.4255,98.42830000000001,42656.0,72603.0,Echolocation,Myotis brandtii,0.393,0.616,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
98.4995,98.5029,41796.0,77605.0,Echolocation,Myotis brandtii,0.325,0.576,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
226.4615,226.4646,46093.0,68309.0,Echolocation,Myotis alcathoe,0.334,0.574,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
226.5365,226.5394,47812.0,67146.0,Echolocation,Myotis alcathoe,0.254,0.613,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
226.6995,226.7025,48671.0,64853.0,Echolocation,Myotis mystacinus,0.264,0.54,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
226.8055,226.8082,47812.0,67097.0,Echolocation,Myotis mystacinus,0.247,0.513,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
226.9545,226.957,46953.0,69284.0,Echolocation,Myotis alcathoe,0.253,0.573,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
227.2415,227.2446,45234.0,76482.0,Echolocation,Myotis alcathoe,0.382,0.646,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
290.3675,290.3708,50390.0,72153.0,Echolocation,Myotis alcathoe,0.316,0.533,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
292.1375,292.1405,45234.0,62426.0,Echolocation,Myotis brandtii,0.379,0.563,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
292.6205,292.6243,44375.0,63752.0,Echolocation,Myotis brandtii,0.363,0.543,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
292.7855,292.7886,42656.0,62654.0,Echolocation,Myotis brandtii,0.387,0.531,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
293.1355,293.1387,42656.0,60386.0,Echolocation,Myotis brandtii,0.346,0.502,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
293.4565,293.46,41796.0,58005.0,Echolocation,Myotis brandtii,0.368,0.51,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
293.6245,293.6282,43515.0,59771.0,Echolocation,Myotis brandtii,0.382,0.538,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_041000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
74.2285,74.2322,45234.0,66260.0,Echolocation,Myotis mystacinus,0.409,0.533,-1,/mnt/ubna_data_03/recover-20231102/UBNA_012/20231027_042000.WAV,recover-20231102,UBNA_012,(Site not found in Field Records)
