Time (UTC),11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,11/20/23,11/21/23
00:00,4.333333333333333,1.0,2.6666666666666665,1.0,1.0,2.666666666666667,1.0,1.0
00:30,1.0,1.0,1.0,2.6666666666666665,1.0,1.0,1.0,0.6666666666666666
01:00,1.0,38.666666666666664,1.0,1.0,1.0,1.0,1.0,
01:30,0.6666666666666666,1.0,1.0,1.0,1.0,82.66666666666666,1.0,
02:00,10.666666666666666,1.0,1.0,1.0,1.0,26.333333333333332,1.0,
02:30,46.0,4.666666666666667,1.0,1.0,1.0,1.0,170.33333333333334,
03:00,82.0,1.0,1.0,4.666666666666667,1.0,62.333333333333336,30.666666666666668,
03:30,94.0,1.0,2.6666666666666665,1.0,12.666666666666668,1.0,1.0,
04:00,40.33333333333333,1.0,1.0,1.0,1.0,206.33333333333334,1.0,
04:30,12.666666666666666,1.0,1.0,1.0,1.0,1.0,30.666666666666664,
05:00,8.666666666666666,1.0,1.0,2.666666666666667,1.0,1.0,1.0,
05:30,52.0,1.0,2.6666666666666665,2.666666666666667,1.0,1.0,38.333333333333336,
06:00,2.6666666666666665,1.0,1.0,1.0,2.666666666666667,1.0,26.333333333333332,
06:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
07:00,1.0,1.0,1.0,1.0,1.0,1.0,20.666666666666668,
07:30,1.0,1.0,2.666666666666667,1.0,1.0,1.0,1.0,
08:00,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,1.0,
08:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
09:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
09:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10:00,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,1.0,
10:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13:00,1.0,2.6666666666666665,1.0,1.0,1.0,1.0,2.6666666666666665,
13:30,1.0,1.0,2.6666666666666665,1.0,1.0,1.0,1.0,
14:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:30,2.6666666666666665,2.6666666666666665,1.0,2.6666666666666665,1.0,1.0,1.0,
15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
15:30,1.0,1.0,2.666666666666667,1.0,8.666666666666668,1.0,2.6666666666666665,
16:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:30,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,1.0,
17:00,1.0,1.0,1.0,2.6666666666666665,1.0,2.6666666666666665,1.0,
17:30,2.6666666666666665,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,
18:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:30,1.0,2.6666666666666665,6.666666666666666,1.0,1.0,1.0,1.0,
19:00,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,1.0,
19:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:00,2.666666666666667,1.0,2.6666666666666665,1.0,1.0,1.0,1.0,
21:30,1.0,1.0,1.0,4.666666666666667,1.0,1.0,2.6666666666666665,
22:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:30,1.0,1.0,1.0,1.0,2.6666666666666665,2.6666666666666665,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,
