start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
22.7285,22.7428,43515.0,45298.0,Pipistrellus pipistrellus,0.342,0.51,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231214_001000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
28.7355,28.7488,43515.0,45760.0,Pipistrellus pipistrellus,0.327,0.512,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231214_001000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
30.7375,30.7501,43515.0,46482.0,Pipistrellus pipistrellus,0.366,0.515,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231214_001000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
34.7425,34.756,43515.0,45992.0,Pipistrellus pipistrellus,0.405,0.566,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231214_001000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
40.6825,40.6967,23750.0,28493.0,Nyctalus leisleri,0.416,0.507,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231214_001000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
16.2135,16.2313,22890.0,26090.0,Nyctalus leisleri,0.488,0.516,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231216_024000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
16.9955,17.0131,22890.0,26957.0,Nyctalus leisleri,0.475,0.53,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231218_130000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
221.20850000000002,221.2248,22031.0,26197.0,Nyctalus leisleri,0.654,0.694,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231220_075000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
221.5975,221.6122,22031.0,25604.0,Nyctalus leisleri,0.532,0.627,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231220_075000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
222.1325,222.1479,22031.0,25468.0,Nyctalus leisleri,0.607,0.646,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231220_075000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
222.5255,222.54,22031.0,24942.0,Nyctalus leisleri,0.476,0.534,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231220_075000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
222.9315,222.9485,21171.0,25230.0,Nyctalus leisleri,0.507,0.592,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231220_075000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
224.9205,224.9341,22031.0,25491.0,Nyctalus leisleri,0.407,0.518,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231220_075000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
225.1855,225.2015,22031.0,25850.0,Nyctalus leisleri,0.573,0.638,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231220_075000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
237.55349999999999,237.5688,22031.0,27199.0,Nyctalus leisleri,0.361,0.539,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231220_075000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
237.8195,237.8367,22031.0,26769.0,Nyctalus leisleri,0.36,0.507,-1,Echolocation,/mnt/ubna_data_03/recover-20231228/UBNA_008/20231220_075000.WAV,recover-20231228,UBNA_008,(Site not found in Field Records)
