start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
194.4405,194.446,46093.0,55809.0,Echolocation,Pipistrellus pipistrellus,0.519,0.542,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231229_013000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
194.6225,194.6273,46093.0,56663.0,Echolocation,Pipistrellus pipistrellus,0.588,0.635,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231229_013000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
194.7145,194.7203,46953.0,61669.0,Echolocation,Pipistrellus pipistrellus,0.468,0.564,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231229_013000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
216.5985,216.6028,46953.0,56702.0,Echolocation,Pipistrellus pipistrellus,0.492,0.517,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231229_013000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
218.1065,218.1113,45234.0,56114.0,Echolocation,Pipistrellus pipistrellus,0.547,0.596,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231229_013000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
160.1035,160.1154,12578.0,18158.0,Echolocation,Nyctalus leisleri,0.368,0.503,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231229_153000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
299.0085,299.0146,43515.0,54103.0,Echolocation,Pipistrellus pipistrellus,0.272,0.527,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_013000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
240.9565,240.973,25468.0,30552.0,Echolocation,Nyctalus leisleri,0.338,0.525,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
242.0115,242.0265,25468.0,28821.0,Echolocation,Nyctalus leisleri,0.438,0.537,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
242.2575,242.2697,25468.0,29979.0,Echolocation,Nyctalus leisleri,0.551,0.67,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
242.5905,242.6039,25468.0,29824.0,Echolocation,Nyctalus leisleri,0.487,0.639,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
242.8485,242.8614,25468.0,30356.0,Echolocation,Nyctalus leisleri,0.497,0.69,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
243.1875,243.2022,25468.0,29697.0,Echolocation,Nyctalus leisleri,0.444,0.593,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
243.4345,243.4472,25468.0,31797.0,Echolocation,Nyctalus leisleri,0.45,0.675,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
243.6875,243.7009,25468.0,30679.0,Echolocation,Nyctalus leisleri,0.446,0.689,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
243.9505,243.9627,25468.0,31284.0,Echolocation,Nyctalus leisleri,0.546,0.724,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
244.2875,244.3008,25468.0,30725.0,Echolocation,Nyctalus leisleri,0.534,0.709,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
244.7245,244.7375,24609.0,30320.0,Echolocation,Nyctalus leisleri,0.608,0.731,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
244.9145,244.9252,25468.0,31116.0,Echolocation,Nyctalus leisleri,0.574,0.703,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
245.1795,245.1924,25468.0,30230.0,Echolocation,Nyctalus leisleri,0.564,0.686,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
246.1365,246.1504,24609.0,30390.0,Echolocation,Nyctalus leisleri,0.404,0.614,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
246.6325,246.6468,24609.0,30392.0,Echolocation,Nyctalus leisleri,0.402,0.652,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
247.1175,247.131,24609.0,29541.0,Echolocation,Nyctalus leisleri,0.37,0.599,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
247.3525,247.3646,24609.0,28785.0,Echolocation,Nyctalus leisleri,0.351,0.519,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
247.5895,247.6019,24609.0,29286.0,Echolocation,Nyctalus leisleri,0.363,0.552,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
248.7535,248.7657,24609.0,32597.0,Echolocation,Nyctalus leisleri,0.364,0.63,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
248.9835,248.9967,25468.0,30358.0,Echolocation,Nyctalus leisleri,0.36,0.577,-1,/mnt/ubna_data_03/recover-20240105/UBNA_009/20231230_014000.WAV,recover-20240105,UBNA_009,(Site not found in Field Records)
