start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
55.7485,55.765,22890.0,26266.0,Echolocation,Nyctalus leisleri,0.551,0.574,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240221_193000.WAV,recover-20240228,UBNA_011,E18 Bridge
72.7685,72.7891,21171.0,23450.0,Echolocation,Nyctalus leisleri,0.504,0.514,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240222_153000.WAV,recover-20240228,UBNA_011,E18 Bridge
179.5435,179.5504,47812.0,64346.0,Echolocation,Pipistrellus pipistrellus,0.551,0.632,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
179.6265,179.6326,46953.0,61314.0,Echolocation,Pipistrellus pipistrellus,0.501,0.552,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
179.7775,179.7848,46093.0,63823.0,Echolocation,Pipistrellus pipistrellus,0.424,0.604,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
180.1545,180.1608,46093.0,62069.0,Echolocation,Pipistrellus pipistrellus,0.453,0.58,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
180.2495,180.2564,46093.0,63305.0,Echolocation,Pipistrellus pipistrellus,0.458,0.553,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
180.3365,180.3441,45234.0,63771.0,Echolocation,Pipistrellus pipistrellus,0.463,0.596,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
180.4175,180.4246,46093.0,65554.0,Echolocation,Pipistrellus pipistrellus,0.451,0.563,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
180.4945,180.5004,46953.0,69185.0,Echolocation,Pipistrellus pipistrellus,0.483,0.606,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
180.5795,180.5867,46093.0,64348.0,Echolocation,Pipistrellus pipistrellus,0.522,0.662,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
180.6715,180.6766,47812.0,72309.0,Echolocation,Pipistrellus pipistrellus,0.515,0.59,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
180.7585,180.7647,46093.0,67141.0,Echolocation,Pipistrellus pipistrellus,0.501,0.572,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
180.8465,180.8516,44375.0,64694.0,Echolocation,Pipistrellus pipistrellus,0.497,0.66,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
181.1155,181.1222,42656.0,84194.0,Echolocation,Pipistrellus pipistrellus,0.356,0.509,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
181.2045,181.2097,44375.0,70040.0,Echolocation,Pipistrellus pipistrellus,0.41,0.509,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
181.2925,181.2991,41796.0,84013.0,Echolocation,Pipistrellus pipistrellus,0.346,0.594,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
181.4635,181.4688,46093.0,70570.0,Echolocation,Pipistrellus pipistrellus,0.548,0.599,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
181.5425,181.5474,45234.0,70553.0,Echolocation,Pipistrellus pipistrellus,0.52,0.542,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
181.6945,181.6989,46093.0,65988.0,Echolocation,Pipistrellus pipistrellus,0.525,0.548,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
181.7785,181.7833,46953.0,64755.0,Echolocation,Pipistrellus pipistrellus,0.541,0.572,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
181.9465,181.9517,43515.0,61013.0,Echolocation,Pipistrellus pipistrellus,0.235,0.588,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
183.4525,183.4557,46953.0,58928.0,Echolocation,Pipistrellus pipistrellus,0.474,0.549,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
183.8815,183.8856,46953.0,57337.0,Echolocation,Pipistrellus pipistrellus,0.585,0.646,-1,/mnt/ubna_data_03/recover-20240228/UBNA_011/20240223_054000.WAV,recover-20240228,UBNA_011,E18 Bridge
