Time (UTC),02/21/24,02/22/24,02/23/24,02/24/24,02/25/24,02/26/24,02/27/24,02/28/24
00:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,1.0,1.0,4.666666666666667,1.0,1.0
02:00,,1.0,118.33333333333333,58.33333333333333,8.333333333333334,1.0,2.6666666666666665,1.0
02:30,,22.333333333333332,80.0,38.0,18.0,2.6666666666666665,1.0,2.6666666666666665
03:00,,1.0,90.0,22.0,2.666666666666667,8.666666666666666,1.0,1.0
03:30,,1.0,16.333333333333332,40.333333333333336,22.0,10.666666666666668,1.0,1.0
04:00,,1.0,42.0,2.6666666666666665,10.333333333333334,1.0,1.0,1.0
04:30,,1.0,26.0,1.0,26.0,1.0,1.0,1.0
05:00,,1.0,30.0,22.0,6.666666666666667,1.0,1.0,14.666666666666666
05:30,,1.0,44.0,1.0,1.0,1.0,1.0,6.666666666666666
06:00,,1.0,48.0,1.0,24.333333333333332,1.0,1.0,12.666666666666666
06:30,,1.0,20.333333333333332,1.0,4.333333333333333,1.0,1.0,8.666666666666666
07:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
07:30,,8.333333333333334,1.0,1.0,8.666666666666668,1.0,1.0,1.0
08:00,,1.0,1.0,1.0,10.666666666666666,1.0,1.0,1.0
08:30,,20.666666666666668,1.0,1.0,6.666666666666666,1.0,1.0,1.0
09:00,,6.666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
09:30,,8.666666666666668,62.0,1.0,1.0,1.0,1.0,1.0
10:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10:30,,32.66666666666667,1.0,1.0,1.0,1.0,1.0,1.0
11:00,,2.6666666666666665,1.0,1.0,2.6666666666666665,1.0,1.0,1.0
11:30,,46.33333333333333,1.0,10.666666666666668,1.0,1.0,1.0,1.0
12:00,,16.333333333333336,1.0,1.0,1.0,1.0,1.0,1.0
12:30,,20.0,1.0,1.0,1.0,1.0,1.0,1.0
13:00,,10.666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
13:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17:00,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
19:00,1.0,16.666666666666668,1.0,1.0,1.0,1.0,1.0,
19:30,1.0,114.66666666666667,1.0,1.0,1.0,1.0,1.0,
20:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
