Time (UTC),06/27/24,06/28/24,06/29/24,06/30/24,07/01/24,07/02/24
00:00,,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,1.0,1.0,1.0
02:00,,1.0,1.0,1.0,1.0,1.0
02:30,,1.0,1.0,1.0,2.6666666666666665,1.0
03:00,,1.0,1.0,1.0,1.0,1.0
03:30,,1.0,1.0,1.0,1.0,1.0
04:00,,1.0,1.0,1.0,1.0,1.0
04:30,,1.0,1.0,76.66666666666667,1.0,1.0
05:00,,334.3333333333333,28.666666666666664,32.666666666666664,1.0,1.0
05:30,,132.0,1.0,1.0,138.33333333333334,1.0
06:00,,92.33333333333333,38.666666666666664,50.0,36.66666666666667,152.0
06:30,,1.0,1.0,2.666666666666667,1.0,1.0
07:00,,1.0,1.0,1.0,1.0,1.0
07:30,,12.666666666666666,1.0,1.0,1.0,1.0
08:00,,1.0,1.0,122.33333333333333,1.0,36.66666666666667
08:30,,1.0,24.666666666666664,1.0,48.66666666666667,1.0
09:00,,1.0,1.0,26.666666666666668,1.0,1.0
09:30,,1.0,1.0,4.666666666666667,10.666666666666666,8.666666666666666
10:00,,1.0,1.0,1.0,86.66666666666667,1.0
10:30,,10.666666666666666,1.0,1.0,82.33333333333333,1.0
11:00,,1.0,1.0,1.0,1.0,1.0
11:30,,1.0,1.0,1.0,1.0,1.0
12:00,,1.0,1.0,1.0,1.0,1.0
12:30,,1.0,1.0,1.0,1.0,1.0
13:00,,1.0,1.0,1.0,1.0,1.0
13:30,,1.0,1.0,1.0,1.0,1.0
14:00,,1.0,1.0,1.0,1.0,1.0
14:30,,1.0,1.0,1.0,1.0,1.0
15:00,,1.0,1.0,1.0,1.0,1.0
15:30,,1.0,1.0,1.0,1.0,1.0
16:00,,1.0,1.0,1.0,1.0,1.0
16:30,,1.0,1.0,1.0,1.0,1.0
17:00,,1.0,1.0,1.0,1.0,1.0
17:30,,1.0,1.0,1.0,1.0,1.0
18:00,,1.0,1.0,1.0,1.0,1.0
18:30,,1.0,1.0,1.0,1.0,1.0
19:00,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
19:30,1.0,1.0,1.0,1.0,1.0,1.0
20:00,1.0,1.0,1.0,1.0,1.0,1.0
20:30,1.0,1.0,1.0,1.0,2.6666666666666665,1.0
21:00,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
21:30,1.0,1.0,1.0,1.0,1.0,
22:00,1.0,1.0,1.0,1.0,1.0,
22:30,1.0,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,
