Time (UTC),07/02/24,07/03/24,07/04/24,07/05/24,07/06/24,07/07/24,07/08/24,07/09/24,07/10/24
00:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:30,,1.0,1.0,1.0,4.666666666666667,1.0,1.0,1.0,1.0
04:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
04:30,,1.0,48.666666666666664,144.66666666666666,190.66666666666666,1.0,1.0,1.0,1.0
05:00,,142.66666666666669,102.33333333333334,16.333333333333332,130.66666666666666,1.0,78.33333333333334,190.66666666666666,4.666666666666667
05:30,,4.666666666666667,304.0,754.0,172.33333333333334,126.33333333333333,346.3333333333333,28.666666666666668,214.0
06:00,,44.333333333333336,30.333333333333332,350.3333333333333,404.0,86.66666666666667,22.666666666666668,1.0,160.66666666666666
06:30,,4.666666666666667,336.3333333333333,46.666666666666664,154.0,210.66666666666666,24.666666666666668,64.33333333333333,1.0
07:00,,44.66666666666667,336.0,158.33333333333334,208.0,184.66666666666669,112.66666666666667,24.333333333333332,1.0
07:30,,52.333333333333336,180.0,44.666666666666664,202.0,74.33333333333333,100.33333333333334,68.33333333333333,22.666666666666668
08:00,,1.0,2.6666666666666665,52.333333333333336,1.0,1.0,210.0,2.6666666666666665,16.333333333333332
08:30,,1.0,62.66666666666667,78.66666666666667,4.333333333333333,2.666666666666667,1.0,1.0,32.666666666666664
09:00,,1.0,56.666666666666664,76.33333333333334,20.333333333333332,78.66666666666666,4.666666666666667,60.666666666666664,218.33333333333334
09:30,,1.0,1.0,228.33333333333334,8.666666666666668,126.33333333333333,10.333333333333332,1.0,58.333333333333336
10:00,,1.0,1.0,148.33333333333334,4.666666666666667,36.333333333333336,6.666666666666667,170.0,56.666666666666664
10:30,,1.0,76.66666666666667,36.666666666666664,40.66666666666667,120.66666666666667,1.0,416.0,1.0
11:00,,1.0,1.0,32.666666666666664,1.0,1.0,1.0,1.0,6.333333333333334
11:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.666666666666664
12:00,,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,1.0
12:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
15:00,,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,1.0,
15:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:30,,1.0,1.0,1.0,2.6666666666666665,1.0,1.0,1.0,
18:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:00,,1.0,1.0,1.0,48.666666666666664,1.0,1.0,1.0,
19:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:30,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
