Time (UTC),07/22/24,07/23/24,07/24/24,07/25/24,07/26/24,07/27/24
00:00,,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,1.0,1.0,1.0
02:00,,1.0,1.0,1.0,1.0,1.0
02:30,,1.0,1.0,1.0,1.0,2.6666666666666665
03:00,,1.0,1.0,1.0,1.0,1.0
03:30,,1.0,1.0,1.0,1.0,1.0
04:00,,2.6666666666666665,1.0,1.0,1.0,1.0
04:30,,40.333333333333336,10.666666666666668,128.66666666666666,1.0,1.0
05:00,,110.66666666666667,86.33333333333333,36.666666666666664,84.66666666666667,38.666666666666664
05:30,,80.33333333333333,64.0,58.0,84.33333333333333,30.666666666666668
06:00,,2.6666666666666665,8.666666666666668,64.66666666666667,180.33333333333334,196.33333333333331
06:30,,1.0,4.666666666666667,4.666666666666667,1.0,1.0
07:00,,2.666666666666667,1.0,2.6666666666666665,2.6666666666666665,1.0
07:30,,1.0,1.0,34.666666666666664,1.0,1.0
08:00,,4.666666666666667,50.666666666666664,2.6666666666666665,1.0,1.0
08:30,,1.0,1.0,92.66666666666667,1.0,78.33333333333333
09:00,,2.666666666666667,1.0,1.0,1.0,1.0
09:30,,1.0,1.0,1.0,1.0,2.6666666666666665
10:00,,1.0,1.0,1.0,1.0,1.0
10:30,,1.0,1.0,148.66666666666666,2.666666666666667,1.0
11:00,,2.6666666666666665,1.0,1.0,1.0,1.0
11:30,,2.6666666666666665,1.0,1.0,1.0,1.0
12:00,,1.0,1.0,1.0,1.0,1.0
12:30,,1.0,1.0,1.0,2.666666666666667,1.0
13:00,,1.0,1.0,1.0,1.0,1.0
13:30,,1.0,1.0,1.0,1.0,1.0
14:00,,1.0,1.0,1.0,1.0,2.6666666666666665
14:30,,1.0,1.0,1.0,1.0,1.0
15:00,,1.0,1.0,1.0,1.0,1.0
15:30,,1.0,1.0,1.0,1.0,0.3333333333333333
16:00,,2.666666666666667,1.0,1.0,1.0,
16:30,,1.0,1.0,1.0,1.0,
17:00,,1.0,1.0,1.0,1.0,
17:30,,1.0,1.0,1.0,1.0,
18:00,,1.0,1.0,1.0,1.0,
18:30,,1.0,1.0,1.0,1.0,
19:00,,1.0,1.0,1.0,1.0,
19:30,,1.0,1.0,1.0,1.0,
20:00,,1.0,1.0,1.0,1.0,
20:30,8.333333333333334,1.0,1.0,1.0,1.0,
21:00,1.0,1.0,1.0,1.0,1.0,
21:30,1.0,1.0,1.0,1.0,1.0,
22:00,1.0,1.0,1.0,1.0,1.0,
22:30,1.0,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,
