Time (UTC),08/02/24,08/03/24,08/04/24,08/05/24
00:00,,1.0,1.0,1.0
00:30,,1.0,1.0,1.0
01:00,,1.0,1.0,1.0
01:30,,1.0,1.0,1.0
02:00,,1.0,1.0,1.0
02:30,,1.0,1.0,1.0
03:00,,1.0,1.0,1.0
03:30,,1.0,1.0,1.0
04:00,,1.0,1.0,1.0
04:30,,70.66666666666666,40.666666666666664,10.333333333333332
05:00,,1.0,24.333333333333332,1.0
05:30,,6.333333333333334,1.0,1.0
06:00,,34.66666666666667,52.0,70.66666666666667
06:30,,8.666666666666666,1.0,1.0
07:00,,1.0,96.33333333333333,6.666666666666666
07:30,,2.666666666666667,94.66666666666666,256.0
08:00,,100.66666666666666,32.666666666666664,18.333333333333332
08:30,,96.66666666666666,152.66666666666666,94.66666666666666
09:00,,1.0,1.0,56.666666666666664
09:30,,16.666666666666668,138.33333333333334,1.0
10:00,,24.666666666666668,8.666666666666666,46.666666666666664
10:30,,1.0,1.0,44.333333333333336
11:00,,2.6666666666666665,96.33333333333333,12.666666666666668
11:30,,1.0,1.0,1.0
12:00,,1.0,1.0,1.0
12:30,,1.0,1.0,1.0
13:00,,1.0,1.0,1.0
13:30,,1.0,1.0,1.0
14:00,,1.0,1.0,1.0
14:30,,1.0,1.0,1.0
15:00,,1.0,1.0,1.0
15:30,,1.0,1.0,1.0
16:00,,1.0,1.0,1.0
16:30,,1.0,1.0,1.0
17:00,,1.0,1.0,1.0
17:30,,1.0,1.0,1.0
18:00,0.6666666666666666,1.0,1.0,1.0
18:30,1.0,1.0,1.0,1.0
19:00,1.0,1.0,1.0,1.0
19:30,1.0,1.0,1.0,1.0
20:00,1.0,1.0,1.0,1.0
20:30,1.0,1.0,1.0,1.0
21:00,1.0,1.0,1.0,1.0
21:30,1.0,1.0,1.0,1.0
22:00,1.0,1.0,1.0,0.3333333333333333
22:30,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,
