start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
18.3015,18.3156,32343.0,35185.0,Nyctalus leisleri,0.291,0.522,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240729_205000.WAV,recover-20240805,UBNA_001,Foliage
108.8575,108.87440000000001,23750.0,28680.0,Nyctalus leisleri,0.354,0.501,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
109.4965,109.5138,22890.0,28725.0,Nyctalus leisleri,0.375,0.574,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
112.1635,112.1743,25468.0,32933.0,Eptesicus serotinus,0.326,0.537,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
112.2795,112.2904,25468.0,35860.0,Eptesicus serotinus,0.387,0.663,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
112.3845,112.39320000000001,27187.0,40020.0,Eptesicus serotinus,0.448,0.69,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
112.4575,112.4651,27187.0,39295.0,Eptesicus serotinus,0.478,0.635,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
112.6255,112.6314,28046.0,38082.0,Eptesicus serotinus,0.442,0.576,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
113.27250000000001,113.2861,23750.0,29787.0,Nyctalus leisleri,0.445,0.663,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
113.4225,113.4382,23750.0,31073.0,Nyctalus leisleri,0.271,0.625,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
113.5865,113.6009,24609.0,36670.0,Eptesicus serotinus,0.444,0.59,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
113.7615,113.7737,24609.0,30038.0,Nyctalus leisleri,0.317,0.531,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
114.01050000000001,114.0258,22890.0,31571.0,Eptesicus serotinus,0.289,0.62,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
114.1245,114.134,25468.0,36796.0,Eptesicus serotinus,0.512,0.688,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
114.2065,114.2153,26328.0,37880.0,Eptesicus serotinus,0.475,0.613,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
115.0555,115.0672,24609.0,31428.0,Eptesicus serotinus,0.241,0.528,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
115.1945,115.2077,24609.0,31075.0,Nyctalus leisleri,0.374,0.68,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
115.45349999999999,115.4676,23750.0,29589.0,Nyctalus leisleri,0.409,0.619,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
115.70949999999999,115.7248,22890.0,27548.0,Nyctalus leisleri,0.466,0.641,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
115.9685,115.987,22031.0,28852.0,Eptesicus serotinus,0.22,0.551,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
116.2205,116.2373,22031.0,27637.0,Nyctalus leisleri,0.289,0.538,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
116.5255,116.5425,22031.0,28382.0,Nyctalus leisleri,0.325,0.601,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
116.8925,116.9046,25468.0,31238.0,Nyctalus leisleri,0.422,0.655,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
117.1585,117.1724,23750.0,28667.0,Nyctalus leisleri,0.345,0.535,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
117.4265,117.44290000000001,22890.0,30062.0,Nyctalus leisleri,0.221,0.557,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
118.1395,118.15469999999999,22890.0,27481.0,Nyctalus leisleri,0.541,0.689,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
118.4015,118.41499999999999,23750.0,31460.0,Nyctalus leisleri,0.287,0.607,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
118.5565,118.5704,23750.0,28317.0,Nyctalus leisleri,0.464,0.613,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
218.6225,218.6306,40937.0,48931.0,Pipistrellus nathusii,0.361,0.541,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
218.8995,218.907,41796.0,50121.0,Pipistrellus nathusii,0.521,0.602,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
219.2855,219.2928,41796.0,51927.0,Pipistrellus nathusii,0.577,0.642,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
219.3755,219.3823,41796.0,50395.0,Pipistrellus nathusii,0.553,0.602,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
219.4695,219.4771,40937.0,49285.0,Pipistrellus nathusii,0.485,0.59,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
219.6545,219.6618,40078.0,54906.0,Pipistrellus nathusii,0.442,0.547,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
219.7515,219.7582,42656.0,52291.0,Pipistrellus nathusii,0.391,0.57,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
220.4615,220.4694,40937.0,53086.0,Pipistrellus nathusii,0.385,0.577,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
220.5605,220.5682,40078.0,49042.0,Pipistrellus nathusii,0.432,0.528,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
220.6655,220.6736,40937.0,50333.0,Pipistrellus nathusii,0.477,0.569,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
220.7645,220.7717,41796.0,47207.0,Pipistrellus nathusii,0.46,0.503,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
220.9305,220.9366,41796.0,55404.0,Pipistrellus nathusii,0.517,0.585,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
225.2185,225.2263,41796.0,51346.0,Pipistrellus nathusii,0.385,0.548,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
238.4575,238.46620000000001,41796.0,51399.0,Pipistrellus nathusii,0.393,0.601,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
238.6605,238.6706,40937.0,50762.0,Pipistrellus nathusii,0.484,0.597,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
244.4925,244.5016,42656.0,49810.0,Pipistrellus nathusii,0.571,0.608,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
244.6385,244.647,41796.0,49142.0,Pipistrellus nathusii,0.517,0.621,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
244.8075,244.8137,43515.0,53490.0,Pipistrellus pipistrellus,0.232,0.521,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
244.9915,244.998,42656.0,53450.0,Pipistrellus nathusii,0.513,0.591,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
245.2145,245.2237,42656.0,50105.0,Pipistrellus nathusii,0.429,0.523,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
245.8995,245.9113,40078.0,50629.0,Pipistrellus nathusii,0.493,0.522,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
246.1025,246.1126,41796.0,52909.0,Pipistrellus nathusii,0.257,0.512,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
246.2855,246.293,41796.0,50039.0,Pipistrellus nathusii,0.499,0.63,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
266.2665,266.2728,41796.0,61848.0,Pipistrellus nathusii,0.25,0.547,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
277.1945,277.2076,23750.0,28289.0,Nyctalus leisleri,0.428,0.56,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
277.7105,277.7255,23750.0,28501.0,Nyctalus leisleri,0.354,0.506,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
278.6555,278.6692,23750.0,30058.0,Nyctalus leisleri,0.287,0.55,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_042000.WAV,recover-20240805,UBNA_001,Foliage
47.548500000000004,47.5612,24609.0,30477.0,Nyctalus leisleri,0.403,0.649,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
47.814499999999995,47.8273,24609.0,31796.0,Nyctalus leisleri,0.296,0.619,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
47.960499999999996,47.9698,26328.0,34405.0,Nyctalus leisleri,0.291,0.66,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
48.1035,48.1164,25468.0,33328.0,Eptesicus serotinus,0.357,0.561,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
48.3615,48.3759,24609.0,33632.0,Eptesicus serotinus,0.39,0.603,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
48.7735,48.785799999999995,24609.0,31306.0,Nyctalus leisleri,0.375,0.651,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
49.1275,49.1389,26328.0,32621.0,Nyctalus leisleri,0.366,0.694,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
49.3865,49.3989,24609.0,30471.0,Nyctalus leisleri,0.305,0.611,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
49.6495,49.6627,24609.0,34563.0,Eptesicus serotinus,0.452,0.641,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
49.808499999999995,49.8194,25468.0,31006.0,Nyctalus leisleri,0.432,0.634,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
71.3465,71.3493,44375.0,74277.0,Myotis mystacinus,0.256,0.577,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
71.4195,71.423,43515.0,71565.0,Myotis alcathoe,0.255,0.561,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
71.6825,71.6864,41796.0,82002.0,Myotis alcathoe,0.319,0.569,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
71.8435,71.8478,40937.0,79159.0,Myotis alcathoe,0.383,0.508,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
71.9735,71.9776,40937.0,75440.0,Myotis alcathoe,0.271,0.583,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
76.5315,76.5426,24609.0,32801.0,Eptesicus serotinus,0.295,0.661,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
77.9425,77.9536,25468.0,30913.0,Nyctalus leisleri,0.363,0.616,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
78.1945,78.2081,23750.0,29233.0,Nyctalus leisleri,0.305,0.552,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
110.4165,110.4235,40078.0,47741.0,Pipistrellus nathusii,0.469,0.519,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
110.6905,110.69839999999999,40078.0,47920.0,Pipistrellus nathusii,0.481,0.551,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
110.9295,110.937,39218.0,46593.0,Pipistrellus nathusii,0.446,0.549,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
111.02850000000001,111.0367,40078.0,47053.0,Pipistrellus nathusii,0.372,0.507,-1,Echolocation,/mnt/ubna_data_04/recover-20240805/UBNA_001/20240730_043000.WAV,recover-20240805,UBNA_001,Foliage
