start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
245.2125,245.2183,46953.0,59316.0,Echolocation,Pipistrellus pipistrellus,0.517,0.571,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_041000.WAV,recover-20240805,UBNA_002,Telephone Field
245.2985,245.3046,44375.0,62839.0,Echolocation,Pipistrellus pipistrellus,0.578,0.701,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_041000.WAV,recover-20240805,UBNA_002,Telephone Field
245.8125,245.8172,46953.0,59387.0,Echolocation,Pipistrellus pipistrellus,0.608,0.639,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_041000.WAV,recover-20240805,UBNA_002,Telephone Field
245.9625,245.9668,47812.0,60741.0,Echolocation,Pipistrellus pipistrellus,0.493,0.511,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_041000.WAV,recover-20240805,UBNA_002,Telephone Field
246.2035,246.2094,45234.0,67379.0,Echolocation,Pipistrellus pipistrellus,0.424,0.581,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_041000.WAV,recover-20240805,UBNA_002,Telephone Field
246.3705,246.3788,45234.0,65846.0,Echolocation,Pipistrellus pipistrellus,0.379,0.54,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_041000.WAV,recover-20240805,UBNA_002,Telephone Field
246.5035,246.5081,44375.0,56561.0,Echolocation,Pipistrellus pipistrellus,0.454,0.513,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_041000.WAV,recover-20240805,UBNA_002,Telephone Field
246.6465,246.6509,44375.0,57235.0,Echolocation,Pipistrellus pipistrellus,0.555,0.61,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_041000.WAV,recover-20240805,UBNA_002,Telephone Field
282.3855,282.39300000000003,47812.0,67293.0,Echolocation,Pipistrellus pipistrellus,0.474,0.545,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
282.4775,282.4865,47812.0,62056.0,Echolocation,Pipistrellus pipistrellus,0.483,0.513,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
282.5665,282.573,48671.0,65486.0,Echolocation,Pipistrellus pipistrellus,0.548,0.597,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
282.6585,282.6651,46953.0,67924.0,Echolocation,Pipistrellus pipistrellus,0.63,0.702,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
282.7135,282.7194,47812.0,63040.0,Echolocation,Pipistrellus pipistrellus,0.495,0.524,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
282.7765,282.7821,46093.0,61897.0,Echolocation,Pipistrellus pipistrellus,0.489,0.509,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
282.8595,282.8648,46093.0,67381.0,Echolocation,Pipistrellus pipistrellus,0.543,0.58,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
282.9535,282.9609,46953.0,57020.0,Echolocation,Pipistrellus pipistrellus,0.508,0.532,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
283.0365,283.042,46093.0,59557.0,Echolocation,Pipistrellus pipistrellus,0.502,0.639,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
283.1335,283.1394,46093.0,54016.0,Echolocation,Pipistrellus pipistrellus,0.556,0.565,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
283.2175,283.2236,45234.0,69973.0,Echolocation,Pipistrellus pipistrellus,0.603,0.684,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
283.2815,283.2871,46953.0,57373.0,Echolocation,Pipistrellus pipistrellus,0.581,0.596,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
283.3955,283.4003,47812.0,60488.0,Echolocation,Pipistrellus pipistrellus,0.543,0.553,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
283.4505,283.4556,46953.0,63190.0,Echolocation,Pipistrellus pipistrellus,0.557,0.59,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
283.7665,283.7712,46953.0,60773.0,Echolocation,Pipistrellus pipistrellus,0.52,0.545,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
283.9675,283.9727,46093.0,56148.0,Echolocation,Pipistrellus pipistrellus,0.526,0.541,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
284.0625,284.0672,44375.0,53327.0,Echolocation,Pipistrellus pipistrellus,0.499,0.579,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_042000.WAV,recover-20240805,UBNA_002,Telephone Field
70.2575,70.272,22890.0,27641.0,Echolocation,Nyctalus leisleri,0.636,0.715,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_051000.WAV,recover-20240805,UBNA_002,Telephone Field
106.9245,106.932,45234.0,52750.0,Echolocation,Pipistrellus pipistrellus,0.479,0.508,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_060000.WAV,recover-20240805,UBNA_002,Telephone Field
107.0195,107.0249,44375.0,58133.0,Echolocation,Pipistrellus pipistrellus,0.559,0.585,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_060000.WAV,recover-20240805,UBNA_002,Telephone Field
107.8935,107.8993,45234.0,54437.0,Echolocation,Pipistrellus pipistrellus,0.613,0.63,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_060000.WAV,recover-20240805,UBNA_002,Telephone Field
107.9825,107.9884,44375.0,52937.0,Echolocation,Pipistrellus pipistrellus,0.476,0.53,-1,/mnt/ubna_data_04/recover-20240805/UBNA_002/20240802_060000.WAV,recover-20240805,UBNA_002,Telephone Field
