Time (UTC),08/05/24,08/06/24,08/07/24,08/08/24,08/09/24,08/10/24,08/11/24,08/12/24
00:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
04:00,,22.666666666666668,42.666666666666664,1.0,16.666666666666668,1.0,4.666666666666667,38.66666666666667
04:30,,66.33333333333333,38.66666666666667,1.0,1.0,1.0,1.0,1.0
05:00,,1.0,34.666666666666664,1.0,1.0,1.0,1.0,1.0
05:30,,54.66666666666667,1.0,1.0,30.666666666666664,1.0,1.0,54.333333333333336
06:00,,22.666666666666668,66.66666666666667,1.0,1.0,1.0,1.0,86.66666666666667
06:30,,36.33333333333333,1.0,1.0,1.0,1.0,104.66666666666667,1.0
07:00,,1.0,1.0,1.0,1.0,100.66666666666666,234.0,316.0
07:30,,58.333333333333336,8.666666666666668,1.0,34.333333333333336,2.6666666666666665,72.33333333333333,84.33333333333333
08:00,,256.0,1.0,26.666666666666668,1.0,14.666666666666668,768.0,146.0
08:30,,1450.0,34.666666666666664,1.0,1.0,1.0,676.0,24.666666666666668
09:00,,1048.0,1.0,1.0,1.0,1.0,506.0,260.0
09:30,,748.0,24.666666666666668,1.0,1.0,1.0,1308.0,120.0
10:00,,230.0,90.33333333333333,46.666666666666664,1.0,8.333333333333332,1104.0,224.0
10:30,,562.0,16.666666666666668,1.0,1.0,30.666666666666668,638.0,202.0
11:00,,336.0,6.666666666666666,1.0,1.0,60.66666666666667,122.0,264.0
11:30,,266.0,1.0,42.333333333333336,1.0,62.0,54.333333333333336,80.33333333333333
12:00,,470.6666666666667,1.0,1.0,14.666666666666668,1.0,78.66666666666667,1.0
12:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20:30,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
22:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
