Time (UTC),08/20/24,08/21/24,08/22/24,08/23/24,08/24/24,08/25/24,08/26/24,08/27/24,08/28/24
00:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:30,,1.0,4.666666666666667,1.0,1.0,1.0,1.0,44.66666666666667,1.0
04:00,,24.666666666666668,98.66666666666667,1.0,26.666666666666668,2.666666666666667,1.0,1.0,142.33333333333331
04:30,,6.666666666666666,88.33333333333333,10.666666666666666,10.666666666666668,362.0,1.0,32.666666666666664,66.66666666666667
05:00,,18.666666666666668,80.66666666666666,12.666666666666668,48.666666666666664,66.33333333333333,6.666666666666667,1.0,68.66666666666667
05:30,,104.66666666666667,98.33333333333333,102.66666666666667,1.0,1.0,2.6666666666666665,28.666666666666664,1.0
06:00,,1.0,1.0,12.333333333333334,1.0,90.33333333333333,10.666666666666666,1.0,6.666666666666667
06:30,,1.0,1.0,1.0,1.0,202.66666666666666,1.0,1.0,1.0
07:00,,1.0,38.666666666666664,24.333333333333336,1.0,88.66666666666667,1.0,1.0,1.0
07:30,,64.66666666666667,12.666666666666666,1.0,1.0,36.66666666666667,1.0,8.666666666666666,92.66666666666666
08:00,,30.333333333333332,104.33333333333333,1.0,1.0,100.66666666666667,1.0,96.33333333333333,2.666666666666667
08:30,,1.0,1.0,1.0,20.666666666666668,1.0,1.0,46.66666666666667,1.0
09:00,,1.0,200.33333333333331,12.666666666666666,1.0,1.0,1.0,1.0,1.0
09:30,,186.33333333333334,1.0,1.0,1.0,1.0,1.0,1.0,28.666666666666668
10:00,,62.666666666666664,1.0,1.0,1.0,32.666666666666664,1.0,1.0,1.0
10:30,,30.666666666666668,44.666666666666664,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
11:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11:30,,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,1.0,
12:00,,1.0,1.0,1.0,1.0,1.0,4.666666666666667,1.0,
12:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
15:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
15:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:30,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
