Time (UTC),08/20/24,08/21/24,08/22/24,08/23/24,08/24/24,08/25/24,08/26/24,08/27/24,08/28/24
00:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:30,,698.3333333333333,490.0,418.3333333333333,670.3333333333333,800.0,206.33333333333334,3582.0,802.0
04:00,,2212.0,1556.0,2404.0,32.333333333333336,1146.0,1096.0,802.0,1626.0
04:30,,7278.0,6850.0,8260.0,84.33333333333333,958.0,694.0,1432.0,704.0
05:00,,2816.0,2456.0,2816.0,48.666666666666664,198.0,288.0,1164.0,158.0
05:30,,1066.0,1070.0,1420.0,2.6666666666666665,1.0,168.33333333333334,1366.0,148.0
06:00,,562.0,720.0,184.33333333333334,62.333333333333336,90.33333333333333,34.333333333333336,174.33333333333334,6.666666666666667
06:30,,92.33333333333333,58.33333333333333,1.0,1.0,352.3333333333333,36.333333333333336,36.66666666666667,12.0
07:00,,12.666666666666666,770.0,24.333333333333336,1.0,88.66666666666667,1.0,1.0,4.666666666666667
07:30,,64.66666666666667,214.33333333333334,1.0,1.0,36.66666666666667,58.66666666666667,8.666666666666666,102.33333333333333
08:00,,86.33333333333333,104.33333333333333,1.0,1.0,100.66666666666667,1.0,104.0,2.666666666666667
08:30,,4.666666666666667,1.0,6.333333333333333,20.666666666666668,1.0,1.0,120.33333333333333,1.0
09:00,,1.0,200.33333333333331,50.0,1.0,1.0,1.0,2.6666666666666665,1.0
09:30,,186.33333333333334,1.0,16.333333333333332,1.0,1.0,1.0,10.666666666666666,28.666666666666668
10:00,,62.666666666666664,1.0,4.333333333333333,1.0,34.333333333333336,1.0,108.0,4.666666666666667
10:30,,30.666666666666668,44.666666666666664,1.0,1.0,2.6666666666666665,1.0,10.333333333333334,2.0
11:00,,1.0,1.0,1.0,1.0,2.666666666666667,1.0,6.666666666666667,
11:30,,1.0,2.6666666666666665,12.333333333333334,1.0,2.6666666666666665,1.0,1.0,
12:00,,4.666666666666667,194.33333333333334,1.0,1.0,1.0,28.666666666666668,2.6666666666666665,
12:30,,28.666666666666668,226.33333333333334,1.0,1.0,1.0,1.0,1.0,
13:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
15:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
15:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:30,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:00,2.6666666666666665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
