Time (UTC),08/20/24,08/21/24,08/22/24,08/23/24,08/24/24,08/25/24,08/26/24,08/27/24,08/28/24
00:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:30,,1.0,1.0,1.0,1.0,1.0,1.0,42.66666666666667,1.0
04:00,,84.33333333333334,2.666666666666667,1.0,22.666666666666664,38.66666666666667,1.0,1.0,1.0
04:30,,46.666666666666664,1.0,1.0,1.0,1.0,54.666666666666664,98.33333333333333,116.33333333333333
05:00,,30.666666666666668,1.0,2.6666666666666665,28.666666666666668,26.666666666666664,1.0,50.66666666666667,14.666666666666666
05:30,,1.0,1.0,62.666666666666664,1.0,1.0,1.0,6.666666666666667,1.0
06:00,,1.0,96.66666666666666,1.0,1.0,24.333333333333332,1.0,1.0,1.0
06:30,,8.666666666666666,1.0,8.666666666666668,1.0,1.0,1.0,44.666666666666664,1.0
07:00,,1.0,1.0,8.666666666666666,1.0,1.0,42.66666666666667,1.0,76.66666666666667
07:30,,38.666666666666664,1.0,1.0,1.0,76.66666666666666,38.666666666666664,1.0,1.0
08:00,,1.0,1.0,1.0,1.0,1.0,1.0,140.33333333333334,1.0
08:30,,62.666666666666664,1.0,1.0,1.0,1.0,50.66666666666667,26.666666666666664,1.0
09:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.666666666666664
09:30,,64.33333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10:00,,1.0,1.0,1.0,1.0,4.666666666666667,1.0,1.0,1.0
10:30,,1.0,1.0,38.666666666666664,1.0,92.66666666666667,1.0,1.0,0.3333333333333333
11:00,,60.333333333333336,1.0,1.0,1.0,1.0,1.0,1.0,
11:30,,1.0,1.0,1.0,1.0,182.33333333333334,1.0,1.0,
12:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12:30,,1.0,6.666666666666667,1.0,1.0,1.0,1.0,1.0,
13:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
15:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
15:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:30,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
