KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,24000.0,18.011503361172956,1.9675,1.9873,22890.0,31864.0,Echolocation,Eptesicus serotinus,0.237,0.549,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240827_033000.WAV,recover-20240829,UBNA_008,Central Pond
LF,22080.0,10.185285863568563,118.4225,118.4413,21171.0,23487.0,Echolocation,Nyctalus leisleri,0.483,0.505,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_061000.WAV,recover-20240829,UBNA_008,Central Pond
LF,28800.0,6.125166815821022,40.8855,40.8962,27187.0,33676.0,Echolocation,Nyctalus leisleri,0.294,0.545,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_063000.WAV,recover-20240829,UBNA_008,Central Pond
LF,26880.0,5.071368515809937,61.1035,61.1151,26328.0,32800.0,Echolocation,Nyctalus leisleri,0.286,0.501,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_074000.WAV,recover-20240829,UBNA_008,Central Pond
LF,25920.0,10.925328786132624,291.7895,291.8039,25468.0,29521.0,Echolocation,Nyctalus leisleri,0.446,0.556,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_053000.WAV,recover-20240829,UBNA_008,Central Pond
LF,25920.0,11.174277021754389,120.9935,121.0053,23750.0,30603.0,Echolocation,Nyctalus leisleri,0.26,0.536,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240825_114000.WAV,recover-20240829,UBNA_008,Central Pond
HF,47040.0,7.35284519147153,154.6555,154.6645,40937.0,57309.0,Echolocation,Pipistrellus nathusii,0.415,0.534,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240824_041000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,6.484241849668239,20.5335,20.5496,23750.0,27888.0,Echolocation,Nyctalus leisleri,0.4,0.5,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240826_035000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24960.0,11.413492109417653,30.2215,30.2415,24609.0,28243.0,Echolocation,Nyctalus leisleri,0.454,0.518,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240826_035000.WAV,recover-20240829,UBNA_008,Central Pond
LF,26880.0,5.611195154717873,192.1415,192.1532,26328.0,33327.0,Echolocation,Eptesicus serotinus,0.276,0.579,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240821_051000.WAV,recover-20240829,UBNA_008,Central Pond
LF,24000.0,7.783503570488941,155.7885,155.8061,23750.0,27509.0,Echolocation,Nyctalus leisleri,0.511,0.583,-1,192000.0,/mnt/ubna_data_04/recover-20240829/UBNA_008/20240826_035000.WAV,recover-20240829,UBNA_008,Central Pond
