Time (UTC),09/19/24,09/20/24,09/21/24,09/22/24,09/23/24,09/24/24,09/25/24,09/26/24,09/27/24
00:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:30,,108.33333333333333,6.333333333333334,216.66666666666666,40.333333333333336,152.33333333333331,248.33333333333334,1.0,130.33333333333334
03:00,,1.0,76.33333333333333,130.0,342.0,274.0,260.0,1.0,2.666666666666667
03:30,,12.666666666666666,154.0,44.333333333333336,130.0,28.0,112.0,1.0,1.0
04:00,,56.666666666666664,40.66666666666667,178.66666666666669,4.666666666666667,88.0,12.0,1.0,8.666666666666666
04:30,,4.666666666666667,14.333333333333332,6.333333333333334,1.0,26.0,14.666666666666668,1.0,1.0
05:00,,1.0,144.33333333333334,6.666666666666667,38.666666666666664,32.666666666666664,174.33333333333334,1.0,1.0
05:30,,1.0,1.0,26.666666666666668,54.33333333333333,44.333333333333336,4.333333333333333,1.0,1.0
06:00,,26.666666666666668,1.0,1.0,1.0,2.6666666666666665,32.666666666666664,1.0,2.6666666666666665
06:30,,1.0,1.0,62.666666666666664,1.0,54.66666666666667,1.0,1.0,30.666666666666668
07:00,,1.0,1.0,1.0,168.0,54.66666666666667,42.666666666666664,1.0,1.0
07:30,,50.666666666666664,1.0,1.0,1.0,10.666666666666666,1.0,6.666666666666666,1.0
08:00,,1.0,56.333333333333336,1.0,8.666666666666666,1.0,70.66666666666667,1.0,1.0
08:30,,138.66666666666669,14.666666666666666,1.0,14.666666666666668,1.0,6.666666666666667,1.0,1.0
09:00,,1.0,14.666666666666666,1.0,32.666666666666664,14.666666666666666,34.33333333333333,1.0,1.0
09:30,,1.0,1.0,54.666666666666664,8.666666666666668,1.0,1.0,1.0,1.0
10:00,,70.66666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10:30,,1.0,1.0,56.666666666666664,1.0,6.666666666666667,1.0,1.0,1.0
11:00,,48.333333333333336,1.0,1.0,1.0,1.0,30.666666666666664,1.0,0.6666666666666666
11:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12:00,,1.0,1.0,1.0,1.0,1.0,50.66666666666667,1.0,
12:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13:00,,1.0,42.666666666666664,1.0,1.0,1.0,1.0,1.0,
13:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:00,,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,
14:30,,1.0,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,
15:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
15:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:00,,1.0,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,
17:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.666666666666667,
19:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:00,1.0,1.0,1.0,1.0,1.0,2.666666666666667,1.0,1.0,
20:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:30,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,1.0,
22:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
