KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,47040.0,4.467086523937033,126.7835,126.7895,45234.0,51690.0,Echolocation,Pipistrellus pipistrellus,0.513,0.529,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241005_023000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,8.96274708131867,206.8675,206.8869,24609.0,28053.0,Echolocation,Nyctalus leisleri,0.451,0.525,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_053000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,23.348350623703382,210.0915,210.1072,25468.0,27804.0,Echolocation,Nyctalus leisleri,0.555,0.63,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_053000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,14.130931948334286,190.7505,190.7665,25468.0,28285.0,Echolocation,Nyctalus leisleri,0.583,0.648,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_060000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,24000.0,11.536352461500105,3.5985,3.616,22890.0,25852.0,Echolocation,Nyctalus leisleri,0.578,0.591,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_062000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,27840.0,6.404064228147469,162.0175,162.0351,26328.0,29323.0,Echolocation,Nyctalus leisleri,0.523,0.571,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_063000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,27840.0,6.537266291166595,183.7105,183.7228,27187.0,31893.0,Echolocation,Nyctalus leisleri,0.474,0.637,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_063000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,5.703444918507003,142.9485,142.9661,24609.0,28140.0,Echolocation,Nyctalus leisleri,0.498,0.579,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_053000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,27840.0,18.35168581411616,210.2195,210.2326,27187.0,32139.0,Echolocation,Nyctalus leisleri,0.494,0.701,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_063000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,26880.0,7.29795552310807,143.5035,143.5201,26328.0,33269.0,Echolocation,Eptesicus serotinus,0.248,0.541,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_083000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,26880.0,7.162087515960083,150.0065,150.0185,26328.0,32689.0,Echolocation,Nyctalus leisleri,0.38,0.583,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_083000.WAV,recover-20241011,UBNA_004,Carp Pond
LF,25920.0,4.832069505946018,131.9315,131.9461,25468.0,28518.0,Echolocation,Nyctalus leisleri,0.432,0.524,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_004/20241006_084000.WAV,recover-20241011,UBNA_004,Carp Pond
