KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,50880.0,8.527827359765627,131.1295,131.1363,47812.0,66238.0,Echolocation,Pipistrellus pipistrellus,0.52,0.584,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_007/20241005_021000.WAV,recover-20241011,UBNA_007,Foliage
HF,51840.0,11.463868248382912,242.1145,242.1174,46953.0,73287.0,Echolocation,Myotis alcathoe,0.368,0.639,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_007/20241006_031000.WAV,recover-20241011,UBNA_007,Foliage
HF,48000.0,8.183086874811469,272.6295,272.6341,46953.0,60364.0,Echolocation,Pipistrellus pipistrellus,0.551,0.576,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_007/20241006_031000.WAV,recover-20241011,UBNA_007,Foliage
HF,49920.0,3.58079923045338,50.4105,50.415099999999995,49531.0,59695.0,Echolocation,Pipistrellus pipistrellus,0.499,0.507,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_007/20241006_032000.WAV,recover-20241011,UBNA_007,Foliage
HF,53760.0,16.21600036696851,133.5975,133.6013,48671.0,75028.0,Echolocation,Myotis alcathoe,0.245,0.542,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_007/20241006_032000.WAV,recover-20241011,UBNA_007,Foliage
HF,51840.0,10.411752728095392,245.3525,245.3596,46953.0,65452.0,Echolocation,Pipistrellus pipistrellus,0.436,0.581,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_007/20241006_033000.WAV,recover-20241011,UBNA_007,Foliage
HF,53760.0,8.626634141874263,62.1235,62.126599999999996,53828.0,72427.0,Echolocation,Myotis alcathoe,0.411,0.51,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_007/20241006_034000.WAV,recover-20241011,UBNA_007,Foliage
HF,56640.0,14.807926555422311,93.8665,93.8701,49531.0,73447.0,Echolocation,Myotis alcathoe,0.378,0.528,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_007/20241006_034000.WAV,recover-20241011,UBNA_007,Foliage
HF,50880.0,6.886915426592035,193.0485,193.053,47812.0,64756.0,Echolocation,Pipistrellus pipistrellus,0.426,0.512,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_007/20241006_034000.WAV,recover-20241011,UBNA_007,Foliage
HF,53760.0,9.180069357108064,210.6725,210.6765,46953.0,61997.0,Echolocation,Pipistrellus pipistrellus,0.5,0.537,-1,192000.0,/mnt/ubna_data_04/recover-20241011/UBNA_007/20241006_034000.WAV,recover-20241011,UBNA_007,Foliage
