Time (UTC),10/11/24,10/12/24,10/13/24,10/14/24,10/15/24,10/16/24,10/17/24,10/18/24
00:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,2.6666666666666665,1.0,98.66666666666667,28.666666666666668,138.66666666666666
02:00,,64.33333333333333,376.33333333333337,286.0,534.0,282.0,2320.0,318.3333333333333
02:30,,98.33333333333334,50.333333333333336,228.0,82.33333333333333,496.0,4122.0,422.0
03:00,,60.0,56.0,54.333333333333336,1.0,522.0,6140.0,310.0
03:30,,248.0,116.0,200.0,2834.0,5404.0,3852.0,606.6666666666667
04:00,,86.0,228.33333333333331,216.33333333333334,1020.0,4632.0,3038.0,1.0
04:30,,74.33333333333333,460.0,12.333333333333334,1664.0,5024.0,3094.0,106.66666666666667
05:00,,186.0,358.3333333333333,216.33333333333334,374.0,4542.0,2044.0,1.0
05:30,,46.666666666666664,408.0,154.33333333333334,458.0,2762.0,2258.0,48.333333333333336
06:00,,8.333333333333332,340.0,120.0,592.0,2064.0,2736.0,28.333333333333332
06:30,,52.333333333333336,374.0,44.66666666666667,492.0,2296.0,2154.0,48.333333333333336
07:00,,84.0,168.0,18.666666666666668,1178.0,2670.0,3438.0,76.33333333333333
07:30,,90.66666666666667,192.66666666666666,46.66666666666667,1114.0,1414.0,2270.0,12.333333333333334
08:00,,4.666666666666667,120.0,124.33333333333333,336.0,1158.0,996.0,2.6666666666666665
08:30,,1.0,4.333333333333334,354.0,1556.0,1058.0,512.0,6.666666666666666
09:00,,1.0,170.0,1826.0,714.0,1116.0,294.3333333333333,38.0
09:30,,1.0,286.0,3006.0,1178.0,260.3333333333333,54.0,102.0
10:00,,1.0,122.33333333333334,2986.0,1422.0,266.0,116.0,40.33333333333333
10:30,,1.0,142.66666666666669,2348.0,956.0,250.0,2.6666666666666665,26.666666666666664
11:00,,1.0,88.33333333333333,1644.0,234.0,366.3333333333333,12.666666666666668,1.0
11:30,,1.0,20.666666666666664,932.0,102.0,12.666666666666668,1.0,1.0
12:00,,1.0,1.0,964.0,192.33333333333334,66.33333333333333,2.6666666666666665,1.0
12:30,,1.0,1.0,650.0,44.333333333333336,16.666666666666668,1.0,1.0
13:00,,1.0,32.0,20.666666666666664,30.666666666666668,1.0,1.0,1.0
13:30,,12.333333333333334,20.666666666666668,92.33333333333333,1.0,72.66666666666666,1.0,1.0
14:00,,1.0,1.0,1.0,1.0,36.666666666666664,1.0,1.0
14:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21:00,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
