KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,24960.0,30.41782611323006,10.8435,10.865,23750.0,26881.0,Echolocation,Nyctalus leisleri,0.47,0.504,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241025_232000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,45120.0,11.296868447236434,116.4175,116.42920000000001,44375.0,61644.0,Echolocation,Pipistrellus pipistrellus,0.371,0.525,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48000.0,4.616216426514535,116.6665,116.6718,47812.0,60518.0,Echolocation,Pipistrellus pipistrellus,0.6,0.609,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48000.0,11.929057739242905,116.7495,116.7574,45234.0,60966.0,Echolocation,Pipistrellus pipistrellus,0.554,0.602,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,47040.0,14.125882421066144,116.84049999999999,116.8466,44375.0,64734.0,Echolocation,Pipistrellus pipistrellus,0.638,0.714,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48000.0,12.060320996624107,117.02850000000001,117.0363,45234.0,59855.0,Echolocation,Pipistrellus pipistrellus,0.58,0.663,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48960.0,17.58385510810985,117.1315,117.1364,45234.0,62079.0,Echolocation,Pipistrellus pipistrellus,0.615,0.642,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,47040.0,4.965940720968712,117.2325,117.238,45234.0,56040.0,Echolocation,Pipistrellus pipistrellus,0.581,0.617,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,48000.0,15.56308570573541,117.32849999999999,117.33449999999999,45234.0,63903.0,Echolocation,Pipistrellus pipistrellus,0.665,0.718,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
HF,46080.0,18.115377621108347,117.4125,117.41890000000001,45234.0,63948.0,Echolocation,Pipistrellus pipistrellus,0.665,0.722,-1,192000.0,/mnt/ubna_data_04/recover-20241104/UBNA_022/20241026_133000.WAV,recover-20241104,UBNA_022,E18 Bridge
