KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,65280.0,1.2492437062130666,16.8625,16.8726,63281.0,67543.0,Pipistrellus pygmaeus,0.478,0.504,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_002000.WAV,recover-20241118,UBNA_027,Foliage
HF,64320.0,3.988979886849094,11.6165,11.6313,64140.0,69874.0,Pipistrellus pygmaeus,0.531,0.543,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_011000.WAV,recover-20241118,UBNA_027,Foliage
HF,46080.0,4.297545719339215,77.2325,77.2386,46093.0,53796.0,Pipistrellus pipistrellus,0.482,0.503,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,46080.0,5.264930658569035,77.48949999999999,77.4948,45234.0,54134.0,Pipistrellus pipistrellus,0.52,0.54,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,46080.0,1.9417527465411435,77.5775,77.5824,44375.0,53785.0,Pipistrellus pipistrellus,0.539,0.568,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,46080.0,3.8900380753099526,77.7655,77.7712,45234.0,53549.0,Pipistrellus pipistrellus,0.475,0.502,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,47040.0,4.053169260164228,98.89150000000001,98.8973,46953.0,59372.0,Pipistrellus pipistrellus,0.478,0.517,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,48960.0,6.5850050541825205,99.3665,99.3727,46953.0,62213.0,Pipistrellus pipistrellus,0.45,0.524,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,56640.0,3.8581903968634794,99.4485,99.4535,47812.0,64899.0,Pipistrellus pipistrellus,0.463,0.548,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,55680.0,6.919013830515729,99.5425,99.5473,47812.0,61504.0,Pipistrellus pipistrellus,0.489,0.549,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,48960.0,8.484084266546121,99.63550000000001,99.6409,48671.0,62915.0,Pipistrellus pipistrellus,0.585,0.64,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,52800.0,10.985226689601848,99.8195,99.8245,47812.0,63700.0,Pipistrellus pipistrellus,0.661,0.704,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,54720.0,10.78501047196875,99.9125,99.9171,47812.0,65636.0,Pipistrellus pipistrellus,0.436,0.541,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,47040.0,11.809696678902032,100.0065,100.0115,46093.0,57994.0,Pipistrellus pipistrellus,0.614,0.626,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,46080.0,14.636157737169015,100.0985,100.1037,44375.0,66546.0,Pipistrellus pipistrellus,0.648,0.713,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,47040.0,16.227518555250686,100.1905,100.1952,45234.0,59371.0,Pipistrellus pipistrellus,0.641,0.653,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,47040.0,16.07536490959373,100.2745,100.2799,45234.0,63845.0,Pipistrellus pipistrellus,0.711,0.755,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,47040.0,5.352549960826133,100.3625,100.3692,46953.0,56956.0,Pipistrellus pipistrellus,0.605,0.615,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,45120.0,20.5705726078278,100.5435,100.55,44375.0,70280.0,Pipistrellus pipistrellus,0.632,0.676,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,55680.0,15.79050613124296,100.6165,100.6232,48671.0,71892.0,Pipistrellus pipistrellus,0.564,0.6,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,58560.0,11.911721250706556,100.6865,100.6943,47812.0,70521.0,Pipistrellus pipistrellus,0.567,0.617,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,46080.0,14.04337370350424,100.7885,100.7987,46093.0,64461.0,Pipistrellus pipistrellus,0.527,0.585,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,46080.0,20.40314917278273,100.9615,100.9708,45234.0,66928.0,Pipistrellus pipistrellus,0.485,0.576,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,54720.0,17.218701326486723,101.0445,101.0523,47812.0,67763.0,Pipistrellus pipistrellus,0.58,0.634,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,48000.0,20.628082868432674,101.1545,101.1624,46953.0,66655.0,Pipistrellus pipistrellus,0.548,0.652,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,46080.0,13.137071966882308,101.3875,101.3982,46093.0,60791.0,Pipistrellus pipistrellus,0.469,0.541,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,48960.0,10.0992223577874,101.4765,101.4844,47812.0,63143.0,Pipistrellus pipistrellus,0.54,0.566,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,50880.0,12.882761874212774,101.8655,101.8707,47812.0,66677.0,Pipistrellus pipistrellus,0.549,0.573,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
HF,52800.0,19.652380379497565,102.5985,102.6056,46953.0,70552.0,Pipistrellus pipistrellus,0.412,0.567,-1,Echolocation,192000.0,/mnt/ubna_data_04/recover-20241118/UBNA_027/20241105_014000.WAV,recover-20241118,UBNA_027,Foliage
