date_and_time_UTC,callrate,LFcallrate,HFcallrate
2025-05-16 21:30:00+00:00,0.2,0.2,0.0
2025-05-16 21:40:00+00:00,0.0,0.0,0.0
2025-05-16 21:50:00+00:00,0.2,0.2,0.0
2025-05-16 22:00:00+00:00,2.4,1.6,0.8
2025-05-16 22:10:00+00:00,0.0,0.0,0.0
2025-05-16 22:20:00+00:00,0.0,0.0,0.0
2025-05-16 22:30:00+00:00,0.0,0.0,0.0
2025-05-16 22:40:00+00:00,0.0,0.0,0.0
2025-05-16 22:50:00+00:00,0.0,0.0,0.0
2025-05-16 23:00:00+00:00,0.0,0.0,0.0
2025-05-16 23:10:00+00:00,0.0,0.0,0.0
2025-05-16 23:20:00+00:00,0.0,0.0,0.0
2025-05-16 23:30:00+00:00,0.0,0.0,0.0
2025-05-16 23:40:00+00:00,0.0,0.0,0.0
2025-05-16 23:50:00+00:00,0.2,0.2,0.0
2025-05-17 00:00:00+00:00,0.0,0.0,0.0
2025-05-17 00:10:00+00:00,0.0,0.0,0.0
2025-05-17 00:20:00+00:00,0.0,0.0,0.0
2025-05-17 00:30:00+00:00,0.0,0.0,0.0
2025-05-17 00:40:00+00:00,0.0,0.0,0.0
2025-05-17 00:50:00+00:00,0.0,0.0,0.0
2025-05-17 01:00:00+00:00,0.0,0.0,0.0
2025-05-17 01:10:00+00:00,0.0,0.0,0.0
2025-05-17 01:20:00+00:00,0.0,0.0,0.0
2025-05-17 01:30:00+00:00,0.0,0.0,0.0
2025-05-17 01:40:00+00:00,0.0,0.0,0.0
2025-05-17 01:50:00+00:00,0.0,0.0,0.0
2025-05-17 02:00:00+00:00,0.0,0.0,0.0
2025-05-17 02:10:00+00:00,0.0,0.0,0.0
2025-05-17 02:20:00+00:00,0.0,0.0,0.0
2025-05-17 02:30:00+00:00,0.0,0.0,0.0
2025-05-17 02:40:00+00:00,0.0,0.0,0.0
2025-05-17 02:50:00+00:00,0.0,0.0,0.0
2025-05-17 03:00:00+00:00,0.0,0.0,0.0
2025-05-17 03:10:00+00:00,0.2,0.2,0.0
2025-05-17 03:20:00+00:00,0.0,0.0,0.0
2025-05-17 03:30:00+00:00,0.0,0.0,0.0
2025-05-17 03:40:00+00:00,0.0,0.0,0.0
2025-05-17 03:50:00+00:00,0.0,0.0,0.0
2025-05-17 04:00:00+00:00,0.0,0.0,0.0
2025-05-17 04:10:00+00:00,78.6,78.6,0.0
2025-05-17 04:20:00+00:00,246.6,246.6,0.0
2025-05-17 04:30:00+00:00,282.0,269.8,12.2
2025-05-17 04:40:00+00:00,243.0,232.0,11.0
2025-05-17 04:50:00+00:00,196.8,196.0,0.8
2025-05-17 05:00:00+00:00,332.8,323.2,9.6
2025-05-17 05:10:00+00:00,373.4,361.6,11.8
2025-05-17 05:20:00+00:00,244.8,234.4,10.4
2025-05-17 05:30:00+00:00,67.2,67.0,0.2
2025-05-17 05:40:00+00:00,32.0,31.8,0.2
2025-05-17 05:50:00+00:00,13.8,13.6,0.2
2025-05-17 06:00:00+00:00,26.8,26.4,0.4
2025-05-17 06:10:00+00:00,8.4,8.4,0.0
2025-05-17 06:20:00+00:00,0.0,0.0,0.0
