date_and_time_UTC,callrate,LFcallrate,HFcallrate
2025-05-23 21:10:00+00:00,0.2,0.0,0.2
2025-05-23 21:20:00+00:00,0.0,0.0,0.0
2025-05-23 21:40:00+00:00,1.2,1.0,0.2
2025-05-23 21:50:00+00:00,0.0,0.0,0.0
2025-05-23 22:00:00+00:00,0.0,0.0,0.0
2025-05-23 22:10:00+00:00,0.8,0.4,0.4
2025-05-23 22:20:00+00:00,1.2,0.4,0.8
2025-05-23 22:30:00+00:00,0.2,0.2,0.0
2025-05-23 22:40:00+00:00,0.6,0.0,0.6
2025-05-23 22:50:00+00:00,0.0,0.0,0.0
2025-05-23 23:00:00+00:00,0.0,0.0,0.0
2025-05-23 23:10:00+00:00,0.0,0.0,0.0
2025-05-23 23:20:00+00:00,0.0,0.0,0.0
2025-05-23 23:30:00+00:00,0.0,0.0,0.0
2025-05-23 23:40:00+00:00,0.0,0.0,0.0
2025-05-23 23:50:00+00:00,0.0,0.0,0.0
2025-05-24 00:00:00+00:00,0.0,0.0,0.0
2025-05-24 00:10:00+00:00,0.0,0.0,0.0
2025-05-24 00:20:00+00:00,0.0,0.0,0.0
2025-05-24 00:30:00+00:00,0.0,0.0,0.0
2025-05-24 00:40:00+00:00,0.0,0.0,0.0
2025-05-24 00:50:00+00:00,0.0,0.0,0.0
2025-05-24 01:00:00+00:00,0.0,0.0,0.0
2025-05-24 01:10:00+00:00,0.0,0.0,0.0
2025-05-24 01:20:00+00:00,0.0,0.0,0.0
2025-05-24 01:30:00+00:00,0.0,0.0,0.0
2025-05-24 01:40:00+00:00,0.0,0.0,0.0
2025-05-24 01:50:00+00:00,0.0,0.0,0.0
2025-05-24 02:00:00+00:00,0.0,0.0,0.0
2025-05-24 02:10:00+00:00,0.0,0.0,0.0
2025-05-24 02:20:00+00:00,0.0,0.0,0.0
2025-05-24 02:30:00+00:00,0.0,0.0,0.0
2025-05-24 02:40:00+00:00,0.0,0.0,0.0
2025-05-24 02:50:00+00:00,0.0,0.0,0.0
2025-05-24 03:00:00+00:00,0.0,0.0,0.0
2025-05-24 03:10:00+00:00,0.0,0.0,0.0
2025-05-24 03:20:00+00:00,0.0,0.0,0.0
2025-05-24 03:30:00+00:00,0.0,0.0,0.0
2025-05-24 03:40:00+00:00,0.0,0.0,0.0
2025-05-24 03:50:00+00:00,0.0,0.0,0.0
2025-05-24 04:00:00+00:00,0.0,0.0,0.0
2025-05-24 04:10:00+00:00,0.0,0.0,0.0
2025-05-24 04:20:00+00:00,10.0,9.8,0.2
2025-05-24 04:30:00+00:00,12.4,0.0,12.4
2025-05-24 04:40:00+00:00,10.2,0.0,10.2
2025-05-24 04:50:00+00:00,1.8,0.0,1.8
2025-05-24 05:00:00+00:00,0.0,0.0,0.0
2025-05-24 05:10:00+00:00,57.4,0.0,57.4
2025-05-24 05:20:00+00:00,0.0,0.0,0.0
2025-05-24 05:30:00+00:00,0.0,0.0,0.0
2025-05-24 05:40:00+00:00,0.0,0.0,0.0
2025-05-24 05:50:00+00:00,0.0,0.0,0.0
2025-05-24 06:00:00+00:00,0.0,0.0,0.0
2025-05-24 06:10:00+00:00,0.0,0.0,0.0
2025-05-24 06:20:00+00:00,2.0,0.0,2.0
2025-05-24 06:30:00+00:00,4.2,0.0,4.2
2025-05-24 06:40:00+00:00,0.0,0.0,0.0
2025-05-24 06:50:00+00:00,2.4,0.0,2.4
2025-05-24 07:00:00+00:00,4.4,0.0,4.4
2025-05-24 07:10:00+00:00,0.0,0.0,0.0
2025-05-24 07:20:00+00:00,0.4,0.0,0.4
2025-05-24 07:30:00+00:00,0.0,0.0,0.0
2025-05-24 07:40:00+00:00,0.0,0.0,0.0
2025-05-24 07:50:00+00:00,0.0,0.0,0.0
2025-05-24 08:00:00+00:00,0.2,0.0,0.2
2025-05-24 08:10:00+00:00,4.0,0.0,4.0
2025-05-24 08:20:00+00:00,0.0,0.0,0.0
2025-05-24 08:30:00+00:00,0.6,0.0,0.6
2025-05-24 08:40:00+00:00,0.0,0.0,0.0
2025-05-24 08:50:00+00:00,0.0,0.0,0.0
2025-05-24 09:00:00+00:00,2.2,0.0,2.2
2025-05-24 09:10:00+00:00,8.2,0.0,8.2
2025-05-24 09:20:00+00:00,19.4,0.0,19.4
2025-05-24 09:30:00+00:00,19.6,0.0,19.6
2025-05-24 09:40:00+00:00,18.6,0.0,18.6
2025-05-24 09:50:00+00:00,18.0,0.0,18.0
2025-05-24 10:00:00+00:00,28.8,0.0,28.8
2025-05-24 10:10:00+00:00,21.0,0.0,21.0
2025-05-24 10:20:00+00:00,12.8,0.0,12.8
2025-05-24 10:30:00+00:00,9.8,0.0,9.8
2025-05-24 10:40:00+00:00,18.0,0.0,18.0
2025-05-24 10:50:00+00:00,24.4,0.0,24.4
2025-05-24 11:00:00+00:00,15.6,0.0,15.6
2025-05-24 11:10:00+00:00,9.6,0.0,9.6
2025-05-24 11:20:00+00:00,28.4,0.0,28.4
2025-05-24 11:30:00+00:00,5.6,0.0,5.6
2025-05-24 11:40:00+00:00,0.0,0.0,0.0
2025-05-24 11:50:00+00:00,0.4,0.4,0.0
2025-05-24 12:00:00+00:00,0.2,0.2,0.0
2025-05-24 12:10:00+00:00,0.0,0.0,0.0
2025-05-24 12:20:00+00:00,0.0,0.0,0.0
2025-05-24 12:30:00+00:00,0.0,0.0,0.0
2025-05-24 12:40:00+00:00,0.0,0.0,0.0
2025-05-24 12:50:00+00:00,0.0,0.0,0.0
2025-05-24 13:00:00+00:00,0.0,0.0,0.0
2025-05-24 13:10:00+00:00,0.0,0.0,0.0
2025-05-24 13:20:00+00:00,0.0,0.0,0.0
2025-05-24 13:30:00+00:00,0.0,0.0,0.0
2025-05-24 13:40:00+00:00,0.0,0.0,0.0
