KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,60480.0,-0.6732497256107283,0.3675,0.3862,56406.0,63195.0,Pipistrellus pygmaeus,0.299,0.32,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_002/20250619_182000.WAV,recover-20250626,UBNA_002,E18 Bridge
HF,60480.0,-0.24938488225078395,2.9965,3.0037,53828.0,58626.0,Pipistrellus pygmaeus,0.43,0.447,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_002/20250619_182000.WAV,recover-20250626,UBNA_002,E18 Bridge
HF,65280.0,-0.5790046929807954,5.5695,5.584,58125.0,64096.0,Pipistrellus pygmaeus,0.273,0.345,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_002/20250619_182000.WAV,recover-20250626,UBNA_002,E18 Bridge
LF,32640.0,0.18009816204076598,7.4435,7.4602,28046.0,31869.0,Nyctalus leisleri,0.241,0.36,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_002/20250619_182000.WAV,recover-20250626,UBNA_002,E18 Bridge
LF,32640.0,-0.08338242426787942,8.6195,8.6312,25468.0,30589.0,Nyctalus leisleri,0.217,0.354,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_002/20250619_182000.WAV,recover-20250626,UBNA_002,E18 Bridge
HF,65280.0,-0.4527307239477982,8.7135,8.7281,58125.0,63058.0,Pipistrellus pygmaeus,0.456,0.466,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_002/20250619_182000.WAV,recover-20250626,UBNA_002,E18 Bridge
HF,60480.0,1.7507401991717517,10.2725,10.286,57265.0,61419.0,Pipistrellus pygmaeus,0.366,0.386,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_002/20250619_182000.WAV,recover-20250626,UBNA_002,E18 Bridge
HF,60480.0,1.079441399527772,12.3935,12.4093,57265.0,62080.0,Pipistrellus pygmaeus,0.319,0.331,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_002/20250619_182000.WAV,recover-20250626,UBNA_002,E18 Bridge
HF,60480.0,4.964080439542456,15.7185,15.732,54687.0,59947.0,Pipistrellus pygmaeus,0.202,0.301,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_002/20250619_182000.WAV,recover-20250626,UBNA_002,E18 Bridge
HF,65280.0,0.7470384074042391,21.7425,21.7571,62421.0,68095.0,Pipistrellus pygmaeus,0.301,0.328,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_002/20250619_182000.WAV,recover-20250626,UBNA_002,E18 Bridge
