KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,28800.0,-0.3580127174051303,0.3325,0.3502,22890.0,26912.0,Nyctalus leisleri,0.24,0.322,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
HF,65280.0,0.9347913455014236,1.3855,1.4032,62421.0,67307.0,Pipistrellus pygmaeus,0.286,0.313,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
HF,59520.0,-0.5765580603819983,1.4825,1.4994,58125.0,62689.0,Pipistrellus pygmaeus,0.183,0.308,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
HF,65280.0,-0.07376694365691515,2.6385,2.6538,63281.0,67880.0,Pipistrellus pygmaeus,0.398,0.408,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
HF,55680.0,2.972029495386816,2.9965,3.0073,54687.0,58641.0,Pipistrellus pygmaeus,0.437,0.451,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
HF,65280.0,0.39746198409302336,3.4625,3.4814,58125.0,62990.0,Pipistrellus pygmaeus,0.301,0.347,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
HF,65280.0,0.5021914760830948,3.5335,3.5467,58125.0,63220.0,Pipistrellus pygmaeus,0.347,0.356,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
HF,65280.0,-0.9735446639068046,3.9735,3.992,62421.0,66568.0,Pipistrellus pygmaeus,0.274,0.305,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
HF,58560.0,0.5720082247134284,4.0115,4.0293,57265.0,60869.0,Pipistrellus pygmaeus,0.302,0.306,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
HF,44160.0,5.9209654887021035,4.6285,4.6383,43515.0,47851.0,Pipistrellus pipistrellus,0.194,0.306,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
HF,65280.0,-0.159529778385869,4.6895,4.7052,63281.0,67692.0,Pipistrellus pygmaeus,0.349,0.355,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
HF,65280.0,-3.4864029179823226,5.3985,5.4118,63281.0,66941.0,Pipistrellus pygmaeus,0.317,0.325,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
HF,65280.0,0.7114438266592129,5.5715,5.5899,58125.0,63396.0,Pipistrellus pygmaeus,0.322,0.331,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
HF,65280.0,-1.8380280878708912,5.6605,5.6783,62421.0,65951.0,Pipistrellus pygmaeus,0.318,0.322,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250626/UBNA_022/20250619_182000.WAV,recover-20250626,UBNA_022,Telephone Field
