KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,65280.0,-1.6320526048246466,7.7395,7.7549,62421.0,67007.0,Pipistrellus pygmaeus,0.152,0.308,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
HF,65280.0,-0.227774410696717,11.9365,11.9428,62421.0,68340.0,Pipistrellus pygmaeus,0.307,0.313,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
HF,65280.0,-0.7995216376702441,13.0775,13.0889,62421.0,66536.0,Pipistrellus pygmaeus,0.444,0.448,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
HF,65280.0,2.240168567882284,30.6365,30.6447,61562.0,66819.0,Pipistrellus pygmaeus,0.153,0.342,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
HF,65280.0,-5.54757615527333,32.2235,32.2348,63281.0,68166.0,Pipistrellus pipistrellus,0.215,0.328,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
HF,60480.0,4.393356883477407,68.3655,68.3779,56406.0,62093.0,Pipistrellus pygmaeus,0.351,0.367,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
HF,42240.0,2.692928371245715,76.4225,76.4404,42656.0,44936.0,Pipistrellus pipistrellus,0.229,0.3,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
LF,23040.0,3.798070497108819,83.2165,83.2415,22031.0,25797.0,Nyctalus leisleri,0.392,0.427,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
HF,65280.0,2.5523337487138265,107.3665,107.3738,62421.0,68399.0,Pipistrellus pygmaeus,0.143,0.302,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
HF,65280.0,1.0422444559950248,124.5405,124.556,63281.0,67755.0,Pipistrellus pipistrellus,0.189,0.36,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
LF,22080.0,-1.8675711361598444,150.3425,150.3611,21171.0,24855.0,Nyctalus leisleri,0.396,0.429,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
LF,23040.0,1.894885625618489,193.3765,193.3979,22890.0,26496.0,Nyctalus leisleri,0.271,0.323,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
HF,65280.0,-2.509580010191757,208.5085,208.517,55546.0,65283.0,Pipistrellus pygmaeus,0.176,0.326,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
LF,23040.0,5.219477906003488,223.05349999999999,223.0709,22890.0,26527.0,Nyctalus leisleri,0.228,0.316,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
HF,65280.0,6.789803731271461,245.0795,245.0969,63281.0,68982.0,Pipistrellus pygmaeus,0.293,0.31,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
HF,65280.0,2.1301635008563222,252.0905,252.0956,56406.0,67745.0,Pipistrellus pygmaeus,0.34,0.361,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
HF,65280.0,0.46050715698401534,252.1175,252.1273,63281.0,68393.0,Pipistrellus pygmaeus,0.388,0.393,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
LF,18240.0,2.528800546651713,259.9305,259.9545,18593.0,21644.0,Nyctalus noctula,0.225,0.305,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
LF,23040.0,-0.4463892801423366,275.1445,275.1628,22890.0,26500.0,Nyctalus leisleri,0.352,0.39,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250721/UBNA_024/20250710_190000.WAV,recover-20250721,UBNA_024,Central Pond
